,class,mcg,gvh,lip,chg,aac,alm1,alm2,N
0,cp,5,-29,-26,-38,12,-27,-14,0
1,cp,-37,-18,-26,-38,10,-16,-5,1
2,cp,12,-18,-26,-38,5,-14,-3,2
4,cp,-21,-26,-26,-38,11,-26,-14,4
5,cp,23,-19,-26,-38,-8,-13,-3,5
6,cp,-15,-29,-26,-38,0,-28,-15,6
8,cp,-24,-14,-26,-38,2,0,7,8
9,cp,-2,-18,-26,-38,12,-33,-19,9
10,cp,-2,-34,-26,-38,12,-24,-12,10
11,cp,-19,-10,-26,-38,0,-34,-20,11
13,cp,7,-8,-26,-38,2,-19,-14,13
14,cp,-22,-15,-26,-38,4,-35,-20,14
15,cp,-19,-18,-26,-38,2,-7,3,15
16,cp,-10,-13,-26,-38,-6,-27,-14,16
17,cp,0,-31,-26,-38,11,1,8,17
18,cp,-21,-18,-26,-38,-5,-22,-11,18
19,cp,-3,-1,-26,-38,-5,-30,-17,19
20,cp,-4,-13,-26,-38,-6,-29,-49,20
21,cp,-13,-35,-26,-38,29,-46,-35,21
22,cp,7,-4,-26,-38,-3,-17,-6,22
23,cp,-14,-42,-26,-38,12,-40,-26,23
24,cp,-8,-19,-26,-38,4,-29,-26,24
25,cp,-15,-21,-26,-38,4,-7,3,25
26,cp,-19,-18,-26,-38,3,-18,-7,26
27,cp,-23,-7,-26,-38,6,-19,-8,27
28,cp,-1,-21,-26,-38,9,-16,-5,28
29,cp,-1,-19,-26,-38,3,-20,-8,29
31,cp,-10,-25,-26,-38,-6,-16,-5,31
32,cp,12,-7,-26,-38,-10,-14,-3,32
33,cp,-4,-29,-26,-38,-2,-16,-5,33
34,cp,-20,-23,-26,-38,-13,-32,-18,34
35,cp,-8,-4,-26,-38,-3,-13,-3,35
36,cp,-15,-6,-26,-38,-2,-22,-10,36
37,cp,21,-11,-26,-38,15,-21,-9,37
38,cp,-12,-16,-26,-38,-9,-22,-11,38
39,cp,-6,-12,-26,-38,4,-29,-20,39
40,cp,-11,-13,-26,-38,8,-19,-8,40
