,Type,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,N
0,1,-60,-41,450,-236,-83,-304,-206,-471,-525,0
1,1,-196,-16,272,-159,12,-262,-298,-471,-525,1
2,1,-252,-52,262,-105,37,-271,-303,-471,-525,2
3,1,-192,-84,290,-180,0,-253,-258,-471,-525,3
4,1,-204,-78,276,-195,47,-255,-274,-471,-525,4
5,1,-260,-126,274,-81,36,-246,-274,-471,21,5
6,1,-204,-75,272,-225,48,-252,-264,-471,-525,6
7,1,-196,-90,274,-252,62,-253,-257,-471,-525,7
8,1,-131,-1,268,-156,-53,-254,-250,-471,-525,8
9,1,-196,-105,272,-159,37,-253,-241,-471,-294,9
11,1,-196,-125,284,-186,40,-250,-225,-471,-525,11
12,1,-264,-117,238,-147,67,-241,-275,-471,-21,12
14,1,-196,-144,270,-174,68,-252,-231,-471,-525,14
15,1,-196,-124,260,-198,62,-252,-242,-471,-525,15
16,1,-188,-137,286,-219,50,-249,-211,-471,-525,16
17,1,-20,31,322,-300,-125,-295,-166,-471,-525,17
18,1,-136,-15,298,-213,-49,-304,-192,-471,-525,18
19,1,-204,-103,260,-60,12,-256,-237,-471,-378,19
20,1,-200,-123,262,-120,14,-256,-229,-471,-126,20
21,1,-112,72,302,-480,-59,-307,-181,-471,-525,21
22,1,-204,-127,276,-180,18,-251,-211,-471,-525,22
24,1,-211,-67,252,-222,23,-260,-238,-471,-525,24
26,1,-184,-84,248,-144,3,-251,-238,-471,-525,26
27,1,-211,-118,248,-168,43,-254,-238,-471,-525,27
28,1,-192,-149,256,-138,54,-253,-227,-471,-525,28
29,1,-188,-97,250,-183,25,-250,-232,-471,-525,29
30,1,-192,-140,264,-177,47,-249,-212,-471,-230,30
31,1,-200,-121,252,-225,66,-254,-225,-471,-525,31
32,1,-188,-120,248,-198,36,-249,-225,-444,-63,32
33,1,-200,-148,246,-153,78,-250,-225,-471,-399,33
34,1,-188,-136,260,-165,34,-253,-206,-471,-525,34
36,1,-136,-16,258,-171,-80,-259,-203,-438,-525,36
37,1,-180,-131,248,-162,34,-246,-213,-471,-525,37
38,1,-16,16,316,-426,-84,-299,-124,-471,-525,38
39,1,-16,16,316,-426,-84,-299,-124,-471,-525,39
40,1,-184,-126,252,-230,42,-246,-204,-471,-525,40
41,1,-196,-134,236,-207,59,-251,-217,-471,-525,41
42,1,-188,-84,230,-168,15,-251,-222,-471,-525,42
43,1,-16,-32,320,-351,-84,-293,-107,-471,-525,43
44,1,-184,-132,238,-210,34,-248,-205,-471,105,44
45,1,-140,-56,248,-162,-66,-255,-181,-471,-525,45
46,1,-152,-86,226,-213,11,-253,-198,-471,-189,46
47,1,168,-6,292,-354,-104,-308,-99,-471,-315,47
48,1,-12,-84,306,-330,-62,-297,-79,-471,-525,48
49,1,-140,-47,222,-198,-53,-251,-190,-471,-525,49
50,1,28,-33,296,-414,-86,-301,-75,-471,-189,50
51,1,-127,-85,218,-183,-25,-250,-167,-471,-294,51
52,1,-176,-62,126,-210,23,-255,-178,-471,-525,52
53,1,-164,-91,120,-183,23,-255,-174,-471,-525,53
54,1,-188,-84,114,-180,37,-259,-179,-471,-336,54
55,1,-192,-160,94,-180,109,-254,-175,-471,-21,55
56,1,-412,-106,246,-230,37,-248,-246,-471,126,56
57,1,-172,-118,248,-180,34,-250,-238,-471,-525,57
58,1,-200,-57,300,-216,37,-251,-278,-471,-525,58
59,1,-200,-66,284,-210,18,-253,-254,-471,-294,59
60,1,-136,-45,276,-233,3,-296,-205,-471,-525,60
61,1,-108,-24,268,-171,-89,-298,-214,-264,-525,61
62,1,-32,-54,324,-303,-81,-287,-127,-471,-294,62
63,1,-8,12,314,-333,-126,-310,-112,-471,-525,63
64,1,-32,-57,300,-297,-59,-292,-120,-471,-378,64
65,1,-60,-36,270,-230,-65,-301,-141,-471,-525,65
66,1,-40,-100,282,-306,-39,-291,-96,-471,-168,66
67,1,-40,-100,282,-306,-29,-291,-96,-471,-168,67
68,1,-40,-93,268,-297,-41,-287,-99,-471,-189,68
69,1,20,-74,268,-321,-62,-298,-64,-471,-462,69
70,2,-272,81,286,-45,-74,-294,-345,-471,-273,70
72,2,-264,-96,270,-111,48,-243,-298,-471,-525,72
73,2,-248,-71,266,-96,26,-249,-292,-471,-525,73
74,2,-260,-103,264,-105,50,-238,-291,-471,-525,74
75,2,-264,-103,268,-114,51,-241,-285,-471,-525,75
76,2,-240,-61,274,-105,-22,-244,-278,-471,-525,76
77,2,-248,-105,268,-105,22,-249,-277,-471,-525,77
78,2,-256,-13,256,-192,27,-273,-287,-471,-230,78
79,2,-264,-123,256,3,25,-241,-284,-471,-525,79
80,2,-264,-119,256,69,5,-241,-284,-471,-525,80
81,2,-264,-80,242,-138,56,-249,-295,-471,-525,81
82,2,-240,-64,262,-192,20,-242,-271,-471,-525,82
83,2,-264,-96,256,-102,26,-242,-275,-471,-336,83
84,2,-336,20,170,57,-33,-200,-373,-471,-525,84
85,2,-248,-69,268,-120,11,-265,-259,-471,-525,85
86,2,-272,-81,250,-126,64,-272,-278,-471,-525,86
87,2,-240,-65,250,-111,4,-243,-273,-471,-315,87
88,2,-252,-104,252,-123,28,-250,-269,-471,-525,88
90,2,-164,-112,300,-233,-33,-246,-184,-471,-63,90
91,2,-256,-115,240,-132,45,-266,-254,-471,-525,91
92,2,-264,-93,234,-93,65,-303,-242,-471,-126,92
94,2,-248,-134,218,-120,67,-243,-257,-471,-525,94
95,2,-156,-69,238,-138,-34,-259,-221,-471,-525,95
96,2,-164,-103,276,-249,-27,-246,-167,-471,-210,96
97,2,-204,-185,202,-219,94,-248,-191,-471,-21,97
98,2,-224,-138,128,-54,59,-237,-227,-471,-525,98
99,2,-176,-109,144,-138,31,-250,-202,-429,-525,99
100,2,-236,-130,122,-135,66,-253,-202,-438,-63,100
101,2,-207,-170,96,-78,26,-240,-158,-471,-525,101
102,2,-172,-143,104,-318,120,-275,-139,-471,-105,102
103,2,192,-25,182,-369,-204,-302,83,-471,-525,103
104,2,64,-22,132,-216,-145,-302,-2,-471,-525,104
105,2,92,-260,-448,-3,-42,-229,243,-471,189,105
106,2,352,-332,-448,63,-280,-252,249,474,63,106
107,2,456,-175,-448,-267,-245,-298,538,-471,-21,107
108,2,-12,38,-448,-267,6,-300,71,-471,-357,108
109,2,-172,-33,-448,-399,184,-310,18,-471,-525,109
110,2,164,-282,-448,-336,59,-310,387,-471,-525,110
111,2,196,-303,-448,-342,47,-310,415,-471,-525,111
112,2,212,-141,-448,-366,-59,-304,359,-471,-525,112
113,2,-144,-59,318,-189,-6,-253,-259,-471,-230,113
114,2,-160,-95,346,-210,-17,-250,-238,-471,-525,114
115,2,-160,-64,330,-168,-23,-259,-253,-471,-525,115
116,2,-168,-81,332,-144,-28,-255,-250,-471,-315,116
117,2,-216,-33,288,-24,-55,-246,-293,-471,-525,117
118,2,-232,-75,280,-108,-8,-245,-278,-471,83,118
119,2,-240,-49,266,-126,-16,-246,-285,-471,-525,119
120,2,-164,-80,304,-171,-20,-252,-239,-471,-525,120
121,2,-236,-112,260,-81,34,-246,-278,-471,-84,121
122,2,-224,-82,260,-123,23,-254,-271,-471,-525,122
123,2,-216,-57,248,-54,-9,-248,-282,-471,-525,123
124,2,-28,-85,288,-222,14,-256,-229,-471,-525,124
125,2,-152,-112,284,-99,-9,-252,-225,-471,-273,125
126,2,-232,-111,274,-189,14,-254,-221,-471,-525,126
127,2,-68,-27,7,-138,-62,-261,-96,-471,-168,127
