A,P,C,LK,WK,A_Coef,LKG,number,target
2583,2864,1028,2388,2205,-3138,2217,138,1
2100,2145,2339,1188,2165,-2961,1725,137,1
1869,2085,1621,1464,1715,-2872,1080,136,1
2996,3300,724,2904,2210,-2700,1953,135,1
2954,3239,800,3176,2270,-2655,2745,134,1
1476,1545,2497,412,1815,-2542,909,133,1
2275,2219,2794,1584,2855,-2501,1170,132,1
2170,2610,393,2648,1105,-2466,2757,131,1
1988,2265,1242,1728,1765,-2422,1689,130,1
1799,1935,2007,1280,2190,-2375,780,129,1
2225,2430,1545,2516,1940,-2362,1887,128,1
1470,1530,2504,768,1780,-2353,1155,127,1
1673,1890,1656,1544,1600,-2167,1989,126,1
2064,2190,1980,1000,2275,-2057,1035,125,1
1694,1590,3298,768,2120,-1773,1284,124,1
2079,2010,2939,1460,2375,-1767,1998,123,1
1603,2145,48,1936,905,-1757,2217,122,1
868,1080,1807,252,1175,-1752,636,121,1
2142,2235,2152,1428,2470,-1702,1245,120,1
2261,2145,3111,1468,2995,-1674,1635,119,1
2541,2820,1035,2316,2350,-1648,1953,117,1
1785,1710,3084,772,2200,-1626,1113,116,1
2905,3104,1248,2824,2630,-1547,2358,115,1
2288,2430,1794,1832,2420,-1526,1953,114,1
2016,2055,2442,1540,2325,-1490,1557,113,1
2050,2190,1904,1940,1810,-1373,1557,112,1
2842,3135,841,3552,2160,-1358,3048,111,1
2310,2700,600,2328,1750,-1253,2085,110,1
2149,2385,1373,1844,2120,-1242,1842,109,1
2400,2640,1276,2216,2395,-1133,2112,108,1
1036,1395,1069,1432,1215,-1084,1311,107,1
1582,1935,979,1088,1160,-991,1431,106,1
2450,2835,593,2064,2300,-932,1293,105,1
693,1230,124,1408,660,-914,1299,104,1
1225,1545,1173,984,1210,-863,1185,103,1
658,1020,1076,920,775,-606,921,102,1
1225,1725,296,1616,1150,-534,1578,101,1
2009,2025,2546,1296,2690,-422,1374,100,1
196,750,96,232,320,-344,783,99,1
2506,2505,2449,1304,2805,-302,1425,98,1
2156,2055,3084,1056,2830,-276,648,97,1
1938,2370,469,1992,1315,-219,1704,96,1
3381,3600,917,3168,2415,-159,2751,95,1
966,1350,917,764,1315,-71,771,94,1
3563,3630,1580,3104,3300,67,2346,93,1
623,1185,55,560,535,310,783,92,1
3500,3330,2766,2652,3505,406,2361,91,1
2142,2489,828,2632,1540,454,2484,90,1
3024,3090,1821,1992,2665,563,1959,89,1
1988,2040,2394,876,2630,714,1035,88,1
1169,1245,2490,16,1795,756,381,87,1
455,765,1331,352,680,922,1038,86,1
3710,3570,2477,3144,3510,1170,2091,85,1
3051,3120,1842,2112,3155,1291,1962,84,1
1897,1830,3008,1000,2645,1391,1029,83,1
2282,2670,634,1888,2030,2072,1557,82,1
1008,1620,-213,1108,360,-786,1164,81,1
2170,2745,-276,3048,1695,-919,2892,80,1
1736,2535,-1228,3516,770,323,2742,79,1
-224,90,1331,-44,385,362,939,78,1
203,825,-289,-100,280,-324,507,77,1
371,630,1628,-276,970,-393,252,76,1
-196,420,-345,180,-225,-1885,654,75,1
-350,105,524,388,-315,-148,783,74,1
-217,480,-710,532,-500,-1970,1035,73,1
77,90,2994,-1696,1255,-1274,-1170,72,1
-350,-255,2484,-1240,670,-1010,-285,70,1
