no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,RowNum,booking_status
0,-27000,-19285,-20647,-27000,-27000,-27000,304,-27000,17181,-25200,-27000,-27000,-27000,-27000,-20500,-27000,0,0
0,-27000,-11571,-17470,-9000,-27000,-27000,-26390,27000,22090,-18000,-13500,-27000,-27000,-27000,-16332,-16200,1,0
0,-27000,-19285,-17470,-27000,-27000,-27000,-22855,-27000,17181,-1800,-13500,-27000,-27000,-27000,-16245,-16200,6,0
0,-27000,-19285,-17470,-27000,-27000,-18000,-16882,27000,27000,18000,-13500,-27000,-27000,-27000,-16439,-16200,7,0
13500,-27000,-27000,-14294,-27000,-27000,-27000,-12250,27000,2454,-18000,-27000,-27000,-27000,-27000,-17310,-16200,8,0
0,-27000,-27000,-11117,-27000,-27000,-18000,-21636,27000,17181,3600,-13500,-27000,-27000,-27000,-13656,5400,9,0
-13500,-27000,-19285,-27000,-9000,-27000,-27000,-27000,27000,12272,-9000,-13500,-27000,-27000,-27000,-18497,-27000,10,0
-13500,-27000,-11571,-23823,-27000,-27000,-18000,-22733,27000,-12272,25200,-13500,-27000,-27000,-27000,-12960,-16200,11,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-21270,-27000,17181,7200,-13500,-27000,-27000,-27000,-17550,-5400,14,0
-13500,-27000,-19285,-27000,-27000,-27000,-27000,-27000,-27000,17181,-19800,-27000,-27000,-27000,-27000,-17400,-27000,16,0
0,-27000,-19285,-17470,-9000,-27000,-27000,-26878,-27000,7363,-10800,-13500,-27000,-27000,-27000,-17400,-16200,17,0
0,-27000,-19285,-27000,-27000,-27000,-27000,-25537,-27000,17181,-21600,-27000,-27000,-27000,-27000,-19800,-27000,19,0
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-12128,27000,22090,16200,0,-27000,-27000,-27000,-20300,-27000,21,0
0,-27000,-11571,-14294,-27000,-27000,-27000,-26756,27000,-17181,7200,-27000,-27000,-27000,-27000,-18500,-27000,22,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-22489,27000,17181,-5400,-27000,-27000,-27000,-27000,-16500,-27000,23,0
0,-27000,-11571,-23823,-9000,-27000,-27000,-11153,27000,-7363,10800,-13500,-27000,-27000,-27000,-17550,-16200,24,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-14932,27000,-12272,21600,-13500,-27000,-27000,-27000,-15570,-16200,25,0
0,-27000,-19285,-23823,-27000,-27000,-27000,-19686,-27000,12272,9000,-27000,-27000,-27000,-27000,-20500,-27000,26,0
0,-27000,-27000,-20647,9000,-27000,-27000,-20173,-27000,12272,1800,-27000,-27000,-27000,-27000,-18800,-27000,29,0
0,-27000,-19285,-23823,-27000,-27000,-18000,-26634,-27000,12272,5400,-13500,-27000,-27000,-27000,-9250,-16200,30,0
0,-27000,-11571,-20647,-27000,-27000,-27000,-13957,27000,22090,-5400,-13500,-27000,-27000,-27000,-18250,-16200,31,0
-27000,-16200,-27000,-17470,-27000,-27000,-9000,-20173,27000,27000,-16200,-13500,-27000,-27000,-27000,-18756,-16200,32,0
0,-27000,-27000,-23823,-9000,-27000,-27000,-26756,27000,-27000,-12600,-13500,-27000,-27000,-27000,-20050,-16200,33,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-18223,27000,17181,-16200,-27000,-27000,-27000,-27000,-18450,-27000,34,0
0,-27000,-27000,-23823,-9000,27000,-27000,-24196,27000,-12272,19800,-13500,-27000,-27000,-27000,-15500,-16200,35,0
0,-27000,-27000,-23823,-27000,-27000,-27000,8227,-27000,17181,1800,-27000,-27000,-27000,-27000,-20300,-27000,37,0
0,-27000,-27000,-14294,-27000,-27000,-27000,-19198,27000,22090,-27000,-13500,-27000,-27000,-27000,-17640,-5400,40,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-22733,27000,-2454,9000,-13500,-27000,-27000,-27000,-16800,-16200,41,0
13500,-27000,-11571,-23823,-27000,-27000,-27000,-15297,27000,-12272,-10800,-13500,-27000,-27000,-27000,-14820,-16200,42,0
0,-27000,-27000,-14294,-27000,-27000,-18000,-20295,-27000,22090,3600,-27000,-27000,-27000,-27000,-21000,-16200,44,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-9203,-27000,27000,23400,-27000,-27000,-27000,-27000,-19500,-27000,45,0
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-23099,-27000,22090,7200,-27000,-27000,-27000,-27000,-19700,-27000,46,0
0,-27000,-27000,-23823,9000,-27000,-27000,-20295,27000,-12272,-18000,-27000,-27000,-27000,-27000,-16600,-27000,47,0
0,-27000,-27000,-14294,-9000,-27000,-27000,-20051,27000,22090,-27000,-13500,-27000,-27000,-27000,-19080,-16200,48,0
-13500,-27000,-19285,-17470,-27000,-27000,-18000,-26146,27000,27000,23400,-13500,-27000,-27000,-27000,-14420,-5400,49,0
-13500,-27000,-11571,-11117,-9000,-27000,-27000,-11884,27000,-7363,25200,-13500,-27000,-27000,-27000,-18205,-27000,50,0
-13500,-27000,-19285,-20647,-27000,-27000,-27000,-26268,27000,-7363,0,-13500,-27000,-27000,-27000,-13333,-16200,52,0
0,-27000,-27000,-14294,-27000,-27000,-18000,-20783,-27000,22090,-9000,-27000,-27000,-27000,-27000,-21000,-16200,53,0
0,-27000,-19285,-27000,-9000,-27000,-27000,-25415,27000,-2454,-5400,-13500,-27000,-27000,-27000,-18100,-5400,54,0
0,-27000,-19285,-17470,-27000,-27000,-27000,-14810,27000,-7363,5400,-13500,-27000,-27000,-27000,-13400,-16200,55,0
0,-27000,-27000,-23823,-9000,-27000,-27000,-10056,27000,2454,21600,-13500,-27000,-27000,-27000,-17550,-16200,56,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-12738,27000,27000,18000,-13500,-27000,-27000,-27000,-17640,-5400,57,0
0,-27000,-27000,-17470,-27000,-27000,-18000,-16516,27000,-12272,-18000,-13500,-27000,-27000,-27000,-17070,-16200,59,0
0,-16200,-27000,-23823,-27000,27000,0,-26756,27000,12272,-25200,-13500,-27000,-27000,-27000,-1200,-16200,60,0
-13500,-27000,-27000,-17470,-27000,-27000,-18000,-24683,27000,-7363,-23400,-13500,-27000,-27000,-27000,-14988,-5400,61,0
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-3595,27000,-2454,14400,-27000,-27000,-27000,-27000,-17500,-27000,62,0
