pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
3,-31,32,-32,32,-32,28,0,0
3,-30,-32,32,-32,32,23,1,0
3,-29,32,32,32,32,32,5,0
5,-19,-32,32,32,32,32,14,0
3,-19,-32,32,32,32,10,20,0
3,-19,32,32,32,32,-10,23,0
2,-30,-32,32,32,-32,23,25,0
3,-29,32,-32,32,-32,32,29,0
5,-23,32,32,32,32,32,32,0
5,-19,-32,32,32,32,32,35,0
2,-27,32,32,32,32,32,39,0
5,-25,32,32,32,32,32,43,0
5,-19,32,32,32,-32,-10,47,0
3,-29,32,32,32,32,32,50,0
4,-27,32,-32,32,-32,32,61,0
5,-19,-32,32,32,32,32,66,0
3,-19,-32,32,32,32,10,72,0
5,-19,32,32,32,32,-10,75,0
5,-30,-32,32,32,-32,23,77,0
3,-29,32,-32,32,-32,32,81,0
2,-27,32,32,32,32,32,85,0
5,-25,32,32,32,32,32,89,0
5,-19,32,32,32,-32,-10,93,0
3,-29,32,32,32,32,32,98,0
3,-31,-32,32,32,32,32,105,0
4,-27,32,-32,32,-32,32,109,0
3,-22,32,-32,32,32,10,111,0
5,-19,-32,32,32,32,32,114,0
3,-27,32,-32,32,-32,32,116,0
5,-19,32,32,32,32,-10,123,0
5,-30,-32,32,32,-32,23,125,0
3,-19,-32,32,32,32,10,128,0
5,-19,32,32,32,32,-10,131,0
5,-30,-32,32,32,-32,23,133,0
3,-29,32,-32,32,-32,32,137,0
2,-27,32,32,32,32,32,141,0
5,-25,32,32,32,32,32,145,0
5,-19,32,32,32,-32,-10,149,0
3,-29,32,32,32,32,32,154,0
3,-31,-32,32,32,32,32,161,0
5,-19,-32,32,32,32,32,167,0
2,-27,32,32,32,32,32,171,0
5,-25,32,32,32,32,32,175,0
5,-19,32,32,32,-32,-10,179,0
3,-29,32,32,32,32,32,182,0
4,-27,32,-32,32,-32,32,193,0
5,-19,-32,32,32,32,32,198,0
3,-29,32,32,32,32,32,205,0
4,-27,32,-32,32,-32,32,216,0
5,-19,-32,32,32,32,32,221,0
3,-19,-32,32,32,32,10,227,0
5,-19,32,32,32,32,-10,230,0
5,-30,-32,32,32,-32,23,232,0
3,-29,32,-32,32,-32,32,236,0
2,-27,32,32,32,32,32,240,0
4,-27,32,-32,32,-32,32,245,0
3,-22,32,-32,32,32,10,247,0
5,-19,-32,32,32,32,32,250,0
3,-27,32,-32,32,-32,32,252,0
5,-19,32,32,32,32,-10,259,0
5,-30,-32,32,32,-32,23,261,0
3,-19,-32,32,32,32,10,264,0
5,-19,32,32,32,32,-10,267,0
5,-30,-32,32,32,-32,23,269,0
5,-25,32,32,32,32,32,273,0
5,-19,32,32,32,-32,-10,277,0
3,-29,32,32,32,32,32,282,0
3,-31,-32,32,32,32,32,289,0
5,-19,-32,32,32,32,32,295,0
2,-27,32,32,32,32,32,299,0
5,-25,32,32,32,32,32,303,0
5,-19,32,32,32,-32,-10,307,0
3,-29,32,32,32,32,32,310,0
4,-27,32,-32,32,-32,32,321,0
5,-19,-32,32,32,32,32,326,0
3,-29,32,32,32,32,32,333,0
4,-27,32,-32,32,-32,32,344,0
5,-19,-32,32,32,32,32,349,0
3,-19,-32,32,32,32,10,355,0
5,-19,32,32,32,32,-10,358,0
5,-30,-32,32,32,-32,23,360,0
3,-29,32,-32,32,-32,32,364,0
2,-27,32,32,32,32,32,368,0
4,-27,32,-32,32,-32,32,373,0
3,-22,32,-32,32,32,10,375,0
