Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,RowNum,Quality
80,1724,1684,2180,-1184,-2706,2575,3907,1
-4208,-212,5,-445,2845,1969,1605,206,1
-1020,1055,105,2654,-2682,1166,509,1635,1
-60,-846,-435,-1412,-2780,638,-1945,105,1
-1700,2683,-3325,-1556,-1418,3157,1235,1365,1
-1827,1202,-3499,-1449,746,4246,-643,1022,1
-1764,-1336,-1075,1822,-3981,279,-1395,2813,1
1171,-723,-1499,811,-613,726,-1235,3167,1
4750,-946,2173,2875,-4630,-4576,1615,2262,1
338,-1681,-1814,2507,-3494,-336,-1365,2274,1
-2486,-282,352,642,-424,1144,222,2672,1
-2656,-2628,-1999,-440,-3256,1947,-4455,3498,1
784,880,-1130,198,-627,-465,8,1627,1
3730,476,812,1664,-4121,-4004,1365,1471,1
-3676,208,1999,1748,-1426,-1075,5345,3623,1
-2975,44,-1912,505,605,5566,-2375,1696,1
-517,-567,-580,-376,216,2607,-353,1372,1
-539,307,1133,129,-897,-363,288,2169,1
-467,2360,-69,358,-654,836,3015,3715,1
5,-868,1803,1084,-2444,-1105,66,2342,1
-455,-423,-2379,-2391,5506,-1116,2115,2118,1
-1328,-1002,-427,495,2109,682,2215,2448,1
-63,821,-802,-1010,1936,-944,15,3261,1
-1328,3285,0,107,1222,-2244,2515,1799,1
2082,-2449,-2466,-280,-3191,858,-3495,1423,1
449,60,-2282,126,984,1496,-1585,3487,1
-765,-1024,-1803,-1284,1168,1452,-238,2500,1
-5249,-1080,2542,1358,-1233,2750,766,1631,1
-1158,75,-869,-475,-483,2596,81,3889,1
-317,-1314,-753,1295,-1702,1023,-943,2714,1
-1147,-2260,-2542,337,595,4059,385,1852,1
3241,1757,-825,1537,-1083,-3597,435,3126,1
914,-1481,-1325,632,400,759,-2355,3774,1
1300,1959,51,1980,-2726,-2915,-1455,814,1
-3496,-2171,1183,-135,-517,57,3175,3072,1
-2114,-423,-236,-845,-624,1562,-1765,1115,1
1700,-378,-1162,2370,-3461,-2783,-996,2713,1
-3443,-734,-631,-254,1179,2937,1265,691,1
-839,-445,-858,-409,1817,-332,2065,1591,1
3209,256,-4683,-869,3407,495,-683,322,1
-2019,-239,-306,1548,-616,1254,1195,3894,1
1636,-2995,-1032,1264,-4056,814,-1575,3827,1
-3687,-2282,-599,642,1233,5192,815,2671,1
380,491,-1793,-249,-601,-609,-591,1292,1
-871,1292,905,1348,-2336,-2816,2135,2466,1
2986,-1302,-5357,-911,357,1353,-811,2838,1
-484,-1915,-2673,149,-6707,1056,-2285,3009,1
-2507,-56,186,316,1244,255,3055,3891,1
-4197,221,3662,1780,-2142,-1675,5335,1195,1
-298,-2706,-2238,1137,-2142,1771,1425,2214,1
1594,1782,-4183,1379,-2866,278,-1011,1940,1
-2019,-1236,1858,294,-3429,2,-577,782,1
-2210,-2037,45,-949,2044,451,2285,3300,1
-1062,2149,3216,-661,367,-349,3125,2061,1
-4813,15,3216,1000,670,418,1415,355,1
-1806,-95,-369,1748,-2477,2585,-875,3073,1
-2561,-868,-743,1622,659,2739,2525,2475,1
-4123,-668,791,-87,3223,2431,2785,2253,1
-1083,-292,2640,32,-863,-3905,2125,2889,1
2114,-1280,-3477,874,-458,2860,-2305,3630,1
558,-857,-3651,-1336,2639,2244,45,2144,1
1689,-1258,-2792,-196,1795,1727,-745,1872,1
553,1959,-3477,2707,-622,-1115,235,2307,1
-903,-790,-1151,1011,-3115,-829,-2025,1233,1
-1370,-273,147,1106,-478,-77,2345,266,1
375,1487,102,24,-835,-3267,619,3118,1
2135,496,-2216,874,-1947,-971,-367,308,1
-201,18,-1521,-399,318,429,509,623,1
-903,1465,1096,842,-1871,-2178,309,2537,1
-81,-2026,-2586,-1874,3104,1650,2275,3469,1
499,-1147,-1358,222,2823,1595,762,3211,1
-722,-1636,-1901,-86,1633,2068,1405,2890,1
-1328,-1993,10,273,235,-1263,4745,339,1
573,-55,-616,225,-458,1353,332,3906,1
111,63,-1597,621,-2682,473,-400,545,1
596,-1570,-3271,-182,-1550,2739,-2545,3249,1
1355,-79,-3510,229,-2726,4510,-6745,1973,1
992,602,-3857,-1858,1568,283,-225,1391,1
-317,-1135,-956,1158,-1818,-121,-1915,3456,1
329,-356,-2977,-1799,1698,-355,2115,1620,1
-2709,-378,-1586,558,-1236,4818,-1225,1318,1
2539,-902,-2249,-1238,-743,-1062,-175,1051,1
-1870,1804,-4281,-130,-997,2651,-285,1302,1
2061,1587,-337,-768,3029,-2783,-179,1913,1
2019,-1703,-836,1843,-2185,-1384,-1935,2039,1
-1891,-201,-535,-745,-1947,726,-1685,3166,1
-1657,-2171,1210,-1082,-4824,946,-1875,1308,1
-2890,-723,-4140,-358,-740,2398,-4305,1783,1
-2561,-779,467,44,-1297,-1634,4795,381,1
-2624,-2316,-1238,758,-525,3520,2255,3228,1
-4070,-746,1336,2011,-2412,1463,1985,757,1
-4707,-3752,1336,2475,-1016,3058,5945,3917,1
-3018,-1158,193,474,-2131,-15,-2645,2357,1
809,-1213,-3542,1042,-731,1320,-2815,3461,1
-1806,453,-923,179,-2347,-1107,-1835,524,1
-3655,1000,1890,-838,2639,-521,2935,153,1
-1859,-2093,-583,-481,-1327,2640,-2715,372,1
-2422,-523,1341,737,-996,-562,3345,644,1
3060,-3184,3444,3117,-5549,-5159,-1080,1941,1
600,-1135,-1391,-3,-329,2651,-761,2535,1
