Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,RowNum,Quality
-381,-206,600,-183,118,-35,-69,0,0
-84,-240,427,89,16,24,-92,1,0
11,-83,-156,-114,225,-75,240,2,1
-27,-184,167,-89,311,-445,59,3,0
190,-72,-14,-136,247,-214,30,4,0
-317,-83,-178,-137,-494,137,-320,5,1
180,251,122,-257,257,-269,220,6,0
-169,24,189,-156,-58,35,-170,7,0
-370,-340,134,-204,171,379,-510,8,1
-34,23,-416,-15,-33,104,200,9,1
-243,-72,-124,-145,182,302,-300,10,1
307,10,-146,19,-300,60,110,11,0
24,-139,-167,173,-408,-139,-230,12,1
-95,-106,243,110,32,-24,150,13,0
338,34,-81,14,-214,-7,150,14,0
-243,-240,481,-5,161,-81,-130,15,0
-116,-150,-211,16,236,368,-76,16,1
34,-452,54,225,75,-357,110,17,0
10,262,-232,289,-26,-79,230,18,1
-180,112,-102,373,96,-577,-160,19,0
-201,-251,-351,1,365,621,53,20,1
169,-7,-124,720,42,-478,240,21,0
-211,-5,43,-12,247,14,300,22,1
57,-11,-211,26,-12,-46,190,23,1
97,-83,-53,110,-526,-269,-160,24,1
-95,-318,-92,-19,-376,115,-400,25,1
10,15,126,68,171,10,-310,26,0
254,147,-200,194,-181,-30,-260,27,1
190,262,-167,99,-111,-214,-140,28,1
-21,240,-167,-9,-121,16,140,29,1
85,-184,-330,-109,-365,214,-320,30,1
-232,61,286,57,279,-269,-280,31,0
222,-262,18,-178,247,-149,100,32,0
-20,-50,276,-46,472,-445,540,33,1
38,-72,276,225,13,49,210,34,0
-59,-206,-416,9,32,478,-118,35,1
-285,166,-92,78,118,-77,-170,36,0
455,-106,-492,120,9,104,-270,37,0
-148,-318,427,-95,64,93,-250,38,0
180,-195,131,78,440,-445,230,39,0
169,-83,-72,131,-32,-148,90,40,1
5,-150,178,257,31,93,250,41,0
-116,-228,221,-27,-121,71,-190,42,1
128,156,46,78,-247,-379,-2,43,1
455,385,-265,68,-65,49,240,44,0
45,67,-24,436,-140,-423,100,45,0
-9,-13,-57,131,85,-41,-470,46,0
-105,373,-221,21,128,181,290,47,1
-307,145,-124,-2,96,214,45,48,1
-74,329,-254,13,-77,170,270,49,1
-264,130,113,-236,-111,82,-250,50,0
-1,-128,-211,-94,96,30,120,51,1
180,-206,-351,320,-45,-74,66,52,0
169,-128,97,173,64,49,-140,53,0
360,-306,-308,-236,311,115,25,54,0
254,1,-232,225,107,-170,210,55,0
232,11,-12,-52,-160,159,-350,56,0
158,-39,156,57,-182,214,250,57,0
-8,63,-63,236,322,-112,-170,58,0
130,122,-146,-145,225,-145,80,59,0
-328,228,76,14,257,-258,-240,60,0
-455,161,-70,-225,-22,280,-79,61,1
-307,-83,178,99,-63,4,140,62,1
91,-195,-63,-331,-105,21,-23,63,0
-190,-61,189,-108,85,49,-114,64,0
-338,184,308,-32,107,-654,190,65,0
-190,306,55,331,-419,-467,-11,66,0
-127,195,189,99,257,-236,260,67,1
-74,43,-178,-81,-152,225,-31,68,1
0,-284,-113,225,-322,-96,-320,69,1
106,-318,167,-37,-90,258,-220,70,1
296,-228,308,-425,419,-203,350,71,0
101,-128,-470,-113,204,203,100,72,1
46,-50,79,99,-429,-126,33,73,1
-190,-72,-156,-70,-290,225,-170,74,1
275,-106,-308,68,161,-9,130,75,0
275,217,-341,-425,85,181,-3,76,0
138,99,-67,-35,8,-147,7,77,1
-190,151,-265,-161,75,225,-160,78,1
-190,-117,167,162,-41,-171,-200,79,1
243,40,-42,-174,-13,-21,210,80,0
-222,-206,384,36,107,-72,-111,81,0
296,-17,-406,-144,214,82,-190,82,1
190,-619,93,215,-54,-258,160,83,0
232,-161,-113,89,-52,291,-36,84,0
-9,-228,-221,68,20,379,-140,85,1
243,-61,-189,89,-36,225,-8,86,0
97,-15,60,-159,53,-214,120,87,0
-105,27,-189,-24,23,214,-73,88,1
180,85,-189,57,-30,-41,-13,89,1
97,144,-276,57,1,38,-320,90,0
-24,-61,-8,18,150,-30,-479,91,0
