Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,RowNum,Quality
-158,32,-341,225,-494,-95,-170,802,0
-74,-94,-5,68,161,93,120,803,0
12,-72,178,-142,-214,225,-25,804,0
81,53,-56,78,-322,-136,-8,805,0
94,83,60,-352,214,-137,330,807,0
-10,-106,-135,152,-214,-203,-116,808,0
148,82,-62,-80,-214,-52,100,809,0
222,-318,-319,110,32,-17,-67,813,0
13,-273,108,24,279,-423,160,816,0
92,145,110,289,-419,-324,80,817,0
-254,39,42,-5,128,-45,-350,818,0
296,-184,-53,194,-20,126,-160,819,0
-317,73,-23,299,580,-335,-380,820,0
-32,217,-146,19,-138,192,320,823,0
190,-139,-156,-341,75,82,140,824,0
117,6,-319,36,-23,-28,43,825,0
39,262,-243,-106,-177,-23,75,826,0
-16,79,-92,-81,-137,-192,-180,827,0
20,-184,362,-122,-176,269,160,828,0
307,-72,-167,320,-64,-175,54,829,0
-285,-72,178,99,214,-123,-220,830,0
87,273,156,-247,171,-291,190,831,0
-370,-7,319,-74,42,-56,-210,832,0
29,-139,319,57,-46,192,260,833,0
15,-251,146,78,118,148,-190,835,0
-63,-34,146,162,300,-98,-68,836,0
201,-128,114,5,128,-269,220,838,0
-201,160,-7,-69,-67,8,-370,839,0
129,52,-17,-268,-236,324,-250,840,0
349,-161,-167,215,139,-137,200,842,0
55,-251,178,173,-109,236,-45,847,0
-74,228,-46,131,193,-500,69,848,0
-296,362,77,-116,75,-269,-360,849,0
51,-117,189,99,-72,93,52,850,0
232,-195,4,-204,225,-114,290,851,0
254,-351,113,183,-135,368,110,852,0
-3,-251,156,-17,-45,280,-102,853,0
201,-184,-23,-257,150,-27,250,854,0
7,-217,-167,183,-505,-68,-180,855,0
275,-27,-384,-15,-343,236,44,857,0
307,-117,-2,-85,-225,423,100,860,0
-24,3,67,36,96,49,-190,864,0
243,-251,-46,-204,236,-83,110,865,0
92,-161,-28,-320,257,-125,32,867,0
211,109,16,-133,-279,181,-280,870,0
30,195,54,-88,-76,-291,-140,872,0
-148,251,64,-159,-214,49,-82,876,0
243,-217,101,331,64,137,10,881,0
222,82,-124,204,7,-247,30,884,0
296,195,-113,436,-247,-236,130,886,0
243,-552,416,89,15,280,160,889,0
349,-340,-156,341,-65,-192,-240,891,0
92,-128,15,310,-182,-302,90,893,0
30,-39,132,-151,32,-313,90,894,0
-95,496,-146,299,-333,-346,-35,895,0
14,-340,-221,162,-162,-140,-130,896,0
-137,-20,178,-127,32,24,-330,897,0
264,-362,308,268,-42,181,240,899,0
-180,295,-243,-36,12,3,-400,902,0
349,173,-18,404,-125,-269,200,903,0
190,-295,-67,78,322,-236,240,904,0
55,-33,-286,215,-182,-129,-24,905,0
307,-251,127,141,75,269,220,910,0
5,373,67,89,-124,-357,170,911,0
2,-184,156,-18,-182,236,-37,912,0
391,-452,265,289,-91,291,240,915,0
-51,-61,-21,-341,-36,-127,-101,917,0
-29,6,-351,-82,-27,-67,-170,918,0
59,-5,110,120,-106,31,-120,920,0
51,-50,-92,215,161,-20,-280,922,0
-169,240,-102,-138,42,-37,-390,925,0
-46,-206,330,68,257,-23,-240,927,0
190,184,-42,78,-175,49,-260,929,0
139,146,-308,247,-101,148,42,930,0
349,-429,-156,-159,472,-36,180,934,0
-63,146,-200,68,-30,-214,90,939,0
-84,5,32,247,-182,-423,-109,942,0
-59,206,-113,120,75,-95,-40,944,0
-338,-139,449,-166,85,-75,-140,945,0
243,-37,-81,26,182,-162,220,947,0
-84,-7,116,-247,-50,-247,90,948,0
108,-217,-33,204,171,-258,450,949,0
381,-61,-286,89,-149,104,130,950,0
45,35,-102,-130,-32,-85,230,951,0
66,97,64,-68,3,-24,-310,952,0
147,-240,254,141,53,93,-73,953,0
222,-173,-243,26,-182,30,-130,957,0
86,-284,232,78,-73,247,110,959,0
232,-306,-416,-68,-62,181,71,960,0
-137,-117,75,89,150,1,-118,962,0
-307,123,351,-155,85,-172,-350,963,0
243,-240,5,-162,257,-162,110,968,0
-95,42,79,-93,-50,-324,80,972,0
-18,-195,-92,204,300,-379,190,974,0
6,-251,351,57,225,14,-130,981,0
476,-161,14,-289,376,21,420,983,0
-158,329,85,-138,96,-412,100,985,0
86,-262,132,341,150,93,5,988,0
-317,-139,341,-183,75,-14,-340,989,0
-27,217,330,-257,-108,-346,270,993,0
190,-61,80,78,-193,-192,150,994,0
275,-385,-146,162,42,-70,230,996,0
-254,22,146,8,193,-161,-290,1002,0
94,-452,-178,131,17,-141,-160,1003,0
-57,106,-178,47,-290,-144,-85,1006,0
38,-36,-80,-104,397,-280,180,1009,0
-15,-94,156,-159,3,60,-350,1011,0
307,-83,-449,247,-141,82,55,1015,0
243,-128,21,3,-64,192,-89,1018,0
201,-150,-27,99,-58,-114,360,1021,0
-12,-530,-92,236,-37,-302,-63,1023,0
-10,25,211,-194,-66,-269,180,1024,0
-62,262,-102,-165,-25,6,-190,1028,0
-307,-173,308,68,18,-2,-33,1029,0
222,-23,127,183,-82,93,-71,1030,0
-127,154,200,-215,-25,19,-300,1031,0
-211,-94,178,110,376,-165,-290,1035,0
264,-396,1,141,236,-214,250,1039,0
211,240,12,-134,-236,-68,120,1040,0
-180,-306,416,15,182,-28,-28,1041,0
58,-94,-6,-167,311,-247,160,1042,0
-232,251,-5,-84,171,-214,-460,1046,0
275,-94,-113,78,-38,-82,130,1047,0
-127,-351,-102,331,-48,-390,-96,1050,0
-169,240,-31,-79,161,-134,-400,1052,0
201,-262,-156,310,300,-324,80,1054,0
-1,-61,211,78,96,-65,-68,1055,0
-180,217,-71,78,462,-302,-429,1058,0
-169,195,-61,173,333,-192,-170,1060,0
-22,-117,128,173,-118,60,160,1061,0
145,-3,-15,68,-2,-269,-63,1068,0
222,-329,-286,89,-166,10,-190,1071,0
-95,-173,-54,152,-193,-313,-150,1072,0
29,-184,129,26,-147,159,-160,1073,0
118,-396,-135,183,-31,-176,-13,1075,0
-105,-50,200,141,107,-86,-160,1078,0
169,-150,-38,141,96,-247,190,1079,0
132,-228,135,383,139,93,14,1080,0
-190,72,-15,247,-182,-511,-320,1081,0
-50,26,254,-105,-5,-38,-75,1082,0
158,340,-62,-106,-152,-134,-113,1083,0
104,-306,-68,-44,-157,-66,-3,1084,0
-127,-273,-189,8,-166,-140,-96,1087,0
-105,284,156,-310,-236,49,-180,1090,0
-95,-25,87,-268,-204,236,-170,1095,0
222,-32,26,183,-204,-181,160,1097,0
423,-117,-38,131,365,-192,390,1098,0
317,177,-124,278,247,-324,160,1099,0
73,-295,221,110,-44,269,200,1101,0
130,-15,-27,-137,2,-82,260,1105,0
264,-206,107,120,-82,203,-160,1106,0
-201,351,35,-124,85,-181,-210,1107,0
328,-228,-470,278,182,-13,25,1108,0
124,1,106,-85,32,-236,230,1109,0
95,1,-69,-153,-160,-63,-22,1111,0
243,64,-167,99,-311,-23,-37,1112,0
296,228,3,204,-106,-225,220,1114,0
-127,-61,319,-156,-279,148,140,1116,0
-434,474,-28,-225,32,-181,-470,1117,0
25,-139,308,36,96,-29,-190,1118,0
-349,154,67,26,279,-247,-520,1119,0
82,114,-211,225,376,-390,-1,1120,0
328,-396,-178,110,-4,-50,-140,1121,0
-169,89,-200,23,32,-291,-150,1123,0
-44,-195,308,-63,64,60,-300,1127,0
169,-139,-254,36,300,-118,270,1130,0
338,27,-221,141,204,-154,-10,1135,0
40,59,-67,-19,-34,214,-41,1136,0
-105,-31,156,-60,53,10,-96,1137,0
-84,144,128,-136,-268,148,-37,1139,0
123,-329,111,-182,397,-258,290,1142,0
-84,-37,189,36,-55,35,-46,1144,0
497,-150,-330,141,139,60,150,1147,0
391,-161,-156,78,118,-66,58,1148,0
158,-83,-71,-74,225,-203,180,1149,0
232,-61,-276,-83,-225,104,-130,1150,0
-264,39,265,-144,-268,82,52,1151,0
54,262,-55,-62,-236,126,38,1157,0
338,-139,-102,120,42,-133,60,1162,0
-41,20,146,-236,-236,313,190,1165,0
-55,-184,254,10,-25,159,140,1167,0
112,53,-113,162,-182,-181,26,1169,0
-190,240,221,247,-279,-544,150,1171,0
-222,-72,122,278,-7,-14,180,1172,0
51,42,243,-120,365,-434,380,1175,0
-180,-117,330,-215,27,13,-429,1177,0
190,-228,106,152,26,247,17,1178,0
134,-273,51,57,96,-291,90,1181,0
296,-217,133,120,-154,247,-130,1182,0
169,362,-178,373,-166,-269,38,1183,0
-201,284,-21,-45,53,-161,-290,1184,0
132,46,128,-170,182,-280,260,1186,0
412,-340,-319,183,-68,93,-64,1188,0
-74,195,43,-90,150,-203,-520,1197,0
243,262,44,47,-225,-203,64,1198,0
317,-184,28,-247,494,-169,280,1201,0
-105,-139,178,110,290,-79,-260,1204,0
158,262,-23,23,-268,-130,100,1207,0
338,-117,14,194,-135,104,-94,1208,0
-158,-72,57,120,193,-26,4,1209,0
-285,-50,308,-131,107,-12,-160,1211,0
-169,-351,633,141,193,-47,140,1212,0
222,-139,15,57,193,-214,340,1216,0
360,-440,-276,78,333,-57,47,1218,0
-52,-50,200,-79,18,104,-41,1219,0
-137,-251,-54,-121,-5,-203,44,1220,0
61,-373,351,-63,-67,258,47,1222,0
180,-8,178,-128,408,-335,340,1223,0
57,-240,-319,47,-112,-42,-280,1224,0
-28,-31,178,99,-37,137,120,1225,0
158,-184,-200,247,-56,-167,16,1228,0
144,-329,-51,-44,-25,-135,-117,1237,0
45,-94,-49,-14,171,-32,47,1240,0
116,8,-156,247,-45,-247,-22,1241,0
12,-184,146,47,-386,-214,-23,1243,0
-180,-407,373,57,75,82,-59,1244,0
243,-117,2,21,483,-335,260,1246,0
43,-362,481,-124,-72,214,-150,1248,0
132,169,75,47,7,-302,250,1250,0
254,-83,-384,120,23,-16,-65,1253,0
-158,-94,265,162,150,-78,34,1254,0
190,122,-135,-74,-236,225,-370,1259,0
5,351,-351,-46,-56,126,-120,1260,0
180,90,-254,131,15,-138,43,1261,0
243,21,-10,-299,429,-159,220,1262,0
-275,109,341,68,214,-225,-190,1264,0
275,-295,200,78,343,-401,250,1265,0
-36,-139,-72,47,161,-335,-104,1268,0
-190,128,156,320,-76,-610,200,1272,0
112,-452,438,204,53,192,180,1277,0
26,166,-146,-126,-152,-32,140,1278,0
264,-463,330,22,-111,269,-170,1279,0
70,175,-146,57,-236,-119,-16,1282,0
317,-429,125,509,182,192,180,1283,0
-84,-50,-254,-147,-204,26,-400,1285,0
391,-418,-351,47,-148,148,-270,1288,0
113,-329,330,110,53,137,12,1291,0
-338,-106,384,-81,-1,-93,-240,1295,0
-46,35,-102,225,42,-6,-9,1296,0
90,-351,297,173,-19,203,160,1297,0
-169,104,146,47,225,-203,-360,1298,0
-84,-83,243,-51,-7,93,-270,1300,0
60,-139,3,215,85,-379,29,1304,0
-211,159,108,-99,24,-140,-200,1307,0
-169,54,178,-26,27,-38,-18,1309,0
-328,195,88,-129,279,-137,-180,1311,0
201,-61,-297,141,-354,23,-130,1312,0
-84,-50,95,47,3,60,-130,1315,0
158,-440,395,268,-52,247,410,1316,0
16,-106,-92,21,96,-258,80,1323,0
33,228,-92,-146,30,21,-400,1325,0
307,-195,5,-10,-204,401,38,1327,0
307,-362,-232,194,-51,-20,67,1335,0
-37,262,46,131,11,-41,90,1336,0
148,-50,129,-86,-343,346,-67,1337,0
106,-306,-42,26,118,-247,-28,1339,0
133,-106,48,36,-163,291,-58,1340,0
275,-351,31,-77,451,-150,450,1341,0
-127,116,51,-247,-96,159,-230,1343,0
-105,-117,286,13,96,-47,-80,1345,0
232,-83,67,-9,-322,324,72,1346,0
158,148,-124,1,128,-203,120,1349,0
-201,63,46,-57,85,15,-270,1353,0
444,-418,-297,47,-117,159,-68,1354,0
360,113,-254,-137,-97,148,130,1356,0
-58,396,-362,-53,118,-123,-370,1358,0
-201,40,48,78,-40,60,90,1359,0
243,-340,-72,-67,279,-120,140,1362,0
136,93,-92,57,-124,82,-59,1367,0
-127,-83,362,-257,-76,38,-250,1368,0
243,-373,-406,141,64,32,-42,1369,0
87,-329,319,-138,-68,225,-170,1370,0
243,-240,-8,78,-55,-98,270,1373,0
190,-206,86,-169,247,-192,240,1376,0
-52,62,17,89,-132,-302,90,1377,0
10,273,232,-27,193,-489,380,1378,0
720,-240,-427,-34,32,368,150,1381,0
-22,273,2,373,-61,-478,200,1382,0
2,48,86,-19,-168,104,-92,1384,0
158,195,-20,-159,85,-148,340,1385,0
99,-597,416,341,182,258,210,1386,0
-127,-295,416,25,-53,71,42,1387,0
-338,-12,200,-204,75,-31,-370,1389,0
158,7,-66,-27,-119,-101,55,1393,0
-232,318,106,-236,-236,-40,-30,1394,0
21,-362,-64,-225,118,-104,51,1396,0
190,-184,-27,-27,161,-173,160,1397,0
140,-150,41,13,-16,126,-250,1398,0
45,-24,56,-194,-322,291,-62,1402,0
18,452,-102,36,268,-379,180,1403,0
15,45,-189,26,-268,-69,-11,1405,0
65,-385,1,10,128,-203,250,1406,0
-508,251,103,-257,29,-23,-240,1410,0
-36,351,-6,120,225,-500,110,1412,0
-95,195,-156,15,75,-49,-280,1413,0
-201,-117,254,-94,-91,137,-47,1414,0
-19,-61,114,152,-20,181,290,1418,0
