long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,RowNum,gender
-20,5,-14,-20,-20,20,-20,1,1
20,0,-4,-20,-20,-20,-20,4,1
-20,-4,-18,-20,-20,-20,-20,7,1
20,-15,-14,20,-20,20,20,8,1
20,-13,-14,-20,-20,-20,-20,9,1
20,7,8,-20,-20,-20,-20,14,1
20,5,-4,-20,-20,-20,-20,17,1
20,-15,-18,-20,-20,-20,-20,18,1
20,-5,6,20,-20,-20,20,22,1
-20,7,-16,-20,-20,-20,-20,24,1
20,-11,4,-20,-20,-20,-20,25,1
20,7,2,-20,-20,-20,-20,26,1
20,-9,-18,-20,-20,-20,-20,27,1
20,-16,-16,20,-20,-20,-20,32,1
20,-16,-2,20,-20,-20,-20,33,1
20,-5,-2,-20,-20,-20,-20,36,1
20,5,-20,20,-20,-20,-20,37,1
-20,0,-18,-20,-20,-20,-20,38,1
20,6,-4,-20,-20,-20,-20,40,1
20,-19,2,-20,-20,-20,-20,43,1
20,3,-20,-20,-20,-20,-20,46,1
20,-19,4,20,-20,20,-20,48,1
20,-14,-12,-20,20,-20,-20,49,1
20,-6,6,-20,-20,-20,20,51,1
20,-5,-16,-20,-20,-20,-20,52,1
20,0,-16,-20,-20,-20,-20,53,1
20,-20,-10,-20,-20,20,20,55,1
20,6,-4,-20,-20,-20,-20,59,1
20,-1,-12,-20,-20,20,-20,60,1
20,-15,-14,20,20,-20,-20,62,1
20,4,8,-20,-20,-20,-20,64,1
20,-16,-20,-20,-20,20,20,65,1
20,7,2,-20,-20,-20,-20,66,1
20,-17,2,-20,20,-20,-20,67,1
20,7,-6,-20,-20,20,-20,68,1
-20,-13,4,-20,-20,20,20,69,1
20,-16,0,-20,-20,-20,-20,70,1
20,7,8,-20,-20,20,20,74,1
-20,-10,-2,-20,20,-20,-20,75,1
20,6,-18,-20,-20,-20,-20,76,1
20,-10,8,-20,-20,-20,-20,80,1
-20,-19,-4,-20,-20,-20,-20,81,1
20,-12,-20,-20,20,-20,-20,83,1
20,2,-20,-20,-20,-20,20,84,1
20,-10,0,-20,-20,-20,-20,87,1
20,-11,-10,20,-20,-20,-20,90,1
20,-5,-20,-20,-20,-20,-20,91,1
-20,-4,-14,-20,-20,-20,-20,93,1
-20,-14,6,-20,-20,-20,-20,98,1
-20,-11,-4,-20,-20,-20,-20,99,1
-20,-16,8,20,-20,20,20,106,1
20,4,-12,-20,20,-20,-20,109,1
20,-9,2,-20,20,-20,-20,111,1
20,3,-14,-20,-20,-20,-20,114,1
20,-6,0,-20,-20,-20,20,115,1
20,-5,6,-20,-20,-20,20,116,1
20,8,0,-20,-20,-20,-20,117,1
20,-19,4,-20,20,20,-20,120,1
20,0,-14,-20,20,-20,-20,121,1
20,-5,-18,-20,-20,-20,-20,122,1
20,5,-2,-20,-20,-20,-20,125,1
20,-14,8,-20,-20,-20,-20,128,1
20,-11,-14,-20,-20,-20,20,129,1
20,-9,-6,-20,20,-20,-20,131,1
20,-18,-4,-20,-20,-20,-20,133,1
20,-15,-16,-20,-20,-20,-20,135,1
20,3,-18,20,20,-20,-20,137,1
20,-8,8,-20,-20,-20,-20,140,1
20,-2,-2,-20,20,20,-20,142,1
20,-7,-10,-20,-20,-20,-20,143,1
20,-15,4,-20,-20,-20,-20,145,1
20,0,4,-20,-20,20,-20,148,1
20,-17,-12,-20,-20,-20,-20,151,1
20,-1,6,-20,-20,-20,-20,154,1
20,-5,2,-20,-20,-20,-20,155,1
20,-15,-12,-20,-20,-20,-20,157,1
-20,6,-6,-20,-20,-20,-20,160,1
-20,-1,2,-20,-20,20,-20,165,1
20,6,-2,-20,-20,-20,-20,168,1
20,-14,-14,-20,-20,-20,-20,170,1
-20,-18,-14,-20,-20,-20,20,171,1
20,-18,0,-20,-20,-20,-20,174,1
20,-12,6,-20,-20,-20,-20,176,1
20,-9,-10,-20,-20,-20,-20,179,1
20,0,2,-20,-20,-20,-20,180,1
20,-12,-14,-20,-20,-20,-20,183,1
20,-15,-2,-20,-20,20,-20,185,1
20,3,2,-20,-20,20,-20,188,1
20,2,-12,-20,-20,-20,-20,190,1
20,0,-6,-20,-20,-20,-20,193,1
20,3,-10,-20,-20,-20,-20,195,1
20,-15,-4,-20,-20,20,-20,197,1
20,6,-16,-20,-20,-20,-20,198,1
20,-17,-16,-20,-20,-20,-20,199,1
20,-15,-6,-20,-20,-20,-20,201,1
-20,-7,-14,-20,20,-20,-20,202,1
-20,-19,-8,-20,-20,-20,20,204,1
20,-8,-20,-20,20,20,-20,208,1
20,-17,-12,-20,-20,20,-20,209,1
20,-13,-14,20,-20,-20,-20,210,1
20,3,-16,-20,20,-20,-20,211,1
-20,4,8,-20,-20,20,20,212,1
-20,-9,4,-20,-20,20,-20,216,1
20,-14,-12,-20,-20,-20,-20,217,1
20,-17,4,-20,-20,-20,-20,219,1
20,8,-2,-20,20,-20,-20,220,1
-20,-4,2,-20,-20,-20,20,222,1
20,0,-8,-20,-20,-20,-20,223,1
20,0,-2,20,-20,-20,-20,228,1
20,-5,-20,-20,-20,-20,-20,230,1
20,-2,2,-20,-20,20,-20,232,1
20,7,6,-20,-20,20,-20,233,1
20,-8,-16,-20,20,-20,-20,239,1
20,5,2,-20,-20,-20,20,242,1
20,-19,-10,-20,-20,20,-20,245,1
20,0,0,-20,-20,20,-20,246,1
20,-13,-18,-20,-20,-20,-20,247,1
20,-4,4,-20,-20,20,20,250,1
20,4,6,-20,-20,-20,-20,254,1
20,-8,-8,20,-20,-20,-20,256,1
20,-19,-8,-20,-20,-20,-20,257,1
20,5,2,-20,-20,-20,-20,259,1
20,-13,-16,20,-20,-20,-20,260,1
-20,-11,-10,-20,-20,-20,20,264,1
20,-13,-16,-20,-20,-20,-20,269,1
20,-11,-10,-20,-20,-20,-20,271,1
20,5,8,-20,-20,-20,20,272,1
20,4,0,-20,-20,-20,-20,275,1
20,6,-4,-20,20,-20,20,276,1
20,0,8,-20,-20,20,-20,277,1
20,6,-2,-20,-20,-20,-20,278,1
20,-7,-4,-20,-20,-20,20,281,1
20,-13,4,-20,-20,-20,20,284,1
20,7,0,-20,-20,-20,-20,285,1
20,5,-18,-20,-20,-20,-20,288,1
20,8,-16,-20,-20,-20,20,289,1
20,7,-6,-20,-20,-20,-20,291,1
-20,-12,-8,-20,-20,-20,-20,293,1
20,-1,2,-20,-20,-20,-20,295,1
20,-6,-16,20,20,20,-20,302,1
20,-15,-10,-20,-20,-20,20,303,1
20,1,-6,-20,-20,20,20,304,1
20,-17,-20,-20,-20,-20,-20,309,1
-20,-17,-18,-20,-20,-20,-20,310,1
20,-18,-12,-20,-20,-20,20,311,1
-20,-2,8,-20,20,-20,-20,312,1
20,-20,-12,-20,-20,-20,-20,313,1
20,6,-10,-20,20,-20,-20,315,1
20,-12,-2,-20,-20,-20,-20,318,1
20,6,0,-20,20,20,-20,319,1
20,2,0,-20,-20,-20,-20,320,1
20,-10,-4,-20,-20,-20,-20,322,1
20,-19,-8,-20,-20,-20,-20,323,1
20,-8,8,-20,-20,-20,-20,324,1
20,1,-20,-20,-20,-20,-20,325,1
20,-13,-12,-20,-20,-20,-20,326,1
20,-19,-16,-20,-20,-20,-20,327,1
20,-2,-8,-20,-20,20,-20,328,1
20,-12,-4,20,-20,-20,-20,329,1
20,-12,-18,-20,-20,-20,-20,333,1
20,5,2,-20,-20,-20,-20,339,1
-20,0,-16,20,-20,-20,20,340,1
20,-20,-2,-20,-20,-20,-20,341,1
20,4,8,-20,-20,-20,-20,342,1
20,6,-16,-20,-20,-20,-20,345,1
20,-14,-18,-20,-20,-20,-20,346,1
20,-15,8,-20,-20,-20,-20,347,1
20,-12,-14,-20,-20,-20,20,350,1
-20,-6,2,20,-20,-20,-20,352,1
20,-12,-2,-20,-20,-20,20,354,1
