long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,RowNum,gender
-250,50,-174,-250,-250,250,-250,1,1
250,50,-49,-250,-250,-250,-250,4,1
-250,-50,-224,-250,-250,-250,-250,7,1
250,-150,-174,250,-250,250,250,8,1
250,-150,-174,-250,-250,-250,-250,9,1
250,50,100,-250,-250,-250,-250,14,1
250,50,-49,-250,-250,-250,-250,17,1
250,-150,-224,-250,-250,-250,-250,18,1
250,-50,75,250,-250,-250,250,22,1
-250,50,-199,-250,-250,-250,-250,24,1
250,-150,50,-250,-250,-250,-250,25,1
250,50,25,-250,-250,-250,-250,26,1
250,-150,-224,-250,-250,-250,-250,27,1
250,-150,-199,250,-250,-250,-250,32,1
250,-150,-24,250,-250,-250,-250,33,1
250,-50,-24,-250,-250,-250,-250,36,1
250,50,-249,250,-250,-250,-250,37,1
-250,50,-224,-250,-250,-250,-250,38,1
250,50,-49,-250,-250,-250,-250,40,1
250,-150,25,-250,-250,-250,-250,43,1
250,50,-249,-250,-250,-250,-250,46,1
250,-150,50,250,-250,250,-250,48,1
250,-150,-149,-250,250,-250,-250,49,1
250,-50,75,-250,-250,-250,250,51,1
250,-50,-199,-250,-250,-250,-250,52,1
250,50,-199,-250,-250,-250,-250,53,1
250,-250,-124,-250,-250,250,250,55,1
250,50,-49,-250,-250,-250,-250,59,1
250,-50,-149,-250,-250,250,-250,60,1
250,50,100,-250,-250,-250,-250,64,1
250,-150,-249,-250,-250,250,250,65,1
250,50,25,-250,-250,-250,-250,66,1
250,-150,25,-250,250,-250,-250,67,1
250,50,-74,-250,-250,250,-250,68,1
-250,-150,50,-250,-250,250,250,69,1
250,-150,0,-250,-250,-250,-250,70,1
250,50,100,-250,-250,250,250,74,1
-250,-150,-24,-250,250,-250,-250,75,1
250,50,-224,-250,-250,-250,-250,76,1
250,-150,100,-250,-250,-250,-250,80,1
-250,-150,-49,-250,-250,-250,-250,81,1
250,-150,-249,-250,250,-250,-250,83,1
250,50,-249,-250,-250,-250,250,84,1
250,-150,0,-250,-250,-250,-250,87,1
250,-150,-124,250,-250,-250,-250,90,1
250,-50,-249,-250,-250,-250,-250,91,1
-250,-50,-174,-250,-250,-250,-250,93,1
-250,-150,75,-250,-250,-250,-250,98,1
-250,-150,-49,-250,-250,-250,-250,99,1
-250,-150,100,250,-250,250,250,106,1
250,50,-149,-250,250,-250,-250,109,1
250,-150,25,-250,250,-250,-250,111,1
250,50,-174,-250,-250,-250,-250,114,1
250,-50,0,-250,-250,-250,250,115,1
250,-50,75,-250,-250,-250,250,116,1
250,50,0,-250,-250,-250,-250,117,1
250,-150,50,-250,250,250,-250,120,1
250,-50,-174,-250,250,-250,-250,121,1
250,-50,-224,-250,-250,-250,-250,122,1
250,50,-24,-250,-250,-250,-250,125,1
250,-150,100,-250,-250,-250,-250,128,1
250,-150,-174,-250,-250,-250,250,129,1
250,-150,-74,-250,250,-250,-250,131,1
250,-150,-49,-250,-250,-250,-250,133,1
250,-150,-199,-250,-250,-250,-250,135,1
250,50,-224,250,250,-250,-250,137,1
250,-50,100,-250,-250,-250,-250,140,1
250,-50,-24,-250,250,250,-250,142,1
250,-50,-124,-250,-250,-250,-250,143,1
250,-150,50,-250,-250,-250,-250,145,1
250,-50,50,-250,-250,250,-250,148,1
250,-150,-149,-250,-250,-250,-250,151,1
250,-50,75,-250,-250,-250,-250,154,1
250,-50,25,-250,-250,-250,-250,155,1
250,-150,-149,-250,-250,-250,-250,157,1
-250,50,-74,-250,-250,-250,-250,160,1
-250,-50,25,-250,-250,250,-250,165,1
250,50,-24,-250,-250,-250,-250,168,1
250,-150,-174,-250,-250,-250,-250,170,1
-250,-150,-174,-250,-250,-250,250,171,1
250,-150,0,-250,-250,-250,-250,174,1
250,-150,75,-250,-250,-250,-250,176,1
250,-150,-124,-250,-250,-250,-250,179,1
250,50,25,-250,-250,-250,-250,180,1
250,-150,-174,-250,-250,-250,-250,183,1
250,-150,-24,-250,-250,250,-250,185,1
250,50,25,-250,-250,250,-250,188,1
250,50,-149,-250,-250,-250,-250,190,1
250,50,-74,-250,-250,-250,-250,193,1
250,50,-124,-250,-250,-250,-250,195,1
250,-150,-49,-250,-250,250,-250,197,1
250,50,-199,-250,-250,-250,-250,198,1
250,-150,-199,-250,-250,-250,-250,199,1
250,-150,-74,-250,-250,-250,-250,201,1
-250,-50,-174,-250,250,-250,-250,202,1
-250,-150,-99,-250,-250,-250,250,204,1
250,-50,-249,-250,250,250,-250,208,1
250,-150,-149,-250,-250,250,-250,209,1
250,-150,-174,250,-250,-250,-250,210,1
250,50,-199,-250,250,-250,-250,211,1
-250,50,100,-250,-250,250,250,212,1
-250,-150,50,-250,-250,250,-250,216,1
250,-150,-149,-250,-250,-250,-250,217,1
250,-150,50,-250,-250,-250,-250,219,1
250,50,-24,-250,250,-250,-250,220,1
-250,-50,25,-250,-250,-250,250,222,1
250,50,-99,-250,-250,-250,-250,223,1
250,50,-24,250,-250,-250,-250,228,1
250,-50,-249,-250,-250,-250,-250,230,1
250,-50,25,-250,-250,250,-250,232,1
250,50,75,-250,-250,250,-250,233,1
250,-50,-199,-250,250,-250,-250,239,1
250,50,25,-250,-250,-250,250,242,1
250,-150,-124,-250,-250,250,-250,245,1
250,-50,0,-250,-250,250,-250,246,1
250,-150,-224,-250,-250,-250,-250,247,1
250,-50,50,-250,-250,250,250,250,1
250,50,75,-250,-250,-250,-250,254,1
250,-50,-99,250,-250,-250,-250,256,1
250,-150,-99,-250,-250,-250,-250,257,1
250,50,25,-250,-250,-250,-250,259,1
250,-150,-199,250,-250,-250,-250,260,1
-250,-150,-124,-250,-250,-250,250,264,1
250,-150,-199,-250,-250,-250,-250,269,1
250,-150,-124,-250,-250,-250,-250,271,1
250,50,100,-250,-250,-250,250,272,1
250,50,0,-250,-250,-250,-250,275,1
250,50,-49,-250,250,-250,250,276,1
250,50,100,-250,-250,250,-250,277,1
250,50,-24,-250,-250,-250,-250,278,1
250,-50,-49,-250,-250,-250,250,281,1
250,-150,50,-250,-250,-250,250,284,1
250,50,0,-250,-250,-250,-250,285,1
250,50,-224,-250,-250,-250,-250,288,1
250,50,-199,-250,-250,-250,250,289,1
250,50,-74,-250,-250,-250,-250,291,1
-250,-150,-99,-250,-250,-250,-250,293,1
250,-50,25,-250,-250,-250,-250,295,1
250,-50,-199,250,250,250,-250,302,1
250,-150,-124,-250,-250,-250,250,303,1
250,50,-74,-250,-250,250,250,304,1
250,-150,-249,-250,-250,-250,-250,309,1
-250,-150,-224,-250,-250,-250,-250,310,1
250,-150,-149,-250,-250,-250,250,311,1
-250,-50,100,-250,250,-250,-250,312,1
250,-250,-149,-250,-250,-250,-250,313,1
250,50,-124,-250,250,-250,-250,315,1
250,-150,-24,-250,-250,-250,-250,318,1
250,50,0,-250,250,250,-250,319,1
250,50,0,-250,-250,-250,-250,320,1
250,-150,-49,-250,-250,-250,-250,322,1
250,-150,-99,-250,-250,-250,-250,323,1
250,-50,100,-250,-250,-250,-250,324,1
250,50,-249,-250,-250,-250,-250,325,1
250,-150,-149,-250,-250,-250,-250,326,1
250,-150,-199,-250,-250,-250,-250,327,1
250,-50,-99,-250,-250,250,-250,328,1
250,-150,-49,250,-250,-250,-250,329,1
250,-150,-224,-250,-250,-250,-250,333,1
250,50,25,-250,-250,-250,-250,339,1
-250,50,-199,250,-250,-250,250,340,1
250,-250,-24,-250,-250,-250,-250,341,1
250,50,100,-250,-250,-250,-250,342,1
250,50,-199,-250,-250,-250,-250,345,1
250,-150,-224,-250,-250,-250,-250,346,1
250,-150,100,-250,-250,-250,-250,347,1
250,-150,-174,-250,-250,-250,250,350,1
-250,-50,25,250,-250,-250,-250,352,1
250,-150,-24,-250,-250,-250,250,354,1
-250,-150,25,-250,-250,-250,-250,356,1
250,50,25,-250,-250,-250,-250,358,1
250,-150,-49,-250,-250,-250,250,360,1
250,50,100,-250,-250,-250,-250,362,1
250,-50,75,-250,-250,-250,-250,363,1
250,-150,-249,-250,-250,250,-250,365,1
250,50,-149,-250,250,-250,-250,367,1
250,50,-149,-250,-250,-250,-250,369,1
250,50,-24,-250,-250,-250,-250,371,1
250,-150,-49,-250,-250,-250,-250,372,1
250,-150,75,-250,-250,-250,-250,373,1
-250,-250,-174,-250,-250,-250,-250,374,1
250,-50,-24,-250,-250,-250,-250,375,1
250,-150,-174,-250,-250,-250,250,377,1
250,50,25,-250,-250,-250,-250,382,1
250,-50,50,-250,-250,-250,250,383,1
-250,-50,50,-250,-250,250,-250,385,1
250,-50,-149,-250,-250,250,-250,389,1
250,-50,-49,250,-250,250,-250,390,1
250,-50,0,-250,-250,-250,-250,393,1
250,-50,-149,-250,-250,-250,-250,394,1
250,-150,100,-250,-250,-250,-250,398,1
-250,-50,25,-250,-250,-250,-250,399,1
-250,-150,-249,-250,-250,-250,-250,400,1
250,50,-174,-250,-250,-250,-250,401,1
250,-50,-49,-250,-250,-250,-250,405,1
250,50,-174,-250,-250,-250,-250,408,1
250,-150,75,-250,-250,250,-250,409,1
-250,50,50,-250,-250,-250,-250,411,1
250,-50,0,-250,250,-250,-250,412,1
250,50,-149,-250,-250,-250,-250,413,1
250,50,25,-250,-250,250,250,417,1
-250,50,-174,-250,-250,-250,-250,419,1
250,50,-224,-250,250,250,-250,420,1
250,-150,-49,250,-250,-250,-250,422,1
-250,-150,-249,250,-250,-250,-250,423,1
250,-150,-124,-250,-250,-250,-250,426,1
250,50,0,-250,-250,-250,-250,428,1
250,50,75,-250,250,-250,-250,429,1
250,-150,-174,-250,-250,-250,-250,430,1
250,-150,-49,-250,-250,-250,-250,432,1
250,50,-249,-250,-250,-250,-250,434,1
250,-50,25,-250,-250,-250,-250,435,1
-250,-50,-249,-250,-250,-250,250,437,1
250,50,-149,250,250,-250,-250,439,1
250,-150,0,250,-250,-250,-250,440,1
250,50,-224,-250,-250,-250,-250,444,1
250,50,0,-250,-250,250,-250,445,1
250,-150,-49,250,-250,-250,-250,447,1
250,50,0,-250,-250,-250,-250,448,1
-250,-150,-74,-250,250,-250,-250,450,1
250,-150,75,-250,-250,-250,-250,452,1
250,-50,25,-250,-250,-250,-250,453,1
250,-150,0,-250,-250,-250,-250,454,1
250,-150,100,-250,-250,-250,-250,455,1
-250,50,-74,-250,-250,-250,-250,458,1
250,-150,100,-250,-250,-250,-250,462,1
250,-250,0,-250,-250,-250,-250,464,1
250,-50,-149,-250,-250,-250,-250,466,1
250,-50,0,-250,250,-250,-250,469,1
250,-50,-149,250,250,-250,250,472,1
250,-150,100,-250,-250,-250,250,473,1
250,-150,-24,-250,-250,-250,-250,474,1
250,-150,-24,-250,-250,-250,-250,477,1
250,-50,-24,-250,-250,-250,-250,478,1
250,-250,-49,-250,250,250,-250,481,1
250,50,75,-250,-250,-250,-250,482,1
250,-50,-199,250,250,-250,-250,483,1
250,-150,-149,-250,-250,-250,-250,484,1
250,-50,-149,-250,-250,-250,-250,486,1
250,-150,-199,-250,-250,-250,-250,488,1
250,-150,75,-250,-250,-250,-250,492,1
250,-150,-199,-250,250,-250,-250,496,1
250,-150,-249,-250,250,-250,-250,499,1
-250,-150,-74,-250,-250,250,-250,500,1
250,-50,50,-250,-250,-250,-250,503,1
250,-150,-224,-250,-250,-250,-250,505,1
250,50,75,-250,-250,-250,-250,506,1
250,-150,25,-250,-250,250,-250,507,1
-250,50,-224,250,-250,-250,-250,508,1
250,50,-99,-250,-250,-250,250,511,1
250,-150,-124,-250,-250,-250,-250,512,1
250,50,-99,-250,-250,-250,-250,513,1
250,-50,-124,-250,-250,-250,250,515,1
250,50,-149,-250,-250,-250,-250,516,1
250,50,-149,-250,-250,250,-250,517,1
250,-50,50,-250,-250,-250,-250,519,1
250,-50,75,-250,-250,-250,-250,520,1
250,-150,-99,-250,250,-250,-250,522,1
250,-50,-49,-250,-250,-250,-250,524,1
250,50,-199,-250,-250,-250,-250,525,1
250,-50,-249,-250,-250,-250,-250,526,1
250,50,-199,-250,-250,-250,250,527,1
250,50,-124,-250,-250,-250,-250,529,1
250,-50,-249,-250,-250,-250,-250,531,1
250,-50,-149,-250,-250,-250,-250,532,1
250,-150,-124,-250,-250,-250,-250,533,1
-250,-150,75,-250,-250,-250,250,534,1
250,50,-124,-250,-250,-250,-250,539,1
250,-50,-124,-250,-250,-250,-250,545,1
250,50,-24,-250,-250,-250,-250,546,1
250,50,-199,-250,-250,-250,-250,553,1
250,50,-49,-250,-250,-250,-250,558,1
-250,-150,-74,-250,-250,-250,-250,561,1
250,50,-249,250,-250,-250,-250,562,1
250,-50,-74,-250,-250,-250,-250,563,1
250,-150,25,250,250,-250,-250,564,1
250,50,0,-250,-250,-250,-250,567,1
250,-50,-124,-250,-250,-250,250,568,1
250,50,-124,-250,-250,-250,250,571,1
250,50,-99,-250,-250,250,-250,572,1
250,-50,-124,-250,-250,-250,-250,575,1
250,-50,75,-250,-250,-250,-250,580,1
250,-150,-249,-250,-250,-250,-250,581,1
250,-150,-224,-250,-250,-250,-250,584,1
250,-150,0,-250,-250,-250,-250,585,1
250,50,-224,-250,-250,-250,-250,587,1
250,-150,75,-250,-250,250,250,588,1
250,-50,100,-250,-250,-250,-250,591,1
250,-150,-124,-250,-250,-250,-250,593,1
250,50,-24,-250,-250,-250,-250,595,1
250,-150,-74,-250,-250,-250,-250,596,1
250,-150,100,-250,-250,-250,-250,598,1
-250,-250,-174,-250,-250,-250,250,599,1
250,50,-149,-250,-250,250,-250,600,1
250,50,0,-250,-250,-250,-250,601,1
250,-150,-199,-250,-250,-250,-250,602,1
250,-150,75,-250,250,-250,-250,604,1
250,-50,-174,-250,-250,-250,-250,605,1
250,50,-49,-250,-250,-250,-250,608,1
