long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,RowNum,gender
-20,-6,2,-20,20,-20,-20,2260,1
20,-8,-2,-20,-20,20,20,4814,1
20,-4,6,-20,-20,-20,-20,3755,1
20,7,-4,-20,-20,-20,-20,709,1
20,7,-20,-20,-20,-20,-20,2475,1
20,-12,-18,-20,-20,-20,-20,2929,1
20,5,-10,-20,-20,-20,-20,4635,1
20,-16,4,-20,-20,-20,20,685,1
20,4,-14,-20,-20,-20,-20,3644,1
20,-16,-18,-20,-20,-20,-20,4233,1
20,-7,8,-20,-20,-20,-20,2799,1
20,-14,8,-20,-20,-20,20,473,1
20,-1,-14,-20,-20,-20,-20,3193,1
20,-12,6,-20,-20,-20,-20,3964,1
20,0,-6,-20,-20,-20,-20,2416,1
20,-7,-4,-20,-20,-20,-20,2497,1
20,-12,-8,-20,-20,-20,-20,2229,1
20,2,-6,-20,-20,20,-20,755,1
20,-4,-2,-20,-20,-20,-20,1153,1
20,-20,-4,-20,-20,-20,-20,2430,1
20,-3,2,-20,-20,-20,-20,1645,1
20,-5,-6,-20,-20,-20,-20,1805,1
20,0,-6,-20,-20,-20,-20,2313,1
20,-3,-20,-20,-20,-20,-20,3695,1
20,-16,6,-20,20,20,-20,2711,1
20,-14,-12,-20,-20,-20,-20,4120,1
20,1,-6,-20,-20,-20,-20,4145,1
20,-16,-10,-20,-20,-20,-20,4843,1
20,8,-2,-20,-20,-20,20,4868,1
20,0,-14,-20,-20,-20,-20,2302,1
20,8,-2,-20,-20,20,-20,4590,1
20,-11,-8,-20,-20,-20,-20,2577,1
20,-8,0,-20,-20,-20,-20,3665,1
20,-20,-8,-20,-20,-20,-20,3778,1
20,-5,-8,-20,-20,-20,-20,4998,1
20,-4,4,-20,-20,-20,-20,1652,1
20,-15,-14,-20,-20,-20,-20,4034,1
20,-1,-12,-20,-20,20,20,2351,1
20,-6,-12,-20,-20,-20,-20,3945,1
20,0,-10,-20,-20,-20,-20,4658,1
20,-2,-12,20,-20,-20,-20,2914,1
20,8,6,-20,-20,-20,-20,482,1
20,8,-8,-20,-20,-20,-20,4758,1
20,0,4,-20,-20,-20,20,4741,1
20,-1,8,-20,-20,-20,-20,4718,1
20,-2,0,-20,-20,-20,-20,1175,1
-20,-19,-16,-20,20,-20,20,4861,1
20,-10,-10,20,-20,-20,-20,1871,1
20,-9,4,-20,-20,-20,-20,2923,1
-20,-14,-10,-20,-20,20,-20,2964,1
20,-14,-16,20,-20,-20,-20,4945,1
20,-19,-8,-20,20,20,-20,3866,1
20,-1,-4,-20,20,-20,-20,1963,1
20,0,-14,20,20,-20,-20,3389,1
20,6,-18,-20,-20,-20,20,3862,1
20,-11,0,-20,-20,-20,20,4321,1
20,-16,-18,-20,-20,-20,-20,1449,1
20,-15,2,-20,-20,-20,-20,4620,1
20,-16,-20,-20,-20,-20,-20,4042,1
20,4,-20,-20,20,20,20,4299,1
20,-14,-16,-20,20,-20,-20,496,1
20,6,-6,-20,-20,-20,-20,2034,1
20,5,-12,-20,20,-20,20,2852,1
-20,-10,-10,-20,-20,-20,-20,2970,1
20,-19,-4,20,20,20,-20,3126,1
20,-17,-4,-20,-20,20,-20,891,1
20,6,-18,-20,-20,-20,-20,444,1
20,-3,-8,-20,-20,-20,-20,3962,1
20,4,-12,-20,-20,-20,-20,4385,1
20,-18,2,-20,-20,-20,-20,2190,1
20,-13,-4,-20,-20,-20,20,1959,1
20,-13,-6,-20,20,-20,-20,982,1
20,-9,-10,-20,-20,-20,-20,426,1
20,-10,0,-20,20,-20,-20,1448,1
20,4,8,-20,-20,-20,-20,64,1
20,-11,-8,-20,20,-20,-20,522,1
20,5,-18,-20,-20,-20,-20,288,1
20,-10,0,-20,-20,-20,-20,1716,1
20,-14,-20,-20,-20,20,-20,1954,1
-20,3,4,-20,-20,-20,-20,3472,1
20,-14,6,-20,-20,-20,-20,3083,1
20,-14,6,-20,-20,-20,-20,492,1
20,-15,-8,-20,-20,-20,-20,3996,1
20,-10,0,-20,-20,-20,-20,2328,1
20,0,-12,-20,-20,-20,-20,2960,1
20,2,-14,-20,-20,20,20,2210,1
20,-12,-2,-20,-20,-20,20,354,1
-20,-11,6,-20,-20,-20,-20,3290,1
20,-12,6,-20,-20,-20,-20,2554,1
20,-14,-16,-20,-20,-20,-20,3656,1
20,0,-2,-20,-20,-20,-20,1541,1
-20,-5,-16,-20,-20,-20,-20,4113,1
-20,-17,-8,-20,-20,-20,-20,2865,1
20,-15,2,20,-20,-20,-20,2061,1
20,-17,2,20,-20,-20,-20,4959,1
20,2,-6,-20,-20,-20,-20,898,1
20,-14,2,-20,-20,-20,-20,3494,1
20,-18,-20,-20,-20,-20,-20,1372,1
-20,-8,-12,-20,-20,-20,-20,4626,1
20,-3,6,-20,-20,-20,20,1567,1
20,-3,-20,-20,-20,-20,-20,1879,1
20,-6,-20,-20,-20,-20,-20,3425,1
20,-1,-20,-20,-20,20,20,1318,1
20,-5,-6,-20,-20,20,-20,2046,1
20,-3,4,-20,20,-20,-20,2749,1
20,-12,-8,-20,-20,-20,-20,2035,1
-20,-11,-10,-20,-20,-20,20,264,1
20,-9,4,-20,-20,-20,-20,2628,1
20,0,8,20,-20,20,-20,1668,1
20,4,-18,-20,-20,-20,-20,1884,1
20,1,-18,20,-20,-20,-20,3995,1
20,-14,-10,-20,-20,-20,-20,2394,1
20,0,2,-20,20,-20,-20,4356,1
20,-16,0,-20,-20,-20,20,2327,1
20,-7,2,-20,-20,20,-20,2446,1
20,3,-20,20,-20,-20,-20,2464,1
20,4,2,-20,-20,20,20,417,1
-20,-6,4,-20,-20,20,-20,385,1
-20,-10,-16,-20,20,-20,-20,2818,1
-20,-14,-6,-20,-20,-20,-20,1526,1
20,-2,-16,-20,-20,-20,-20,2369,1
20,6,-4,-20,-20,20,-20,4053,1
-20,-8,-8,-20,-20,20,-20,3050,1
20,-15,-2,-20,20,-20,-20,4080,1
20,5,-20,20,-20,-20,-20,37,1
20,-2,-8,-20,-20,-20,-20,1428,1
20,6,0,-20,-20,-20,-20,1189,1
20,-19,-10,-20,-20,-20,-20,2836,1
-20,-2,0,-20,-20,-20,-20,4268,1
20,1,-10,-20,-20,-20,20,2681,1
20,-16,-20,-20,20,-20,-20,2043,1
20,-18,8,-20,-20,-20,-20,1234,1
20,-5,-2,-20,-20,-20,-20,2850,1
20,-12,-12,-20,20,20,-20,4878,1
20,-18,-20,-20,-20,-20,-20,2982,1
-20,3,-12,-20,-20,-20,-20,4437,1
20,-14,-4,-20,-20,-20,-20,3637,1
20,-14,-12,-20,-20,-20,-20,4545,1
20,8,-4,-20,-20,-20,-20,852,1
-20,-7,6,-20,-20,-20,-20,1985,1
20,-6,-10,-20,-20,-20,20,2506,1
20,-8,-20,-20,-20,-20,-20,4438,1
20,0,-10,20,-20,-20,-20,1395,1
-20,6,-6,-20,-20,-20,-20,160,1
20,-1,-12,-20,-20,-20,-20,394,1
20,-18,-16,-20,-20,-20,-20,3209,1
20,-6,0,-20,-20,-20,-20,3393,1
20,-17,-6,-20,-20,-20,-20,4932,1
20,0,-4,-20,-20,-20,-20,4,1
20,-10,-20,-20,-20,-20,-20,678,1
20,-5,-12,-20,-20,-20,-20,2870,1
20,-20,-10,-20,-20,-20,-20,765,1
20,-11,-20,-20,-20,-20,-20,4639,1
20,-19,-6,-20,-20,-20,20,2122,1
20,-3,-16,-20,-20,-20,-20,2885,1
20,-5,-16,20,-20,-20,-20,1650,1
20,8,2,-20,-20,-20,20,615,1
20,-3,-8,-20,-20,20,-20,3047,1
20,-14,-18,-20,-20,-20,20,3244,1
20,2,-14,-20,-20,20,20,4895,1
20,-4,-16,-20,-20,-20,-20,1486,1
20,-5,-20,-20,-20,-20,-20,2727,1
20,3,2,-20,-20,20,-20,188,1
20,5,-6,20,-20,-20,-20,3507,1
20,0,0,-20,-20,-20,-20,3692,1
20,-6,-16,20,-20,-20,20,3072,1
-20,-5,2,-20,-20,-20,-20,723,1
20,5,4,-20,20,-20,-20,2726,1
20,-12,0,-20,-20,-20,20,3400,1
20,3,-12,-20,-20,-20,-20,413,1
20,4,-8,-20,-20,-20,-20,1329,1
-20,6,-4,-20,20,-20,-20,3556,1
20,3,-16,-20,20,-20,-20,1309,1
-20,-15,2,-20,-20,-20,-20,1328,1
-20,1,-12,-20,-20,-20,20,3367,1
20,-17,-18,-20,-20,-20,20,3791,1
