long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,RowNum,gender
20,-16,0,20,-20,20,20,0,0
-20,5,-14,-20,-20,20,-20,1,1
-20,-16,4,20,20,20,20,2,0
-20,9,0,-20,20,20,20,3,0
20,0,-4,-20,-20,-20,-20,4,1
20,-4,14,20,20,20,20,5,0
20,18,2,20,20,20,-20,6,0
-20,-4,-18,-20,-20,-20,-20,7,1
20,-15,-14,20,-20,20,20,8,1
20,-13,-14,-20,-20,-20,-20,9,1
-20,-9,-14,20,20,20,20,10,0
20,20,-6,20,20,20,20,11,0
-20,12,-18,20,20,20,20,12,0
20,10,12,-20,20,20,20,13,0
20,7,8,-20,-20,-20,-20,14,1
-20,-9,-18,20,20,20,20,15,0
20,17,-2,20,20,20,20,16,0
20,5,-4,-20,-20,-20,-20,17,1
20,-15,-18,-20,-20,-20,-20,18,1
20,9,-10,20,-20,20,20,19,0
20,11,4,20,20,20,20,20,0
20,-6,18,20,20,20,20,21,0
20,-5,6,20,-20,-20,20,22,1
-20,-12,-2,20,20,-20,20,23,0
-20,7,-16,-20,-20,-20,-20,24,1
20,-11,4,-20,-20,-20,-20,25,1
20,7,2,-20,-20,-20,-20,26,1
20,-9,-18,-20,-20,-20,-20,27,1
20,20,-8,20,20,20,-20,28,0
20,18,4,20,20,20,20,29,0
20,18,-18,20,20,20,20,30,0
20,-11,14,20,20,20,20,31,0
20,-16,-16,20,-20,-20,-20,32,1
20,-16,-2,20,-20,-20,-20,33,1
20,-7,-14,-20,20,20,20,34,0
20,6,0,20,20,20,20,35,0
20,-5,-2,-20,-20,-20,-20,36,1
20,5,-20,20,-20,-20,-20,37,1
-20,0,-18,-20,-20,-20,-20,38,1
-20,20,4,20,20,20,20,39,0
20,6,-4,-20,-20,-20,-20,40,1
20,9,14,20,20,20,20,41,0
20,-12,0,20,20,20,20,42,0
20,-19,2,-20,-20,-20,-20,43,1
-20,-5,4,20,20,20,20,44,0
20,-13,-18,20,20,20,20,45,0
20,3,-20,-20,-20,-20,-20,46,1
20,2,-16,-20,20,20,-20,47,0
20,-19,4,20,-20,20,-20,48,1
20,-14,-12,-20,20,-20,-20,49,1
20,6,-14,20,20,20,-20,50,0
20,-6,6,-20,-20,-20,20,51,1
20,-5,-16,-20,-20,-20,-20,52,1
20,0,-16,-20,-20,-20,-20,53,1
20,5,-16,20,20,20,20,54,0
20,-20,-10,-20,-20,20,20,55,1
20,19,-20,20,20,20,-20,56,0
20,0,-2,20,20,20,20,57,0
20,5,-14,-20,20,-20,20,58,0
20,6,-4,-20,-20,-20,-20,59,1
20,-1,-12,-20,-20,20,-20,60,1
20,-2,-6,-20,20,20,20,61,0
20,-15,-14,20,20,-20,-20,62,1
-20,8,-10,20,20,20,20,63,0
20,4,8,-20,-20,-20,-20,64,1
20,-16,-20,-20,-20,20,20,65,1
20,7,2,-20,-20,-20,-20,66,1
20,-17,2,-20,20,-20,-20,67,1
20,7,-6,-20,-20,20,-20,68,1
-20,-13,4,-20,-20,20,20,69,1
20,-16,0,-20,-20,-20,-20,70,1
20,16,-2,20,20,20,20,71,0
20,-2,2,20,20,20,20,72,0
20,15,14,20,-20,-20,-20,73,0
20,7,8,-20,-20,20,20,74,1
-20,-10,-2,-20,20,-20,-20,75,1
20,6,-18,-20,-20,-20,-20,76,1
20,4,-4,20,-20,20,20,77,0
20,-16,-2,20,20,20,20,78,0
20,-18,20,-20,20,20,20,79,0
20,-10,8,-20,-20,-20,-20,80,1
-20,-19,-4,-20,-20,-20,-20,81,1
20,2,12,20,20,20,20,82,0
20,-12,-20,-20,20,-20,-20,83,1
20,2,-20,-20,-20,-20,20,84,1
20,-9,-10,20,20,-20,20,85,0
20,-15,-2,20,20,20,20,86,0
20,-10,0,-20,-20,-20,-20,87,1
20,-8,-4,-20,-20,20,20,88,0
20,6,2,20,-20,20,20,89,0
20,-11,-10,20,-20,-20,-20,90,1
20,-5,-20,-20,-20,-20,-20,91,1
20,-1,-4,20,20,20,20,92,0
-20,-4,-14,-20,-20,-20,-20,93,1
20,-12,8,20,20,-20,20,94,0
20,-4,-18,-20,20,20,20,95,0
20,-12,2,20,20,20,20,96,0
20,16,14,20,20,20,20,97,0
-20,-14,6,-20,-20,-20,-20,98,1
-20,-11,-4,-20,-20,-20,-20,99,1
20,18,-10,-20,20,20,20,100,0
20,2,-14,20,20,-20,20,101,0
20,9,-8,20,20,20,20,102,0
20,10,4,20,20,20,-20,103,0
20,-13,8,20,20,20,20,104,0
20,-16,8,20,20,-20,20,105,0
-20,-16,8,20,-20,20,20,106,1
20,18,12,20,20,20,20,107,0
20,13,0,20,20,20,20,108,0
20,4,-12,-20,20,-20,-20,109,1
20,20,-16,20,20,20,-20,110,0
20,-9,2,-20,20,-20,-20,111,1
20,-3,10,20,-20,20,20,112,0
20,18,-16,20,20,20,-20,113,0
20,3,-14,-20,-20,-20,-20,114,1
20,-6,0,-20,-20,-20,20,115,1
20,-5,6,-20,-20,-20,20,116,1
20,8,0,-20,-20,-20,-20,117,1
20,3,12,20,20,20,20,118,0
20,-18,-20,20,20,20,20,119,0
20,-19,4,-20,20,20,-20,120,1
20,0,-14,-20,20,-20,-20,121,1
20,-5,-18,-20,-20,-20,-20,122,1
20,-16,20,20,20,20,20,123,0
20,-8,6,-20,20,-20,20,124,0
20,5,-2,-20,-20,-20,-20,125,1
20,7,2,20,20,20,20,126,0
20,-13,2,20,20,20,20,127,0
20,-14,8,-20,-20,-20,-20,128,1
20,-11,-14,-20,-20,-20,20,129,1
20,-7,14,20,20,20,20,130,0
20,-9,-6,-20,20,-20,-20,131,1
20,-16,-14,-20,20,20,20,132,0
20,-18,-4,-20,-20,-20,-20,133,1
20,-17,4,20,-20,-20,-20,134,0
20,-15,-16,-20,-20,-20,-20,135,1
20,-2,-12,20,-20,20,20,136,0
20,3,-18,20,20,-20,-20,137,1
20,-10,-4,20,20,20,20,138,0
20,-2,-10,20,-20,20,20,139,0
20,-8,8,-20,-20,-20,-20,140,1
20,-3,2,20,20,20,20,141,0
20,-2,-2,-20,20,20,-20,142,1
20,-7,-10,-20,-20,-20,-20,143,1
20,7,8,20,20,20,20,144,0
20,-15,4,-20,-20,-20,-20,145,1
20,4,-20,20,20,20,20,146,0
20,-15,14,20,20,20,20,147,0
20,0,4,-20,-20,20,-20,148,1
20,19,10,20,20,20,20,149,0
20,-16,-18,20,-20,20,20,150,0
20,-17,-12,-20,-20,-20,-20,151,1
20,0,6,20,20,20,20,152,0
-20,-9,14,20,20,-20,20,153,0
20,-1,6,-20,-20,-20,-20,154,1
20,-5,2,-20,-20,-20,-20,155,1
20,-6,-4,20,20,20,20,156,0
20,-15,-12,-20,-20,-20,-20,157,1
20,18,-12,20,20,20,-20,158,0
20,-9,0,-20,20,20,20,159,0
-20,6,-6,-20,-20,-20,-20,160,1
20,5,10,20,20,20,20,161,0
20,8,-18,20,20,20,20,162,0
20,-15,20,-20,20,20,20,163,0
20,11,2,20,20,20,20,164,0
-20,-1,2,-20,-20,20,-20,165,1
20,-7,-8,20,20,20,20,166,0
20,-18,-14,20,20,20,20,167,0
20,6,-2,-20,-20,-20,-20,168,1
20,-6,10,20,20,20,20,169,0
20,-14,-14,-20,-20,-20,-20,170,1
-20,-18,-14,-20,-20,-20,20,171,1
20,-3,0,20,-20,20,20,172,0
20,9,20,-20,-20,20,20,173,0
20,-18,0,-20,-20,-20,-20,174,1
20,-7,-8,20,20,20,20,175,0
20,-12,6,-20,-20,-20,-20,176,1
20,-14,-12,20,20,20,20,177,0
-20,-9,-2,20,20,-20,20,178,0
20,-9,-10,-20,-20,-20,-20,179,1
20,0,2,-20,-20,-20,-20,180,1
-20,-8,-6,20,20,20,-20,181,0
20,-11,-6,20,20,20,20,182,0
20,-12,-14,-20,-20,-20,-20,183,1
20,7,20,20,20,20,20,184,0
20,-15,-2,-20,-20,20,-20,185,1
20,16,-10,20,20,20,20,186,0
20,-16,-4,20,20,20,20,187,0
20,3,2,-20,-20,20,-20,188,1
20,15,2,20,-20,-20,20,189,0
20,2,-12,-20,-20,-20,-20,190,1
-20,0,6,-20,-20,20,20,191,0
20,-4,2,20,20,20,20,192,0
20,0,-6,-20,-20,-20,-20,193,1
-20,-15,-14,20,-20,20,20,194,0
20,3,-10,-20,-20,-20,-20,195,1
20,-16,4,20,20,20,20,196,0
20,-15,-4,-20,-20,20,-20,197,1
20,6,-16,-20,-20,-20,-20,198,1
20,-17,-16,-20,-20,-20,-20,199,1
20,-6,-16,20,20,20,20,200,0
20,-15,-6,-20,-20,-20,-20,201,1
-20,-7,-14,-20,20,-20,-20,202,1
-20,-10,2,20,-20,20,-20,203,0
-20,-19,-8,-20,-20,-20,20,204,1
20,-8,6,20,20,20,20,205,0
20,8,6,20,20,20,20,206,0
20,16,-20,20,20,20,20,207,0
