no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,RowNum,booking_status
-13500,-27000,-11571,-23823,-27000,-27000,-27000,-26878,27000,-22090,21600,-13500,-27000,-27000,-27000,-21000,-27000,2,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-1279,27000,-7363,7200,-13500,-27000,-27000,-27000,-17000,-27000,3,1
0,-27000,-19285,-23823,-9000,-27000,-27000,-21148,27000,-12272,-9000,-13500,-27000,-27000,-27000,-17550,-27000,4,1
0,-27000,-27000,-20647,9000,-27000,-27000,15176,27000,12272,-5400,-13500,-27000,-27000,-27000,-15500,-16200,5,1
0,-27000,-11571,-23823,-9000,-27000,-27000,-23343,27000,22090,18000,-13500,-27000,-27000,-27000,-18200,-27000,12,1
-13500,-27000,-11571,-27000,-27000,-27000,-27000,-15419,27000,22090,7200,-13500,-27000,-27000,-27000,-18000,-5400,13,1
0,-27000,-27000,-20647,9000,-27000,-27000,4205,27000,-2454,-1800,-13500,-27000,-27000,-27000,-15500,-16200,15,1
0,-27000,-11571,-20647,-27000,-27000,-27000,-14932,-27000,17181,25200,-13500,-27000,-27000,-27000,-20500,-27000,18,1
0,-27000,-11571,-20647,-27000,-27000,-27000,-14932,-27000,17181,25200,-13500,-27000,-27000,-27000,-20500,-27000,20,1
-13500,-27000,-27000,-20647,-27000,-27000,-18000,-26756,27000,-7363,5400,13500,-27000,-27000,-27000,-16000,-27000,27,1
-13500,-27000,-19285,-20647,-27000,-27000,-27000,-22489,-27000,22090,-18000,-13500,-27000,-27000,-27000,-23267,-27000,28,1
-13500,-27000,-11571,-23823,-27000,-27000,-27000,-22855,27000,-2454,5400,-13500,-27000,-27000,-27000,-18900,-27000,36,1
0,-27000,-11571,-17470,-9000,-27000,-27000,3108,27000,22090,5400,-13500,-27000,-27000,-27000,-20625,-27000,38,1
0,-27000,-11571,-23823,-27000,-27000,-18000,-4327,27000,2454,25200,-13500,-27000,-27000,-27000,-14820,-16200,39,1
0,-27000,-19285,-23823,-9000,-27000,-27000,-22002,27000,-2454,19800,-13500,-27000,-27000,-27000,-17190,-16200,43,1
0,-27000,-11571,-20647,9000,-27000,-27000,-6399,27000,-12272,10800,-13500,-27000,-27000,-27000,-16400,-27000,51,1
0,-27000,-19285,-14294,-27000,-27000,-18000,-22246,27000,-12272,7200,-13500,-27000,-27000,-27000,-14940,-27000,58,1
0,-27000,-27000,-20647,-27000,-27000,-18000,-23830,27000,-12272,-1800,-13500,-27000,-27000,-27000,-12800,-27000,67,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-5424,27000,-2454,-23400,-13500,-27000,-27000,-27000,-17000,-27000,73,1
13500,-27000,-11571,-11117,-27000,-27000,-18000,-8106,27000,-2454,21600,-13500,-27000,-27000,-27000,-14845,-5400,78,1
0,-16200,-27000,-20647,-27000,-27000,0,-16882,27000,-12272,-27000,-13500,-27000,-27000,-27000,-11069,-27000,80,1
0,-27000,-27000,-11117,-27000,-27000,-18000,-11397,27000,17181,-9000,-13500,-27000,-27000,-27000,-13769,-27000,81,1
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,87,1
0,-27000,-11571,-11117,-27000,-27000,-27000,-6155,27000,7363,25200,-13500,-27000,-27000,-27000,-15841,-27000,94,1
0,-27000,-27000,-20647,9000,-27000,-27000,12006,27000,7363,3600,-13500,-27000,-27000,-27000,-15500,-16200,96,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-4814,27000,12272,25200,-13500,-27000,-27000,-27000,-15210,-5400,110,1
0,-16200,-11571,-20647,-27000,-27000,-9000,-12860,27000,-2454,18000,-13500,-27000,-27000,-27000,-8576,-16200,114,1
13500,-27000,-11571,-11117,-27000,-27000,-18000,-22124,27000,-12272,10800,-13500,-27000,-27000,-27000,-13424,-27000,116,1
0,-27000,-27000,-23823,-27000,-27000,-27000,27000,27000,-12272,23400,-13500,-27000,-27000,-27000,-20500,-27000,118,1
