v1,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,RowNum,badGood
100,100,-45,100,100,71,-100,0,0,0,0,0,0,-100,15,54,-39,-100,-54,-70,100,0,0,100,91,52,100,100,-20,26,100,-32,100,3,1
100,2,-1,-10,-12,-1,-12,15,7,4,-6,0,0,-5,-16,0,-10,-12,-5,2,4,2,1,4,-2,-3,9,-8,1,0,0,0,12,5,1
-100,0,0,0,0,100,-100,0,0,-100,-100,0,0,0,0,100,100,-100,-100,0,0,0,0,100,100,100,100,0,0,100,100,0,0,7,1
100,-2,-8,0,0,0,0,11,-27,-46,-38,0,0,-34,39,-37,15,64,22,0,0,0,0,-15,-1,21,-2,0,0,17,24,-8,38,9,1
100,100,-54,100,-100,100,-100,100,36,100,-41,100,100,100,-100,100,-29,100,-94,100,100,100,100,100,-41,100,-63,100,-100,100,-100,100,-100,11,1
100,100,-87,100,22,85,-40,100,-12,100,35,100,8,100,-15,100,-100,100,-100,62,16,100,62,100,-17,100,36,100,-66,100,88,100,-19,13,1
100,51,-94,100,27,-4,-100,100,-100,44,-100,0,0,-100,-34,-38,4,100,-100,0,0,0,0,-16,92,40,27,0,0,100,23,0,0,15,1
-100,0,0,-100,-100,100,100,-100,100,-100,100,100,-100,100,100,-100,-100,-100,100,100,-100,-100,100,-100,100,100,-100,-100,100,-100,-100,100,-100,17,1
-100,100,-100,0,0,0,0,100,100,100,-100,-72,100,0,0,-100,100,100,100,-100,100,100,56,-100,100,100,100,100,-100,100,100,100,100,19,1
-100,100,100,0,0,0,0,-100,-100,0,0,0,0,-100,-100,-100,-100,-100,100,-100,100,0,0,0,0,100,-100,-100,100,-100,100,-100,100,21,1
-100,-100,100,0,0,0,0,-100,100,100,100,0,0,0,0,100,-100,-100,100,100,100,0,0,-100,-100,100,-100,100,100,-100,100,0,0,23,1
100,100,58,100,-100,100,-100,100,-100,100,-100,100,-100,100,-100,100,-100,100,-100,100,-63,100,-100,100,-100,100,-100,100,-100,100,-100,100,-100,25,1
-100,-100,-100,0,0,-100,100,100,-38,0,0,0,0,0,0,100,-100,-100,-100,100,-100,0,0,100,-100,-100,100,-100,-100,0,0,-100,100,27,1
-100,-100,-100,100,100,100,-100,-100,100,100,-100,-100,-100,0,0,100,100,-100,-100,100,-100,100,-100,100,100,100,-100,100,-100,-100,100,100,-100,29,1
100,100,-100,100,100,100,-100,100,-100,100,-100,100,-2,100,-100,100,100,100,-86,100,100,100,-100,0,0,100,100,100,-79,100,100,100,100,31,1
100,71,-3,41,-23,98,-9,100,-10,100,-11,59,100,84,-100,82,-18,81,-28,-26,93,52,5,65,-20,93,-41,64,-22,86,-87,-23,-100,33,1
100,66,-100,100,100,100,-67,81,-40,100,-100,100,-89,100,73,18,71,100,78,100,85,100,-100,100,85,100,-9,96,-36,100,65,100,35,35,1
-100,100,100,100,-100,0,0,0,0,-100,-100,0,0,0,0,-100,100,100,100,-100,100,-100,100,100,-100,100,100,-100,100,100,100,0,0,37,1
100,100,2,100,5,98,7,62,-100,91,11,88,54,82,14,77,15,100,41,66,16,60,17,54,16,49,16,43,15,38,15,100,100,39,1
100,-100,-100,100,100,100,-14,0,0,-100,100,100,100,18,-100,-100,-100,9,-100,100,-100,-100,100,-100,-100,100,-100,-100,-100,100,100,0,0,41,1
100,-64,-100,100,83,100,-100,100,-23,100,96,100,-38,100,-100,100,14,100,-100,100,-3,-84,100,54,86,100,100,100,-100,100,-100,100,-100,43,1
-100,0,0,0,0,0,0,100,100,100,100,0,0,0,0,-38,-100,-100,-100,0,0,0,0,-100,-100,-100,-100,-100,100,100,0,0,0,45,1
100,95,-3,-100,26,-36,36,69,-63,100,-3,-29,-1,-55,15,92,-46,100,-50,-30,-31,-74,37,84,-47,52,-57,100,-61,-10,20,-6,42,47,1
