pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
5,-33,35,-35,35,-35,30,0,0
5,-32,-35,35,-35,35,25,1,0
15,10,35,35,35,35,-7,2,1
35,-35,35,35,-35,35,35,3,1
5,-31,-35,-35,-35,-35,35,4,2
5,-31,35,35,35,35,35,5,0
-5,-21,35,-35,35,35,11,6,1
-25,-2,-35,35,35,35,11,7,1
15,5,35,-35,35,35,35,8,1
5,-21,35,35,-35,-35,-2,9,2
5,-21,35,35,35,-35,-11,10,2
-5,-15,-35,35,35,35,35,11,1
25,-8,-35,35,35,35,35,12,1
5,35,35,-35,35,35,35,13,1
5,-21,-35,35,35,35,35,14,0
-5,-30,35,-35,-35,-35,35,15,2
-15,-30,35,-35,35,-35,35,16,1
-35,-27,35,35,35,35,35,17,1
25,-23,35,-35,35,35,11,18,1
5,-27,35,-35,35,-35,-11,19,2
5,-21,-35,35,35,35,11,20,0
-5,-32,-35,-35,35,-35,35,21,2
-25,-30,-35,35,35,35,35,22,1
5,-21,35,35,35,35,-11,23,0
5,-33,35,-35,35,-35,-7,24,2
-5,-32,-35,35,35,-35,25,25,0
15,10,-35,-35,-35,-35,-7,26,1
5,-35,-35,-35,-35,35,-35,27,2
-5,-31,-35,-35,-35,-35,-11,28,2
5,-31,35,-35,35,-35,35,29,0
-5,-21,-35,35,-35,-35,-35,30,2
-5,-27,-35,35,-35,35,11,31,1
5,-25,35,35,35,35,35,32,0
5,-26,35,-35,-35,-35,-2,33,2
5,-15,35,35,35,-35,-11,34,1
25,-8,-35,35,-35,-35,35,35,1
5,3,-35,-35,-35,-35,35,36,1
5,-26,-35,-35,-35,-35,35,37,2
-5,-30,35,35,35,35,35,38,0
5,-30,-35,-35,-35,-35,35,39,2
-35,-27,35,-35,-35,-35,35,40,1
25,-23,35,35,35,35,2,41,1
5,-27,35,35,35,35,35,42,0
5,-21,-35,-35,-35,35,11,43,2
-5,-32,-35,-35,-35,-35,-2,44,2
-5,-31,-35,-35,-35,-35,35,47,2
5,-21,-35,-35,35,-35,35,48,2
-5,-30,35,-35,35,-35,35,49,2
5,-30,35,-35,35,-35,35,50,0
5,-21,-35,-35,-35,35,35,51,2
-5,-33,35,-35,35,-35,-7,53,2
5,-32,-35,35,35,-35,25,54,0
5,-21,-35,35,-35,-35,-35,56,2
5,-26,-35,-35,35,-35,35,57,2
5,-15,-35,-35,-35,35,11,58,1
5,-15,-35,-35,-35,-35,35,59,1
5,-33,-35,35,35,35,35,60,0
5,-15,-35,-35,35,-35,35,61,1
5,-23,35,-35,35,35,11,62,0
5,-30,-35,-35,35,-35,35,64,2
-5,-8,35,-35,35,-35,-7,65,1
5,-21,-35,35,-35,-35,35,66,2
-5,-27,35,-35,-35,-35,11,67,2
5,-23,35,-35,35,-35,11,68,0
5,-8,-35,-35,-35,35,35,69,1
-5,-15,35,-35,35,-35,-7,70,1
5,-27,35,-35,35,35,35,71,0
5,-27,-35,-35,-35,-35,35,72,2
-5,-31,-35,35,35,35,-11,73,1
5,-27,35,-35,-35,-35,35,74,2
5,-23,-35,-35,35,-35,11,76,2
-5,-27,-35,-35,35,-35,11,77,2
5,-30,-35,35,35,35,35,78,0
5,-21,35,-35,-35,35,35,79,2
5,-26,35,35,35,-35,35,80,0
-5,-21,35,-35,-35,-35,-7,81,2
5,-23,-35,-35,-35,35,11,82,2
