pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
15,10,35,35,35,35,-7,2,1
35,-35,35,35,-35,35,35,3,1
-5,-21,35,-35,35,35,11,6,1
-25,-2,-35,35,35,35,11,7,1
15,5,35,-35,35,35,35,8,1
-5,-15,-35,35,35,35,35,11,1
25,-8,-35,35,35,35,35,12,1
5,35,35,-35,35,35,35,13,1
-15,-30,35,-35,35,-35,35,16,1
-35,-27,35,35,35,35,35,17,1
25,-23,35,-35,35,35,11,18,1
-25,-30,-35,35,35,35,35,22,1
15,10,-35,-35,-35,-35,-7,26,1
-5,-27,-35,35,-35,35,11,31,1
5,-15,35,35,35,-35,-11,34,1
25,-8,-35,35,-35,-35,35,35,1
5,3,-35,-35,-35,-35,35,36,1
-35,-27,35,-35,-35,-35,35,40,1
25,-23,35,35,35,35,2,41,1
5,-15,-35,-35,-35,35,11,58,1
5,-15,-35,-35,-35,-35,35,59,1
5,-15,-35,-35,35,-35,35,61,1
-5,-8,35,-35,35,-35,-7,65,1
5,-8,-35,-35,-35,35,35,69,1
-5,-15,35,-35,35,-35,-7,70,1
-5,-31,-35,35,35,35,-11,73,1
