pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
3,-31,32,-32,32,-32,28,0,0
3,-30,-32,32,-32,32,23,1,0
22,9,32,32,32,32,-6,2,1
32,-32,32,32,-32,32,32,3,1
3,-29,-32,-32,-32,-32,32,4,2
3,-29,32,32,32,32,32,5,0
-7,-19,32,-32,32,32,10,6,1
-17,-2,-32,32,32,32,10,7,1
18,4,32,-32,32,32,32,8,1
4,-19,32,32,-32,-32,-2,9,2
4,-19,32,32,32,-32,-10,10,2
-6,-13,-32,32,32,32,32,11,1
23,-8,-32,32,32,32,32,12,1
11,32,32,-32,32,32,32,13,1
5,-19,-32,32,32,32,32,14,0
2,-27,32,-32,-32,-32,32,15,2
-15,-27,32,-32,32,-32,32,16,1
-32,-25,32,32,32,32,32,17,1
27,-22,32,-32,32,32,10,18,1
5,-25,32,-32,32,-32,-10,19,2
3,-19,-32,32,32,32,10,20,0
2,-30,-32,-32,32,-32,32,21,2
-17,-27,-32,32,32,32,32,22,1
3,-19,32,32,32,32,-10,23,0
5,-31,32,-32,32,-32,-6,24,2
2,-30,-32,32,32,-32,23,25,0
22,9,-32,-32,-32,-32,-6,26,1
3,-32,-32,-32,-32,32,-32,27,2
2,-29,-32,-32,-32,-32,-10,28,2
3,-29,32,-32,32,-32,32,29,0
1,-19,-32,32,-32,-32,-32,30,2
2,-25,-32,32,-32,32,10,31,1
5,-23,32,32,32,32,32,32,0
4,-24,32,-32,-32,-32,-2,33,2
4,-13,32,32,32,-32,-10,34,1
5,-19,-32,32,32,32,32,35,0
23,-8,-32,32,-32,-32,32,36,1
11,3,-32,-32,-32,-32,32,37,1
5,-24,-32,-32,-32,-32,32,38,2
2,-27,32,32,32,32,32,39,0
5,-27,-32,-32,-32,-32,32,40,2
-32,-25,32,-32,-32,-32,32,41,1
27,-22,32,32,32,32,2,42,1
5,-25,32,32,32,32,32,43,0
3,-19,-32,-32,-32,32,10,44,2
2,-30,-32,-32,-32,-32,-2,45,2
3,-27,-32,-32,-32,-32,32,46,2
5,-19,32,32,32,-32,-10,47,0
32,-32,32,32,-32,32,32,48,1
2,-29,-32,-32,-32,-32,32,49,2
3,-29,32,32,32,32,32,50,0
-7,-19,32,-32,32,32,10,51,1
-17,-2,-32,32,32,32,10,52,1
18,4,32,-32,32,32,32,53,1
4,-19,32,32,-32,-32,-2,54,2
4,-19,32,32,32,-32,-10,55,2
-6,-13,-32,32,32,32,32,56,1
23,-8,-32,32,32,32,32,57,1
11,32,32,-32,32,32,32,58,1
5,-19,-32,-32,32,-32,32,59,2
2,-27,32,-32,32,-32,32,60,2
4,-27,32,-32,32,-32,32,61,0
-32,-25,32,32,32,32,32,62,1
27,-22,32,-32,32,32,10,63,1
23,-8,-32,32,32,32,32,64,1
5,-19,-32,-32,-32,32,32,65,2
5,-19,-32,32,32,32,32,66,0
2,-27,32,-32,-32,-32,32,67,2
-15,-27,32,-32,32,-32,32,68,1
-32,-25,32,32,32,32,32,69,1
27,-22,32,-32,32,32,10,70,1
5,-25,32,-32,32,-32,-10,71,2
3,-19,-32,32,32,32,10,72,0
2,-30,-32,-32,32,-32,32,73,2
-17,-27,-32,32,32,32,32,74,1
5,-19,32,32,32,32,-10,75,0
2,-31,32,-32,32,-32,-6,76,2
