pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
3,-29,-32,-32,-32,-32,32,4,2
4,-19,32,32,-32,-32,-2,9,2
4,-19,32,32,32,-32,-10,10,2
2,-27,32,-32,-32,-32,32,15,2
5,-25,32,-32,32,-32,-10,19,2
2,-30,-32,-32,32,-32,32,21,2
5,-31,32,-32,32,-32,-6,24,2
3,-32,-32,-32,-32,32,-32,27,2
2,-29,-32,-32,-32,-32,-10,28,2
1,-19,-32,32,-32,-32,-32,30,2
4,-24,32,-32,-32,-32,-2,33,2
5,-24,-32,-32,-32,-32,32,38,2
5,-27,-32,-32,-32,-32,32,40,2
3,-19,-32,-32,-32,32,10,44,2
2,-30,-32,-32,-32,-32,-2,45,2
3,-27,-32,-32,-32,-32,32,46,2
2,-29,-32,-32,-32,-32,32,49,2
4,-19,32,32,-32,-32,-2,54,2
4,-19,32,32,32,-32,-10,55,2
5,-19,-32,-32,32,-32,32,59,2
2,-27,32,-32,32,-32,32,60,2
5,-19,-32,-32,-32,32,32,65,2
2,-27,32,-32,-32,-32,32,67,2
5,-25,32,-32,32,-32,-10,71,2
2,-30,-32,-32,32,-32,32,73,2
2,-31,32,-32,32,-32,-6,76,2
5,-32,-32,-32,-32,32,-32,79,2
2,-29,-32,-32,-32,-32,-10,80,2
5,-19,-32,32,-32,-32,-32,82,2
5,-24,-32,-32,32,-32,32,84,2
3,-27,-32,-32,-32,-32,32,86,2
2,-30,-32,-32,-32,-32,-2,91,2
2,-29,-32,-32,-32,-32,32,95,2
2,-29,-32,-32,-32,-32,32,97,2
4,-19,32,32,-32,-32,-2,102,2
4,-19,32,32,32,-32,-10,103,2
2,-27,32,-32,32,-32,32,108,2
5,-19,-32,-32,-32,32,32,113,2
2,-27,32,-32,-32,-32,32,115,2
5,-25,32,-32,32,-32,-10,119,2
3,-19,-32,-32,-32,32,10,120,2
2,-30,-32,-32,32,-32,32,121,2
3,-27,-32,-32,32,-32,32,122,2
5,-25,32,-32,32,-32,-10,127,2
2,-30,-32,-32,32,-32,32,129,2
2,-31,32,-32,32,-32,-6,132,2
5,-32,-32,-32,-32,32,-32,135,2
2,-29,-32,-32,-32,-32,-10,136,2
5,-19,-32,32,-32,-32,-32,138,2
5,-24,-32,-32,32,-32,32,140,2
3,-27,-32,-32,-32,-32,32,142,2
2,-30,-32,-32,-32,-32,-2,147,2
2,-29,-32,-32,-32,-32,32,151,2
2,-29,-32,-32,-32,-32,32,153,2
4,-19,32,32,-32,-32,-2,158,2
4,-19,32,32,32,-32,-10,159,2
2,-27,32,-32,32,-32,32,164,2
4,-24,32,-32,-32,-32,-2,165,2
5,-24,-32,-32,-32,-32,32,170,2
5,-27,-32,-32,-32,-32,32,172,2
3,-19,-32,-32,-32,32,10,176,2
2,-30,-32,-32,-32,-32,-2,177,2
3,-27,-32,-32,-32,-32,32,178,2
2,-29,-32,-32,-32,-32,32,181,2
4,-19,32,32,-32,-32,-2,186,2
4,-19,32,32,32,-32,-10,187,2
5,-19,-32,-32,32,-32,32,191,2
2,-27,32,-32,32,-32,32,192,2
5,-19,-32,-32,-32,32,32,197,2
2,-27,32,-32,-32,-32,32,199,2
5,-25,32,-32,32,-32,-10,203,2
2,-29,-32,-32,-32,-32,32,204,2
4,-19,32,32,-32,-32,-2,209,2
4,-19,32,32,32,-32,-10,210,2
5,-19,-32,-32,32,-32,32,214,2
2,-27,32,-32,32,-32,32,215,2
5,-19,-32,-32,-32,32,32,220,2
2,-27,32,-32,-32,-32,32,222,2
5,-25,32,-32,32,-32,-10,226,2
2,-30,-32,-32,32,-32,32,228,2
2,-31,32,-32,32,-32,-6,231,2
5,-32,-32,-32,-32,32,-32,234,2
2,-29,-32,-32,-32,-32,-10,235,2
5,-19,-32,32,-32,-32,-32,237,2
5,-24,-32,-32,32,-32,32,239,2
3,-27,-32,-32,-32,-32,32,241,2
2,-27,32,-32,32,-32,32,244,2
5,-19,-32,-32,-32,32,32,249,2
2,-27,32,-32,-32,-32,32,251,2
5,-25,32,-32,32,-32,-10,255,2
3,-19,-32,-32,-32,32,10,256,2
2,-30,-32,-32,32,-32,32,257,2
3,-27,-32,-32,32,-32,32,258,2
5,-25,32,-32,32,-32,-10,263,2
2,-30,-32,-32,32,-32,32,265,2
2,-31,32,-32,32,-32,-6,268,2
5,-32,-32,-32,-32,32,-32,271,2
2,-30,-32,-32,-32,-32,-2,275,2
2,-29,-32,-32,-32,-32,32,279,2
2,-29,-32,-32,-32,-32,32,281,2
4,-19,32,32,-32,-32,-2,286,2
4,-19,32,32,32,-32,-10,287,2
2,-27,32,-32,32,-32,32,292,2
4,-24,32,-32,-32,-32,-2,293,2
5,-24,-32,-32,-32,-32,32,298,2
5,-27,-32,-32,-32,-32,32,300,2
3,-19,-32,-32,-32,32,10,304,2
2,-30,-32,-32,-32,-32,-2,305,2
3,-27,-32,-32,-32,-32,32,306,2
2,-29,-32,-32,-32,-32,32,309,2
4,-19,32,32,-32,-32,-2,314,2
4,-19,32,32,32,-32,-10,315,2
5,-19,-32,-32,32,-32,32,319,2
2,-27,32,-32,32,-32,32,320,2
5,-19,-32,-32,-32,32,32,325,2
2,-27,32,-32,-32,-32,32,327,2
5,-25,32,-32,32,-32,-10,331,2
2,-29,-32,-32,-32,-32,32,332,2
4,-19,32,32,-32,-32,-2,337,2
4,-19,32,32,32,-32,-10,338,2
5,-19,-32,-32,32,-32,32,342,2
2,-27,32,-32,32,-32,32,343,2
5,-19,-32,-32,-32,32,32,348,2
2,-27,32,-32,-32,-32,32,350,2
