fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
-834,-1068,-1300,-2404,-2425,-1697,-2331,257,-588,-2549,-2350,29,4
-3250,-1469,-2275,-2715,-2794,-2570,-1894,-1706,2687,-2354,1450,32,4
-1121,-779,-1560,-2715,-2468,-2279,-2400,257,-332,-2471,-2450,50,4
-1121,-1001,-1950,-2982,-2512,-727,-654,70,-1100,-175,-2550,54,4
-3019,756,-2990,-3027,-2891,630,-1435,-1519,1919,-2666,-1150,66,4
-603,-1469,3250,-2136,3239,-242,-1803,1192,-3250,3250,-2250,103,4
-1524,-756,-3120,-3071,-2598,-2473,-2928,-257,-1049,-330,-2450,112,4
-1696,-1335,-3055,-2938,-2598,-1697,-2423,-678,-25,-2666,-2650,118,4
-1351,155,-3055,-2849,-2750,-2958,-3204,70,-76,-3250,-2550,120,4
-1926,1068,-2860,-2715,-2718,-2182,-2675,-1052,690,-2860,-250,142,4
-1869,556,-2990,-2760,-2436,-2182,-1848,-631,-127,-2199,-2250,185,4
-1064,-801,-2015,-2671,-2371,-2279,-1665,163,-895,-2238,-2450,656,4
-2157,133,-3055,-1157,-2522,-1115,-2308,-631,1049,-2588,-450,832,4
-834,467,-2925,-2849,-2566,-2861,-2951,-397,-383,-2821,-2050,839,4
-1236,-534,-3250,-2537,-2501,-2182,-2836,444,25,-2744,-2050,876,4
-2157,-801,-3250,-1736,-2761,-2279,-2928,-1005,383,-2354,150,877,4
-2272,756,-3250,-2760,-2479,-1697,-2836,-1239,1100,-2393,-450,891,4
-1006,-2003,-650,-845,-2837,-3055,-3158,-631,-486,-2354,350,904,4
-2214,-1424,-2665,-1914,-2045,-1988,-2675,-116,639,-1926,-650,1015,4
-2329,-289,-3250,-2715,-2729,-2764,-3089,-210,1100,-2160,-1650,1040,4
-2042,845,-2730,-2626,-2653,-1503,-2652,-257,742,-2315,-650,1044,4
-2674,-1023,-3055,-2982,-2512,-2764,-3089,-958,1458,-2121,-1550,1057,4
-1236,89,-3250,-2181,-2338,-824,-1986,1379,1151,-1732,-1850,189,4
1294,-1736,-65,-1647,-2620,-824,-2262,491,-1663,-2315,-2050,284,4
-201,-1558,-1690,-2626,-2262,-2764,-3066,350,-179,-2510,-1650,411,4
-86,378,-1820,-2136,-2240,-2279,-1412,1847,281,-2043,-350,449,4
-1121,-22,-3185,-2671,-2620,-2861,-3066,-163,-281,-2276,-650,458,4
-1581,-2092,-130,-2493,-2588,-1212,-1458,70,-281,-1809,-2050,500,4
-661,-378,-2990,-2938,-2533,-2958,-3066,444,-435,-2432,-1950,501,4
-1926,-2047,-1690,-2715,-2273,-2958,-3227,-1145,332,-2276,-250,585,4
-1581,-734,-2795,-2537,-2750,-2861,-3181,-350,25,-2393,-750,594,4
776,-1691,-390,-2938,-1785,145,-2216,631,25,-1187,-1750,596,4
-1696,-2226,-1690,-2760,-2653,-630,-2285,-584,281,-2432,-1650,618,4
