Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,RowNum,Segmentation
-70,-70,-62,-70,70,-60,-70,-17,70,0,D
70,70,26,70,17,-60,-70,-70,46,1,B
-70,70,26,70,35,-70,70,-52,46,2,B
-70,70,4,-70,-70,-70,0,-52,46,3,C
-70,-70,-42,70,70,-60,-70,-35,46,4,C
70,-70,-40,70,70,-60,-70,-35,46,5,D
70,70,14,70,17,-70,-70,-35,0,6,D
70,70,2,70,-70,-60,0,-17,46,7,C
70,-70,-54,70,17,-60,-70,-35,46,8,A
-70,-70,-68,-70,70,-30,-70,-17,70,9,D
70,70,8,-70,-35,-70,-70,-70,-70,10,B
70,-70,-24,-70,70,-60,-70,-52,23,11,C
70,-70,-42,-70,52,20,-70,0,-70,12,D
-70,-70,-44,-70,70,-60,-70,17,46,13,B
-70,70,8,70,-17,-60,0,-17,46,14,B
70,70,50,70,-70,-70,70,-70,46,15,C
-70,70,-8,70,52,50,-70,-70,-70,16,A
70,-70,-70,-70,70,-40,-70,-17,46,17,D
-70,70,-40,70,-70,60,-70,-52,-70,18,A
70,-70,-34,70,-70,-20,-70,-52,46,19,B
-70,70,4,-70,-70,-60,0,-35,46,20,C
-70,-70,-44,-70,70,20,-70,52,70,21,A
-70,70,-8,70,-70,-60,0,-35,46,22,C
-70,-70,-36,70,-70,-70,-70,-70,46,23,B
70,-70,-36,-70,-70,-20,-70,-17,46,24,C
70,70,-16,70,-70,-70,-70,-35,46,25,C
70,70,-22,-70,-35,-60,-70,-52,70,26,A
-70,-70,-68,-70,70,-60,-70,-35,-46,27,D
70,70,58,-70,35,-60,70,-52,46,28,D
70,-70,-52,70,70,-40,-70,-17,23,29,D
-70,-70,-42,-70,-35,-20,-70,-70,70,30,D
70,70,-50,-70,70,-60,0,0,-70,31,D
70,70,-50,70,-70,10,-70,-52,46,32,A
70,-70,-12,70,-70,-30,-70,-70,46,33,B
70,-70,-62,-70,70,-70,-70,-52,46,34,D
70,-70,-52,70,-70,70,-70,-35,46,35,A
-70,70,-26,-70,17,10,-70,-70,46,36,A
-70,70,-24,70,-70,-70,0,-17,70,37,B
-70,-70,-68,-70,70,-70,-70,-17,46,38,D
70,-70,-16,70,17,-60,-70,-70,46,39,A
70,70,14,-70,-70,-60,0,-52,-46,40,B
70,70,-34,70,-70,-60,0,-52,46,41,C
-70,70,-26,70,-70,-60,-70,-70,-70,42,A
70,70,6,70,-17,-70,0,-52,46,43,C
-70,70,44,-70,0,-60,-70,-70,70,44,A
-70,70,-42,70,-70,70,0,-52,46,45,B
-70,-70,-56,70,70,20,-70,-17,46,46,D
70,70,-16,70,-70,-60,0,-35,-70,47,C
-70,70,-10,70,-70,-70,0,-52,46,48,C
-70,70,2,70,-70,20,0,-52,23,49,C
-70,70,40,70,35,-70,70,-35,46,50,D
-70,70,4,70,35,-60,70,-52,46,51,A
-70,70,10,70,35,0,70,-52,46,52,A
-70,-70,-56,70,-17,-70,-70,-52,46,53,A
-70,70,-44,70,-35,-70,0,-52,46,54,A
-70,-70,-52,-70,-70,10,-70,-17,46,55,A
-70,70,6,70,-70,-70,0,-17,46,56,B
-70,70,-52,70,70,10,-70,-52,46,57,D
70,70,-4,70,-17,10,0,-52,46,58,A
70,70,-12,-70,-70,-70,0,0,46,59,B
70,-70,-40,-70,70,10,-70,-17,46,60,D
-70,70,4,70,-70,-70,0,-17,46,61,C
70,-70,-40,-70,52,-70,-70,-35,46,62,B
70,-70,-34,70,-35,-70,-70,-52,46,63,D
-70,70,-4,-70,-70,-30,-70,-35,70,64,A
-70,70,-16,70,17,-50,0,-52,46,65,C
-70,-70,-46,-70,70,-70,-70,-17,46,66,C
70,-70,-54,-70,70,-10,-70,-35,-23,67,D
-70,70,18,70,-70,10,-70,-70,46,68,A
-70,70,-36,-70,-17,10,0,-17,-70,69,B
70,-70,-68,-70,0,-60,-70,-35,70,70,A
-70,-70,-42,-70,70,0,-70,0,46,71,D
