Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,RowNum,Segmentation
70,-70,-42,70,-70,-30,-70,-17,-46,354,A
-70,-70,-56,70,-17,-60,-70,-52,46,295,A
-70,70,-10,70,-17,-60,-70,-35,46,4830,A
-70,70,10,70,-70,-70,-70,-52,46,1291,A
70,70,-34,-70,17,-70,0,-52,70,5355,A
-70,70,-34,70,-17,-20,-70,-52,46,2973,A
70,70,-34,70,-17,-60,0,-17,70,4120,A
-70,70,-26,70,-70,-70,-70,-35,23,4294,A
70,70,-20,70,70,-70,0,-52,-70,4626,A
-70,-70,-16,70,-70,-60,-70,-70,46,1310,A
70,70,-10,70,-70,-40,-70,-70,46,2588,A
70,-70,-16,70,-70,-60,-70,-70,46,702,A
-70,70,58,70,-70,-50,70,-52,46,4886,A
-70,-70,-42,70,-35,-70,-70,-17,46,380,A
70,-70,-26,-70,17,10,-70,-70,46,2622,A
70,70,-26,70,-35,-60,-70,-52,46,4448,A
-70,70,-36,-70,-52,-70,70,0,46,655,A
70,70,-52,70,17,-70,0,-17,0,3661,A
-70,70,0,-70,-52,-60,70,-17,46,5143,A
70,70,-26,70,-70,-60,0,-52,70,1595,A
-70,-70,-54,70,-35,-60,-70,-52,46,5506,A
70,70,-16,70,17,-50,-70,-70,70,5070,A
-70,70,-36,70,-17,-60,-70,-52,-70,5811,A
-70,70,60,70,35,-70,-70,-35,46,3133,A
70,-70,-42,70,70,-70,-70,-35,70,384,A
-70,70,66,70,35,-70,70,-52,46,4367,A
-70,-70,-56,70,-17,-60,-70,-35,46,4957,A
70,-70,-6,-70,17,-60,-70,-70,46,3644,A
70,-70,2,-70,-17,-40,-70,-70,46,4516,A
70,-70,-24,70,-70,-60,-70,-70,46,2914,A
-70,70,-20,70,-70,20,0,-35,46,4584,A
-70,70,-48,-70,70,-70,0,-17,46,1136,A
70,-70,-22,70,-17,-20,-70,35,46,5318,A
-70,-70,-16,70,-17,-70,-70,-70,46,4340,A
-70,70,-8,70,-17,-60,0,-35,23,895,A
70,70,16,-70,17,10,70,-52,70,4117,A
-70,-70,-36,70,-35,-40,-70,-70,46,4522,A
70,70,-44,70,-70,-70,0,-52,46,167,A
-70,70,-48,70,0,-60,70,-52,-70,231,A
70,70,-36,70,17,-60,0,-52,46,3991,A
-70,70,-54,70,-70,-10,0,-52,46,3659,A
-70,-70,-54,70,52,10,-70,-52,46,2164,A
-70,-70,18,70,-70,-30,-70,-70,46,2563,A
-70,70,-48,70,17,-20,-70,-52,70,2269,A
-70,70,-24,70,-70,10,70,-52,-46,3513,A
-70,-70,-40,70,-70,-40,-70,0,46,2641,A
-70,70,30,-70,-17,-40,-70,52,46,5012,A
-70,70,-20,-70,-52,-60,-70,-17,46,3514,A
-70,-70,-56,-70,-17,-70,-70,-35,46,5786,A
70,-70,-48,-70,0,20,-70,-17,-46,752,A
70,-70,-22,70,17,-60,-70,35,70,4669,A
70,-70,-44,-70,17,-60,-70,52,70,4997,A
70,70,-52,-70,-70,-10,70,0,-46,4384,A
70,-70,-42,70,-35,-20,-70,-35,70,1858,A
-70,-70,-54,-70,-17,-60,-70,-52,46,3934,A
-70,70,-24,70,-17,-70,-70,-70,46,4683,A
70,70,0,70,-70,-40,-70,-70,0,1762,A
70,70,-22,-70,-52,-70,0,0,70,4466,A
70,70,-44,-70,17,20,-70,-17,46,1615,A
-70,-70,-16,70,-70,-70,-70,-52,46,2296,A
-70,-70,0,70,-70,-70,-70,-52,46,4107,A
-70,70,30,-70,-35,10,-70,-52,46,5555,A
-70,-70,-48,-70,17,-70,-70,0,-70,2197,A
-70,70,-32,70,-70,-10,0,-52,-70,1928,A
70,70,22,70,35,-60,-70,-70,46,4962,A
70,70,-4,-70,17,-70,-70,-17,46,1186,A
70,70,24,70,35,-60,70,-52,46,1048,A
-70,70,-42,70,-17,20,70,-52,70,1209,A
-70,70,-46,-70,-17,-60,0,-35,-70,5449,A
-70,-70,-48,70,-70,-60,-70,17,46,2070,A
-70,70,62,70,35,-60,-70,-70,46,4155,A
-70,-70,-28,70,-70,-60,-70,-35,0,1737,A
70,70,-44,-70,52,20,0,-52,46,3646,A
-70,70,28,-70,-17,-30,0,-52,46,2119,A
70,70,-2,-70,17,-60,70,-52,46,3921,A
70,70,-56,70,17,-10,0,-52,46,4873,A
70,-70,-12,70,-17,-60,-70,-70,46,5682,A
70,-70,-54,-70,0,-40,-70,-35,-70,516,A
-70,-70,-24,70,-70,-50,-70,-35,46,1684,A
70,70,-36,70,-35,0,0,-35,70,4183,A
-70,70,-28,-70,-70,-60,0,17,70,1174,A
70,-70,-40,70,52,10,-70,-70,46,4153,A
-70,70,-50,-70,-17,-70,0,-52,70,2024,A
-70,-70,-42,70,-70,-70,-70,-35,70,4144,A
70,-70,-42,-70,-70,-50,-70,-17,-46,2039,A
70,70,4,70,-70,-70,70,0,-70,4253,A
-70,70,18,70,-70,-60,0,-17,46,4518,A
-70,-70,-36,70,-17,-60,-70,-35,-70,636,A
-70,70,-32,-70,-35,-50,0,-17,46,1766,A
70,-70,-54,-70,17,-30,-70,-70,0,1514,A
-70,70,-50,-70,-70,-60,-70,-52,46,3193,A
70,70,70,70,35,-60,70,-35,46,2406,A
-70,-70,-30,70,-70,10,-70,-35,-46,212,A
70,70,-28,70,-70,-60,0,-17,46,3410,A
70,-70,-40,70,70,-70,-70,-35,46,411,A
70,-70,-50,-70,17,-60,-70,-17,70,3047,A
-70,70,-4,70,-17,-70,70,0,-70,2414,A
-70,70,2,-70,52,-50,-70,-70,-70,3330,A
-70,70,-46,-70,-70,20,70,17,-46,1498,A
-70,70,-12,-70,-17,-60,-70,-70,46,4298,A
-70,-70,-22,70,-70,-60,-70,-70,-46,5516,A
70,70,-24,-70,17,-70,0,-17,46,5649,A
70,-70,22,70,35,-70,-70,-70,46,4497,A
-70,-70,-26,-70,-17,-20,-70,-70,-70,2966,A
70,-70,-56,70,-70,-70,-70,17,46,313,A
-70,70,-22,-70,17,-20,0,-17,70,1996,A
-70,70,-2,70,-70,-50,0,-17,46,2419,A
70,-70,-50,70,-70,-40,-70,35,-46,401,A
70,70,-30,70,-35,-60,-70,-17,-70,2218,A
-70,-70,-16,70,-70,-70,-70,-70,46,5566,A
-70,70,50,-70,35,10,70,-52,46,5869,A
70,70,24,70,17,-70,0,-35,46,3204,A
70,-70,-16,70,-70,-40,-70,-70,46,3792,A
70,-70,-20,70,-70,-60,-70,-70,46,2299,A
-70,70,-34,-70,-35,-10,-70,-35,46,255,A
70,-70,-44,70,-35,-70,-70,-17,-70,1938,A
