Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,RowNum,Segmentation
-70,70,8,-70,-70,20,-70,-52,46,787,B
70,70,30,70,17,-70,-70,-52,70,179,B
70,-70,-36,70,-70,20,-70,-70,46,2277,B
70,70,-46,-70,52,20,-70,-35,-70,3909,B
-70,70,-40,-70,-70,-60,0,-52,70,1557,B
70,-70,-14,70,17,-60,-70,-52,23,1714,B
-70,70,56,70,35,-70,-70,-70,46,1924,B
-70,70,36,-70,-70,-60,-70,-70,46,4536,B
-70,70,4,70,-70,-30,-70,-35,-70,4320,B
70,70,16,-70,17,-30,-70,-70,70,4390,B
70,-70,18,70,-70,70,-70,-70,46,1018,B
70,-70,-56,-70,52,-60,-70,35,70,216,B
70,70,16,70,-70,-60,70,-52,46,882,B
70,70,-46,-70,-70,-70,0,-52,23,1068,B
70,70,2,70,52,60,0,-35,-23,3733,B
70,70,-8,70,17,-60,0,-17,46,1393,B
70,70,38,70,35,-60,70,-52,46,338,B
-70,-70,-2,70,-17,-60,-70,-52,46,4868,B
-70,70,16,70,-70,-60,70,-52,46,1181,B
-70,70,-26,70,-17,20,0,0,46,3598,B
70,70,2,-70,-70,-60,-70,-52,-70,4718,B
70,-70,-6,70,17,-60,-70,-70,46,2154,B
-70,70,-20,-70,-70,-60,-70,-52,46,460,B
-70,70,-24,70,-70,10,-70,-52,46,3023,B
70,70,-4,-70,17,0,0,0,70,4419,B
-70,70,18,-70,70,-70,0,-17,70,5127,B
-70,70,30,70,-52,-60,0,-17,46,1904,B
-70,70,10,70,-70,-30,70,-17,46,2538,B
-70,70,24,70,-70,-60,70,-52,46,2133,B
70,-70,-42,70,0,-60,-70,17,46,1359,B
70,-70,6,70,-35,-70,-70,-52,46,2620,B
70,70,-34,70,-17,-70,0,-35,46,781,B
-70,-70,-42,70,70,-70,-70,-17,46,2360,B
70,70,6,-70,17,10,-70,-70,46,1232,B
70,70,-8,70,17,-70,-70,-70,-46,4482,B
-70,70,-4,70,-17,-60,0,0,46,3731,B
70,70,42,70,35,-70,-70,-70,46,4375,B
-70,-70,-20,-70,-70,-10,-70,-52,46,4039,B
-70,70,-14,-70,-70,-70,0,-17,-70,1295,B
-70,70,-16,-70,-35,-60,0,-35,46,3856,B
-70,70,-30,70,-70,-40,0,-17,46,4679,B
-70,70,-20,70,70,-60,70,-17,70,4645,B
70,70,60,-70,35,-70,70,-52,46,2002,B
-70,70,-24,70,-35,-70,-70,-52,46,4529,B
70,70,-22,-70,17,-60,0,17,70,3423,B
-70,70,-34,-70,-52,10,0,-17,23,97,B
-70,70,36,-70,-52,-70,70,-52,46,5346,B
-70,70,32,70,-52,-60,70,0,-70,1461,B
70,70,40,70,-35,-60,-70,-52,46,3231,B
70,70,-36,70,-70,-60,-70,-52,-70,3059,B
-70,70,-4,70,-17,-60,0,-17,46,2115,B
-70,70,8,70,-70,-70,0,-52,70,3391,B
-70,70,-26,70,-35,-60,0,-52,46,4533,B
-70,-70,-44,-70,70,-60,-70,17,46,13,B
-70,-70,-32,70,-70,-60,-70,-17,46,3267,B
70,-70,-56,-70,70,-60,-70,0,46,923,B
70,70,32,70,35,-70,70,-52,46,2233,B
70,70,0,70,17,-70,-70,-17,23,5178,B
-70,-70,-2,-70,-70,-20,-70,-70,46,1597,B
70,-70,-26,70,-70,10,-70,-52,46,4961,B
-70,-70,-22,70,-70,-40,-70,-70,46,5641,B
-70,-70,-12,70,-35,-60,-70,-70,46,3857,B
-70,70,30,-70,-70,-70,0,-35,46,1267,B
70,70,-6,70,-70,-30,-70,-52,46,5713,B
70,-70,-32,70,-70,-70,-70,-35,46,5051,B
70,-70,-62,-70,-35,-60,-70,-17,0,2540,B
70,70,-30,70,-70,20,70,-52,-46,399,B
-70,70,16,-70,-52,20,70,-35,46,5736,B
-70,70,24,-70,35,-70,-70,-70,46,5948,B
70,-70,-56,70,70,-60,-70,-35,46,522,B
-70,70,18,-70,-52,-70,0,-35,46,943,B
-70,70,-24,70,-70,-60,0,-52,46,2626,B
70,70,-52,70,17,-30,-70,-52,-70,4008,B
-70,-70,-60,-70,-35,-70,-70,0,46,3889,B
-70,-70,-6,70,-70,-60,-70,-70,-46,4634,B
-70,70,-28,70,-35,-60,-70,-52,70,2700,B
70,70,-4,70,-70,-70,-70,-70,46,2142,B
70,-70,-62,-70,0,-70,-70,-70,-23,259,B
-70,-70,-6,70,-70,-60,-70,-70,46,1483,B
70,-70,26,-70,-70,-60,-70,-52,46,562,B
-70,70,-22,70,-70,-60,-70,-52,-70,2790,B
-70,70,-46,70,70,-60,70,-52,70,3468,B
-70,70,-26,70,-52,-70,70,-17,46,4044,B
70,70,-30,70,-70,0,0,-35,70,3870,B
-70,-70,-20,70,-70,-60,-70,-70,46,5437,B
70,70,-16,70,35,-70,-70,-70,46,1381,B
-70,70,-2,70,-70,0,0,-17,46,1873,B
70,70,-26,70,-70,-30,0,0,70,5609,B
70,70,-20,-70,-17,0,0,0,-46,4047,B
-70,70,-30,70,17,-70,0,-17,70,5185,B
70,70,34,-70,17,-50,-70,-70,46,4726,B
70,-70,-52,70,-70,20,-70,0,46,4017,B
-70,-70,-32,70,-70,-70,-70,-70,46,3019,B
-70,70,-6,70,-17,-60,0,-17,46,4192,B
-70,70,0,70,17,-60,0,-35,46,5628,B
-70,70,10,-70,-17,-10,0,-35,-70,1525,B
-70,-70,-12,70,-70,20,-70,-52,46,4464,B
-70,70,-32,70,-52,-70,70,-17,46,3072,B
-70,-70,-6,70,-70,-60,-70,-35,-70,4171,B
-70,70,-52,70,70,-30,70,-35,46,3765,B
70,70,-24,70,17,-60,0,-35,70,867,B
-70,70,-36,70,17,-20,0,-17,46,4318,B
70,70,-10,70,17,-70,70,-52,70,2464,B
70,70,-26,70,-17,-60,-70,-52,46,3111,B
70,70,-28,70,-17,0,0,-52,46,4832,B
70,70,30,70,35,-60,70,-52,46,3461,B
70,-70,-42,70,-70,-10,-70,-70,-70,2310,B
-70,-70,-50,-70,-35,-70,-70,-35,-70,1128,B
70,70,22,70,17,-60,-70,-70,46,1175,B
70,-70,-6,70,17,-70,-70,-70,46,5577,B
70,70,16,70,52,-60,-70,-70,-46,2457,B
70,70,10,70,17,-70,-70,-70,-70,818,B
-70,70,-22,70,-35,10,0,-52,-46,4964,B
70,-70,-60,-70,17,-60,-70,-17,46,2051,B
70,-70,-46,-70,70,10,-70,-17,70,3651,B
70,70,12,-70,35,-60,0,-35,46,3524,B
-70,70,16,-70,-17,10,-70,-52,-70,5552,B
70,70,-30,70,-70,-30,-70,-70,-70,5387,B
-70,70,2,70,-70,-70,-70,-70,46,1995,B
-70,70,8,70,-70,10,-70,-70,-70,3080,B
70,70,36,70,-70,-60,0,-35,46,1681,B
-70,70,-16,-70,17,-60,0,0,46,5530,B
-70,70,-32,70,-70,10,-70,-52,46,4312,B
-70,70,-22,70,-70,-70,70,-52,46,1337,B
70,-70,-26,70,-70,10,-70,-70,46,3795,B
-70,70,-4,70,-35,10,0,-35,70,4156,B
70,70,12,70,-70,-70,0,-52,70,3811,B
-70,70,-22,-70,-17,-60,-70,-52,70,377,B
70,70,46,70,35,-10,70,-52,46,3424,B
-70,-70,-34,70,-70,-10,-70,-35,-46,2182,B
70,70,-8,70,52,-50,0,-17,46,2385,B
-70,70,-36,70,-70,30,70,-52,46,4968,B
-70,-70,-2,70,-70,-40,-70,-70,46,3121,B
-70,70,-4,70,-70,-70,-70,-70,-70,5134,B
-70,70,-62,-70,-35,-50,70,70,70,2628,B
-70,70,0,70,-70,20,0,-52,46,5023,B
-70,-70,14,70,-70,-70,-70,-70,46,421,B
70,-70,-10,70,-70,-60,-70,-70,-70,3456,B
70,-70,-34,70,-35,-30,-70,-70,-46,3269,B
70,-70,-54,70,70,-60,-70,0,46,2469,B
70,70,-8,70,-70,-40,-70,-52,46,1831,B
-70,70,-30,70,-52,-70,0,-35,46,4899,B
-70,-70,-28,70,-70,-50,-70,-35,70,3071,B
-70,70,12,-70,-70,-70,0,-52,70,4808,B
-70,70,-4,-70,-17,-60,0,-17,0,279,B
70,70,60,70,35,-50,-70,-70,46,3896,B
70,70,0,-70,17,-70,0,-52,46,4041,B
70,-70,-34,70,-70,-70,-70,-70,46,4907,B
-70,70,-28,70,-17,20,0,-52,46,5545,B
70,-70,-24,70,-70,20,-70,-70,46,3748,B
70,70,-14,70,-70,-70,0,-17,-70,3397,B
70,70,-50,70,52,20,0,-52,-70,3526,B
70,-70,18,70,-35,-70,-70,-52,46,1742,B
70,-70,-48,70,-35,20,-70,0,-70,2334,B
-70,70,4,70,-70,-70,70,-52,46,1794,B
70,70,38,-70,-52,-70,-70,-35,70,3533,B
70,-70,-40,70,-17,-70,-70,-70,0,3712,B
-70,70,52,-70,35,-70,-70,-70,70,1963,B
-70,70,-26,70,-17,10,0,-52,46,1783,B
-70,70,-36,70,-70,-60,0,-52,70,739,B
70,-70,-56,-70,0,-60,-70,-17,70,2580,B
-70,-70,-54,70,70,-70,-70,-35,46,2552,B
-70,70,-14,-70,-70,-70,-70,-52,46,575,B
70,70,-48,70,-70,30,-70,-52,46,2995,B
70,-70,-26,70,-70,-60,-70,-70,-23,5216,B
-70,70,14,70,-70,-70,-70,-70,46,3373,B
70,70,-26,70,-70,20,0,-52,46,1045,B
-70,70,-14,-70,-70,-60,70,-35,46,3220,B
-70,70,-20,70,-70,-70,-70,-70,46,4805,B
70,70,-26,70,17,-60,70,0,-46,330,B
-70,-70,-44,-70,70,-60,-70,-35,-46,2801,B
70,70,-34,70,-17,0,0,-52,46,2368,B
70,70,10,70,52,-70,0,-17,46,4376,B
-70,70,-48,-70,-52,50,-70,-35,46,1796,B
70,-70,-46,-70,70,-40,-70,-35,70,5717,B
-70,70,22,70,-52,-70,-70,-17,46,5867,B
-70,-70,-28,70,-17,-60,-70,-70,70,4200,B
70,70,-6,70,-17,-70,0,-17,-46,2195,B
70,70,-30,70,-70,0,0,-35,23,1860,B
70,-70,-46,-70,-70,-60,-70,-70,46,1713,B
