Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,RowNum,Segmentation
70,70,-20,70,-70,-40,0,-17,46,134,C
70,70,18,70,-70,-30,0,-17,46,5473,C
-70,70,-30,70,-70,-70,-70,-52,46,1906,C
-70,70,8,70,-70,-60,70,-52,46,2654,C
70,-70,-66,-70,0,-40,-70,-17,0,181,C
-70,70,-34,70,-70,-70,70,-35,46,697,C
-70,70,-50,70,70,-60,-70,-52,46,5205,C
-70,70,24,70,-52,-70,70,-52,46,1142,C
70,70,-30,70,17,20,0,-35,-70,5774,C
-70,70,2,70,-35,-70,-70,-70,46,4462,C
70,70,-20,70,-70,-70,0,-52,46,3673,C
-70,-70,-68,-70,-17,-70,-70,-35,46,3531,C
70,-70,-40,-70,70,0,-70,17,46,5003,C
70,70,12,70,-70,-70,0,-17,46,3741,C
-70,70,-10,70,-70,-60,0,-35,-46,4188,C
70,70,18,70,-70,-70,70,-17,46,3039,C
70,70,36,70,-70,-40,0,-35,46,1711,C
-70,70,-4,-70,-52,-20,-70,-35,-46,1705,C
70,70,-16,70,-70,-30,0,-17,-46,2951,C
-70,70,-6,70,-17,-60,0,-35,46,2129,C
70,70,-34,70,-35,0,0,-52,46,3782,C
70,-70,-8,70,-70,-60,-70,-52,-46,5064,C
70,70,-34,-70,-70,-50,0,-17,-70,634,C
70,70,-32,70,-35,20,0,-17,-46,3853,C
-70,70,16,70,-52,-70,70,-17,46,4639,C
70,70,26,70,-70,-70,70,-52,46,5780,C
-70,70,22,70,35,40,70,-52,46,4749,C
-70,70,-26,70,-70,20,0,-35,46,4576,C
-70,70,0,70,-70,-30,0,-52,46,4195,C
70,70,-16,70,-70,-60,0,-52,46,348,C
70,70,-32,70,-70,10,70,-52,46,4166,C
70,-70,-50,70,-35,-70,-70,-35,-70,1203,C
-70,70,-28,70,-52,-70,70,17,46,940,C
70,70,-8,70,-70,-40,70,0,46,5118,C
70,70,-22,-70,52,10,0,-17,-70,2602,C
70,-70,-56,-70,70,-70,-70,0,-46,4336,C
70,-70,-36,70,-17,20,-70,-17,46,5166,C
70,70,-14,70,-70,10,0,-52,46,1530,C
70,70,-34,70,-70,-20,0,-52,46,5705,C
-70,70,6,70,-52,-60,70,-35,46,414,C
70,-70,-60,-70,-35,0,-70,-17,-46,1482,C
70,70,-10,70,-70,-70,0,-52,46,3556,C
-70,70,14,70,-70,-60,0,-17,46,3328,C
-70,70,-12,-70,-17,20,0,17,46,4920,C
70,70,-8,70,-70,-70,0,-17,46,1108,C
70,70,30,70,-70,-60,70,-17,46,5522,C
70,70,32,70,-70,10,0,-52,46,5805,C
-70,70,-30,70,-70,-60,0,-35,46,3919,C
-70,70,-10,70,-70,-60,0,-17,23,2677,C
70,70,-6,70,-70,-70,0,-52,-70,2308,C
70,70,38,70,-70,-60,70,-52,46,2822,C
-70,70,28,70,-70,-60,70,-52,46,5883,C
-70,70,-2,70,-17,-60,0,0,46,5824,C
-70,70,12,70,-52,-70,0,0,46,1139,C
70,70,-10,70,-70,-10,-70,-70,46,5520,C
-70,70,-22,70,-70,-70,0,-35,-70,5860,C
-70,70,16,70,-17,20,0,-52,46,5939,C
-70,70,8,70,-70,-70,0,-35,-70,2217,C
-70,70,-6,70,-35,-60,0,-17,46,4999,C
-70,-70,-42,70,70,-50,-70,-35,46,5277,C
70,-70,-52,-70,70,-70,-70,-17,70,5313,C
70,70,-32,70,-70,-50,-70,-52,0,3113,C
-70,70,-4,70,-70,-60,-70,-52,46,4380,C
70,70,2,70,-70,-30,0,-17,0,4981,C
70,-70,-56,70,70,10,-70,-17,-23,1137,C
-70,70,-12,-70,-52,-60,70,17,46,1945,C
70,-70,-66,-70,-17,-60,-70,-17,46,5226,C
-70,70,14,70,-17,20,0,-52,46,3257,C
-70,70,-10,70,-52,-70,70,-35,-46,3690,C
70,70,28,70,35,-70,-70,-70,46,4852,C
-70,-70,-2,70,-70,-10,-70,-70,46,2728,C
-70,70,-32,70,-70,-70,0,-17,0,385,C
70,-70,-52,70,-70,-60,-70,17,46,644,C
-70,-70,0,70,-70,-70,-70,-52,70,1497,C
-70,70,2,70,-70,10,0,-52,-46,4680,C
-70,70,-22,70,-35,-60,0,-52,23,4582,C
70,70,-28,-70,-35,-70,0,-17,70,3877,C
70,70,-2,70,-70,-60,-70,-35,-46,2253,C
70,70,-14,70,52,10,0,-35,-70,3472,C
-70,70,4,70,-17,-70,0,-52,46,1578,C
-70,70,-2,70,-17,-70,0,-52,46,4588,C
70,70,30,70,-70,20,70,-52,46,2397,C
70,70,0,70,-70,-50,70,-52,-46,5327,C
-70,70,-6,70,-35,-70,0,-35,46,514,C
-70,70,16,70,-70,-70,70,-52,46,4471,C
70,70,14,70,-70,-70,0,-17,46,4025,C
-70,70,2,70,-70,-60,0,-52,46,444,C
70,70,22,70,-70,-60,0,-17,46,2483,C
-70,70,-26,70,-70,-30,0,-17,46,157,C
70,70,-36,70,-35,-70,0,-35,46,5019,C
70,70,-16,70,17,-70,70,0,46,3137,C
70,-70,-42,-70,-17,-70,-70,-35,70,1501,C
-70,70,38,70,70,-60,0,-35,46,3491,C
70,70,-8,70,-70,-60,0,-52,46,4454,C
-70,70,-6,70,-35,-70,0,52,46,3686,C
70,70,44,70,-70,-60,70,-52,46,2492,C
-70,70,66,70,35,-40,-70,-70,46,4129,C
70,70,-26,70,-70,-60,-70,-35,46,1071,C
70,-70,-60,-70,-17,-70,-70,-52,-70,5419,C
-70,-70,-46,-70,-35,-60,-70,-70,-70,307,C
-70,70,-2,70,-52,-70,70,-52,46,1943,C
70,70,-26,70,-70,20,-70,-52,46,2370,C
-70,70,12,70,-52,-30,70,-35,46,968,C
-70,70,24,70,-70,-50,-70,-70,46,3680,C
-70,70,-24,70,-17,-50,-70,-52,70,5703,C
