Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,RowNum,Segmentation
-70,-70,-54,-70,17,-70,-70,-17,70,241,D
-70,-70,-70,-70,70,60,-70,-17,46,3666,D
70,-70,-70,-70,70,-50,-70,0,46,5647,D
70,-70,-68,-70,-17,-60,-70,0,46,3369,D
-70,-70,-70,-70,0,-60,-70,17,-70,1256,D
-70,70,-6,-70,17,-60,-70,-52,46,3643,D
70,-70,-64,-70,0,-50,-70,-52,-70,5526,D
-70,-70,-54,70,-70,30,-70,0,46,5508,D
-70,70,-50,70,70,-60,-70,-17,0,1016,D
70,-70,-52,70,70,-40,-70,-17,23,29,D
70,-70,-40,70,70,0,-70,-52,46,896,D
70,-70,-46,-70,70,10,-70,-35,70,3695,D
70,-70,-60,-70,70,-70,-70,-17,0,5146,D
-70,-70,-46,-70,-52,-60,-70,-52,46,1452,D
70,-70,-54,-70,70,30,-70,-70,46,604,D
-70,-70,-68,-70,70,-60,-70,-35,70,4900,D
-70,-70,50,-70,35,-70,-70,-70,70,2496,D
-70,-70,-60,-70,70,-70,-70,-35,-70,4653,D
70,-70,-52,-70,17,-70,-70,-52,46,2604,D
-70,-70,-34,70,-70,-20,-70,-70,46,4170,D
-70,-70,-60,-70,70,-30,-70,-35,46,4580,D
70,-70,-22,-70,-70,-70,-70,-70,-23,4876,D
-70,70,-36,-70,70,-60,-70,0,46,1800,D
-70,-70,-64,-70,70,-70,-70,0,46,2434,D
-70,-70,-54,-70,-70,-70,-70,-52,46,1193,D
70,-70,-52,70,-35,-70,-70,-17,46,5214,D
70,-70,-56,70,70,-70,-70,-70,46,2187,D
70,-70,-46,70,70,20,-70,-70,46,5643,D
-70,-70,-44,-70,70,-40,-70,70,46,5855,D
70,-70,-56,70,-17,-20,-70,-70,46,2856,D
-70,-70,-52,-70,0,10,-70,-17,70,4730,D
-70,-70,-68,-70,-35,-70,-70,-35,70,4249,D
70,-70,-60,-70,70,-60,-70,-35,-70,3553,D
-70,-70,-54,-70,70,-70,-70,-35,46,2079,D
-70,70,-32,-70,-35,20,-70,-52,46,2056,D
70,-70,-44,70,-70,-60,-70,-17,46,466,D
70,-70,-60,-70,70,-40,-70,0,46,2231,D
70,-70,-44,-70,17,-70,-70,-70,46,1630,D
70,-70,-26,70,70,-60,-70,-70,-46,4030,D
