Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,-13500,-27000,-11571,-23823,-27000,-27000,-27000,-26878,27000,-22090,21600,-13500,-27000,-27000,-27000,-21000,-27000,1
3,0,-27000,-27000,-20647,-27000,-27000,-27000,-1279,27000,-7363,7200,-13500,-27000,-27000,-27000,-17000,-27000,1
4,0,-27000,-19285,-23823,-9000,-27000,-27000,-21148,27000,-12272,-9000,-13500,-27000,-27000,-27000,-17550,-27000,1
5,0,-27000,-27000,-20647,9000,-27000,-27000,15176,27000,12272,-5400,-13500,-27000,-27000,-27000,-15500,-16200,1
12,0,-27000,-11571,-23823,-9000,-27000,-27000,-23343,27000,22090,18000,-13500,-27000,-27000,-27000,-18200,-27000,1
13,-13500,-27000,-11571,-27000,-27000,-27000,-27000,-15419,27000,22090,7200,-13500,-27000,-27000,-27000,-18000,-5400,1
15,0,-27000,-27000,-20647,9000,-27000,-27000,4205,27000,-2454,-1800,-13500,-27000,-27000,-27000,-15500,-16200,1
18,0,-27000,-11571,-20647,-27000,-27000,-27000,-14932,-27000,17181,25200,-13500,-27000,-27000,-27000,-20500,-27000,1
20,0,-27000,-11571,-20647,-27000,-27000,-27000,-14932,-27000,17181,25200,-13500,-27000,-27000,-27000,-20500,-27000,1
27,-13500,-27000,-27000,-20647,-27000,-27000,-18000,-26756,27000,-7363,5400,13500,-27000,-27000,-27000,-16000,-27000,1
28,-13500,-27000,-19285,-20647,-27000,-27000,-27000,-22489,-27000,22090,-18000,-13500,-27000,-27000,-27000,-23267,-27000,1
36,-13500,-27000,-11571,-23823,-27000,-27000,-27000,-22855,27000,-2454,5400,-13500,-27000,-27000,-27000,-18900,-27000,1
38,0,-27000,-11571,-17470,-9000,-27000,-27000,3108,27000,22090,5400,-13500,-27000,-27000,-27000,-20625,-27000,1
39,0,-27000,-11571,-23823,-27000,-27000,-18000,-4327,27000,2454,25200,-13500,-27000,-27000,-27000,-14820,-16200,1
43,0,-27000,-19285,-23823,-9000,-27000,-27000,-22002,27000,-2454,19800,-13500,-27000,-27000,-27000,-17190,-16200,1
51,0,-27000,-11571,-20647,9000,-27000,-27000,-6399,27000,-12272,10800,-13500,-27000,-27000,-27000,-16400,-27000,1
58,0,-27000,-19285,-14294,-27000,-27000,-18000,-22246,27000,-12272,7200,-13500,-27000,-27000,-27000,-14940,-27000,1
67,0,-27000,-27000,-20647,-27000,-27000,-18000,-23830,27000,-12272,-1800,-13500,-27000,-27000,-27000,-12800,-27000,1
73,0,-27000,-27000,-20647,-27000,-27000,-27000,-5424,27000,-2454,-23400,-13500,-27000,-27000,-27000,-17000,-27000,1
78,13500,-27000,-11571,-11117,-27000,-27000,-18000,-8106,27000,-2454,21600,-13500,-27000,-27000,-27000,-14845,-5400,1
80,0,-16200,-27000,-20647,-27000,-27000,0,-16882,27000,-12272,-27000,-13500,-27000,-27000,-27000,-11069,-27000,1
81,0,-27000,-27000,-11117,-27000,-27000,-18000,-11397,27000,17181,-9000,-13500,-27000,-27000,-27000,-13769,-27000,1
87,-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,1
94,0,-27000,-11571,-11117,-27000,-27000,-27000,-6155,27000,7363,25200,-13500,-27000,-27000,-27000,-15841,-27000,1
96,0,-27000,-27000,-20647,9000,-27000,-27000,12006,27000,7363,3600,-13500,-27000,-27000,-27000,-15500,-16200,1
110,0,-27000,-27000,-20647,-27000,-27000,-27000,-4814,27000,12272,25200,-13500,-27000,-27000,-27000,-15210,-5400,1
114,0,-16200,-11571,-20647,-27000,-27000,-9000,-12860,27000,-2454,18000,-13500,-27000,-27000,-27000,-8576,-16200,1
116,13500,-27000,-11571,-11117,-27000,-27000,-18000,-22124,27000,-12272,10800,-13500,-27000,-27000,-27000,-13424,-27000,1
118,0,-27000,-27000,-23823,-27000,-27000,-27000,27000,27000,-12272,23400,-13500,-27000,-27000,-27000,-20500,-27000,1
120,0,-27000,-27000,-17470,-27000,-27000,-27000,11641,27000,12272,-27000,-13500,-27000,-27000,-27000,-16380,-16200,1
122,0,-27000,-19285,-17470,-27000,-27000,-27000,-18711,27000,-17181,-10800,-13500,-27000,-27000,-27000,-19605,-27000,1
126,-13500,-27000,-27000,-23823,-27000,-27000,-27000,-25293,27000,22090,-23400,-13500,-27000,-27000,-27000,-15800,-16200,1
127,0,-16200,-27000,-20647,-27000,-27000,0,-13591,27000,17181,-3600,-13500,-27000,-27000,-27000,-7920,-27000,1
132,0,-27000,-11571,-14294,-9000,-27000,-27000,8227,27000,27000,21600,-13500,-27000,-27000,-27000,-19945,-5400,1
136,0,-21600,-19285,-27000,-27000,-27000,-27000,-7252,27000,2454,16200,-13500,-27000,-27000,-27000,-14850,-5400,1
139,13500,-27000,-11571,-14294,-27000,-27000,-18000,-23708,27000,-12272,-1800,-13500,-27000,-27000,-27000,-12728,-27000,1
141,0,-27000,-27000,-20647,-27000,-27000,-27000,2864,27000,-2454,1800,-13500,-27000,-27000,-27000,-19500,-27000,1
142,0,-27000,-27000,-20647,-27000,-27000,-27000,-25659,27000,22090,3600,-13500,-27000,-27000,-27000,-15900,-16200,1
149,0,-27000,-11571,-17470,-27000,-27000,-18000,-18101,27000,-12272,-16200,-13500,-27000,-27000,-27000,-16290,-27000,1
151,0,-27000,-27000,-17470,-27000,-27000,-18000,-11153,27000,12272,23400,-13500,-27000,-27000,-27000,-13050,-5400,1
153,0,-27000,-27000,-20647,9000,-27000,-27000,6277,-27000,2454,1800,-13500,-27000,-27000,-27000,-16100,-27000,1
158,0,-27000,-27000,-23823,-9000,-27000,-27000,-23221,27000,-12272,-3600,-13500,-27000,-27000,-27000,-17550,-27000,1
166,0,-27000,-27000,-20647,-27000,-27000,-18000,-26024,27000,-2454,-1800,-13500,-27000,-27000,-27000,-11400,-27000,1
168,0,-27000,-19285,-20647,-27000,-27000,-27000,7130,27000,12272,5400,-13500,-27000,-27000,-27000,-16000,-27000,1
170,0,-27000,-27000,-20647,-27000,-27000,-27000,11641,27000,12272,-1800,-13500,-27000,-27000,-27000,-15000,-27000,1
171,0,-27000,-19285,-20647,-9000,-27000,-27000,-4449,27000,27000,0,-13500,-27000,-27000,-27000,-19080,-27000,1
174,0,-21600,-27000,-23823,-27000,-27000,-27000,-25659,27000,22090,-19800,-13500,-27000,-27000,-27000,-12000,-16200,1
179,0,-27000,-27000,-20647,9000,-27000,-27000,8593,27000,2454,9000,-13500,-27000,-27000,-27000,-15500,-27000,1
182,0,-27000,-27000,-23823,-9000,-27000,-27000,-13713,27000,17181,-9000,-13500,-27000,-27000,-27000,-16200,-27000,1
184,0,-27000,-19285,-11117,-27000,-27000,-27000,-3108,27000,7363,10800,-13500,-27000,-27000,-27000,-17055,-27000,1
188,0,-27000,-11571,-17470,-27000,-27000,-27000,9934,27000,7363,5400,-13500,-27000,-27000,-27000,-19200,-27000,1
190,0,-27000,-19285,-20647,-27000,-27000,-27000,-20417,27000,17181,-10800,-13500,-27000,-27000,-27000,-15120,-27000,1
191,-13500,-27000,-27000,-23823,-27000,-27000,-27000,-25171,27000,17181,-18000,-13500,-27000,-27000,-27000,-12500,-27000,1
192,0,-27000,-27000,-14294,-27000,-27000,-27000,-16516,27000,-12272,-18000,-13500,-27000,-27000,-27000,-18542,-27000,1
193,0,-27000,-19285,-20647,9000,-27000,-27000,-7374,27000,-17181,16200,-13500,-27000,-27000,-27000,-14000,-27000,1
194,0,-27000,3857,4764,-27000,-27000,-18000,-9081,27000,7363,-23400,-13500,-27000,-27000,-27000,-15112,-16200,1
196,0,-27000,-27000,-23823,-27000,-27000,-27000,-16395,-27000,12272,-9000,0,-27000,-27000,-27000,-17000,-27000,1
199,0,-27000,-19285,-20647,9000,-27000,-27000,23952,27000,12272,18000,-13500,-27000,-27000,-27000,-16300,-27000,1
201,0,-27000,-27000,-20647,-27000,-27000,-27000,-17248,-27000,2454,0,-13500,-27000,-27000,-27000,-19350,-16200,1
202,0,-27000,-11571,-20647,-9000,-27000,-27000,-1279,27000,27000,0,-13500,-27000,-27000,-27000,-20625,-27000,1
203,0,-27000,-19285,-20647,-27000,-27000,-27000,6277,27000,-7363,-5400,-13500,-27000,-27000,-27000,-17500,-27000,1
205,0,-27000,-27000,-17470,-27000,-27000,-27000,25781,27000,12272,-14400,-13500,-27000,-27000,-27000,-20000,-27000,1
213,13500,-27000,-11571,-23823,-27000,-27000,-27000,-3230,27000,7363,-5400,-13500,-27000,-27000,-27000,-16397,-16200,1
226,0,-16200,-11571,-20647,-27000,-27000,0,-9446,27000,-7363,19800,-13500,-27000,-27000,-27000,-9235,-16200,1
229,-13500,-27000,-19285,-20647,-27000,-27000,-27000,-23099,27000,-22090,-19800,-13500,-27000,-27000,-27000,-19710,-27000,1
230,13500,-27000,-19285,-23823,-27000,-27000,-18000,-21027,27000,-7363,-16200,-13500,-27000,-27000,-27000,-11069,-27000,1
236,0,-27000,-27000,-20647,-27000,-27000,9000,-12738,27000,-12272,23400,-13500,-27000,-27000,-27000,-16416,-27000,1
237,0,-27000,-19285,-17470,-27000,-27000,-27000,-22611,27000,27000,18000,-13500,-27000,-27000,-27000,-16800,-27000,1
239,0,-27000,-19285,-27000,-9000,-27000,-27000,-23221,27000,-12272,14400,-13500,-27000,-27000,-27000,-17550,-27000,1
247,0,-27000,-27000,-14294,-27000,-27000,-18000,-24805,27000,-7363,27000,-13500,-27000,-27000,-27000,-15720,-27000,1
248,0,-27000,-19285,-20647,-27000,-27000,-27000,-24440,27000,7363,-1800,-13500,-27000,-27000,-27000,-11900,-27000,1
250,13500,-27000,-11571,-23823,-27000,-27000,-18000,-8471,27000,7363,-5400,-13500,-27000,-27000,-27000,-12330,-16200,1
252,0,-27000,-27000,-14294,-9000,-27000,-27000,-5424,27000,2454,18000,-13500,-27000,-27000,-27000,-18925,-16200,1
257,0,-27000,-27000,-20647,9000,-27000,-27000,-14566,-27000,17181,0,-13500,-27000,-27000,-27000,-16850,-27000,1
263,-13500,-27000,-11571,-20647,-27000,-27000,-27000,-1523,27000,22090,-18000,-13500,-27000,-27000,-27000,-11790,-16200,1
264,-13500,-27000,-11571,-23823,-27000,-27000,-27000,-15663,27000,17181,-1800,-13500,-27000,-27000,-27000,-15500,-27000,1
268,0,-27000,-27000,-17470,-27000,-27000,-27000,9812,27000,27000,23400,-13500,-27000,-27000,-27000,-17970,-5400,1
271,0,-27000,-11571,-14294,-27000,-27000,-27000,-23586,27000,7363,21600,-13500,-27000,-27000,-27000,-15463,-16200,1
272,0,-27000,-19285,-20647,9000,-27000,-27000,-7374,27000,-17181,16200,-13500,-27000,-27000,-27000,-14000,-27000,1
276,-13500,-27000,-27000,-20647,9000,-27000,-27000,2133,27000,-2454,-1800,-13500,-27000,-27000,-27000,-17940,-27000,1
281,0,-27000,-19285,-17470,-9000,-27000,-27000,-22002,27000,-7363,-12600,-13500,-27000,-27000,-27000,-15390,-27000,1
282,0,-27000,-27000,-14294,-9000,-27000,-27000,-6643,27000,-2454,21600,-13500,-27000,-27000,-27000,-20782,-27000,1
283,0,-27000,-27000,-14294,-9000,-27000,-27000,-19442,27000,-17181,-12600,-13500,-27000,-27000,-27000,-20625,-27000,1
284,-13500,-27000,-19285,-14294,-27000,-27000,-27000,-13225,27000,12272,-16200,-13500,-27000,-27000,-27000,-15120,-27000,1
287,-27000,-16200,-11571,-20647,-27000,-27000,-27000,-18711,27000,-12272,14400,-13500,-27000,-27000,-27000,-16162,-16200,1
289,13500,-27000,-19285,-20647,-27000,-27000,-27000,2864,27000,17181,21600,-13500,-27000,-27000,-27000,-14130,-27000,1
291,0,-27000,-19285,-23823,-27000,-27000,-27000,-26146,27000,7363,10800,-13500,-27000,-27000,-27000,-13000,-16200,1
294,0,-27000,-11571,-23823,-27000,-27000,-27000,-12616,27000,-12272,-23400,-13500,-27000,-27000,-27000,-18270,-16200,1
295,-13500,-27000,-27000,-17470,-27000,-27000,-27000,-6765,27000,22090,-27000,-13500,-27000,-27000,-27000,-16000,-27000,1
301,-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,1
303,0,-27000,-19285,-20647,-27000,-27000,-18000,-3961,27000,17181,21600,-13500,-27000,-27000,-27000,-16020,-27000,1
306,0,-27000,-27000,-20647,-27000,-27000,-27000,-19564,27000,-17181,12600,-13500,-27000,-27000,-27000,-15300,-27000,1
309,0,-27000,-19285,-17470,-27000,-27000,-27000,-22489,27000,7363,-27000,-13500,-27000,-27000,-27000,-13410,-27000,1
310,0,-27000,-19285,-27000,-27000,-27000,-27000,-24683,27000,2454,16200,-13500,-27000,-27000,-27000,-11900,-16200,1
313,0,-27000,-11571,-11117,-27000,-27000,-27000,-8593,27000,2454,-12600,-13500,-27000,-27000,-27000,-16691,-27000,1
