Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,RowNum,Quality
-6921976,5475205,-4814024,8797186,1308971,3812213,-11082000,2242,0
20532007,-32043600,26818822,4253642,3047416,12030753,-7371000,2338,0
-11004985,34483214,-11337023,-1455831,-2933828,-31526404,1111000,1481,0
-34025077,19377661,18790015,-26001509,6761218,-4158778,-22880000,1979,0
-24349196,-9073357,409588,-10740051,22111889,-4323809,39500000,3898,0
-14854072,-21616759,32261897,-3683327,24664925,6826778,-32860000,2054,0
-48358141,4989511,36281733,-29459240,-1869341,6793772,-10380000,3594,0
484857,-14632111,14085721,15860235,3721374,10633491,-8548000,2495,0
-1771430,3425484,10854642,26549686,8989716,-127623,18140000,599,0
19107207,-14130821,-15747977,-34856675,7042485,8003999,13590000,824,0
-7751337,-28345191,-5640807,948767,-4985993,-23747947,2619000,3919,0
20659601,-2576633,-37335582,16566540,-21397904,3625178,1303000,2037,0
-51239640,5349326,11960640,-790639,23172048,-18698001,-24710000,3138,0
-30165357,32622869,-7946237,-3395534,18866504,-24496087,-29570000,704,0
-5610947,6540503,1849776,8786644,-13334205,-31141332,9050000,1377,0
-8910317,-501290,11888935,-25390081,-5056309,-24826149,9270000,948,0
508249,-5642302,22342681,-4341139,4327179,-2341238,-14730000,3677,0
770880,-24412845,42463588,23260624,16043019,-2447958,3278000,2893,0
28751190,-14587552,-29371961,23313333,-6151086,-2176207,21920000,3414,0
-9899170,-48485928,5980863,27530079,-7251271,-41835335,-3830000,1420,0
12260724,-9830863,12248548,26317765,26352525,1837344,-3149000,398,0
55450243,-15088843,21690816,-25664169,49632754,-18201809,30560000,2532,0
-10420179,-12214777,32598694,-17658677,-4482958,7321871,-6366000,1933,0
7164405,-54490274,-46505153,36311453,-32659390,4439331,-14020000,1629,0
21701619,-11256756,-14042263,20593532,-698839,18775016,9970000,2326,0
25369948,-29046997,-6533862,22280231,21116638,-27158586,17690000,2881,0
29729411,-8694604,-14313874,19212548,10298688,8411075,-27750000,3464,0
13194287,-27320330,5351813,5128617,9865970,-29502025,9050000,1181,0
35428611,11739108,-25645465,-14203054,-9833516,13912105,13170000,1356,0
-5428063,1664284,20604374,-5365809,-12277291,6199661,-13470000,3323,0
-11409033,-9195895,11571694,-1988195,7972829,3889228,-21290000,1771,0
28708659,-8115335,-6828288,30724264,-15549721,27400631,33210000,3374,0
29357262,-14164240,-8055968,2203249,-2456756,27576664,-12340000,476,0
-13046490,26685362,-39725754,-5349996,15664391,-4434930,-36710000,3462,0
-17810001,28501148,-821350,-18811957,15664391,-16092714,-69370000,3066,0
1030321,10002415,-40160331,1121654,-1672455,-7179394,-9017000,366,0
14652048,8533746,-6173163,-8382258,-22036163,-5669361,9890000,809,0
5478037,-23800157,-31523117,4274726,-11401037,-4674775,-27870000,1224,0
-18607464,-11245616,33511306,-22269689,2758577,946177,-43230000,1177,0
-4600828,-12192498,28231197,18685455,24600018,-20876409,-8296000,2405,0
18309744,-604890,17909997,-13176276,41357022,-34243913,34220000,1223,0
-16916843,-8048497,41518384,-4122923,-16713732,12866909,33550000,288,0
-28814987,14571957,6625123,-9911461,-10595100,3713195,-8685000,3146,0
-6794382,33280117,21343154,24378062,7680744,-64763629,24250000,337,0
9172948,-17896069,15737113,2335023,8794993,-30294173,35560000,2432,0
9179327,4384620,27622789,-9298240,-7951734,-32252540,19270000,392,0
16757350,41111388,-18648778,17694519,1271109,-23428888,19970000,3362,0
25816527,-28267212,-9479207,-8326217,14431145,-8613513,11740000,1477,0
15226222,6689331,-13955348,-14053359,-2799685,-6598375,1206000,774,0
24274766,-7636324,-12423465,19729099,-549551,21635552,-6908000,378,0
-7368555,-31241536,47700239,11295608,-1821742,10721508,8180000,2451,0
-13684460,-33235558,27894400,-2029308,25184187,3138887,-33540000,3402,0
-38001758,42815776,-19311508,-183428,24199753,-22999807,-48410000,3650,0
-5472721,6624163,-5387666,-6716222,3905279,8433079,-21470000,3655,0
-29984599,-6121313,38356837,-16997702,-5093090,6947801,-7908000,3944,0
17459117,9368561,-25200024,12613341,1526412,-14254269,4283000,1261,0
30962820,-12270476,-2227206,21732054,35720870,-32076507,21640000,3651,0
731539,27621105,23755056,-3101416,19396584,-49107697,38240000,1378,0
22562879,80206,-4130652,-12928542,-2546545,-11108780,183000,2774,0
36906576,-11724627,-13553364,-10535539,36110316,-10871136,4203000,2322,0
16225708,-10777745,14487705,7753541,-18660963,11425639,-15910000,567,0
-22764903,1908245,308549,-28731852,-374301,-28852903,-15910000,1927,0
12139509,15910959,11079536,-538689,824327,-30536219,18980000,2623,0
23647428,-24802738,-4580439,-21215502,23702128,-8800548,10880000,865,0
-50123192,63424384,-15128706,-19054420,8210823,-29491023,-30100000,3080,0
-12291559,64610,12056247,11611863,-2763986,-2002375,-15420000,1671,0
