Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,RowNum,Quality
-3825,-2037,6096,-1885,1233,-396,-687,0,0
-882,-2405,4259,853,165,195,-918,1,0
82,-746,-1608,-1182,2315,-800,2425,2,1
-304,-1770,1717,-924,3180,-4510,596,3,0
1838,-690,-135,-1404,2520,-2189,307,4,0
-3251,-812,-1793,-1407,-4922,1342,-3175,5,1
1806,2583,1234,-2591,2607,-2794,2215,6,0
-1732,279,1945,-1604,-585,312,-1665,7,0
-3719,-3396,1354,-2096,1720,3729,-5065,8,1
-380,263,-4162,-191,-331,1023,1995,9,1
-2476,-723,-1260,-1481,1806,2981,-3005,10,1
2996,129,-1499,170,-3018,572,1095,11,0
211,-1325,-1640,1716,-4100,-1446,-2275,12,1
-1041,-1046,2499,1021,322,-281,1525,13,0
3411,373,-825,121,-2163,-118,1515,14,0
-2433,-2360,4879,-86,1601,-856,-1275,15,0
-1168,-1414,-2119,136,2336,3608,-753,16,1
314,-4487,554,2275,768,-3663,1055,17,0
72,2672,-2369,2833,-270,-840,2295,18,1
-1849,1153,-978,3739,930,-5852,-1575,19,0
-2082,-2516,-3466,-18,3656,6226,532,20,1
1647,-46,-1228,7205,400,-4862,2445,21,0
-2178,-21,441,-158,2477,97,2985,22,1
537,-82,-2108,273,-128,-509,1895,23,1
948,-835,-525,1063,-5311,-2772,-1625,24,1
-988,-3140,-945,-235,-3797,1122,-4045,25,1
73,184,1283,632,1698,60,-3125,26,0
2518,1503,-1999,1969,-1827,-348,-2595,27,1
1934,2605,-1651,979,-1127,-2211,-1355,28,1
-240,2461,-1640,-121,-1225,121,1455,29,1
828,-1759,-3347,-1121,-3710,2090,-3235,30,1
-2327,649,2901,568,2780,-2739,-2835,31,0
2178,-2561,195,-1820,2520,-1538,975,32,0
-232,-489,2803,-492,4814,-4444,5365,33,1
356,-723,2814,2190,135,407,2105,34,0
-621,-1982,-4162,62,324,4719,-1176,35,1
-2858,1689,-891,779,1146,-821,-1695,36,0
4590,-1057,-4901,1211,98,979,-2675,37,0
-1519,-3106,4292,-994,670,869,-2485,38,0
1764,-1948,1321,737,4424,-4477,2325,39,0
1668,-857,-719,1295,-319,-1530,875,40,1
17,-1492,1771,2580,316,924,2545,41,0
-1243,-2305,2282,-304,-1218,627,-1875,42,1
1251,1595,477,705,-2499,-3817,-10,43,1
4569,3819,-2619,684,-656,451,2435,44,0
428,708,-240,4381,-1417,-4312,1055,45,0
-124,-99,-564,1316,843,-464,-4645,46,0
-1083,3808,-2271,182,1254,1793,2905,47,1
-3145,1484,-1260,-55,952,2079,456,48,1
-786,3273,-2586,107,-783,1683,2675,49,1
-2731,1340,1154,-2380,-1120,814,-2495,50,0
-43,-1202,-2119,-979,952,262,1225,51,1
1817,-2037,-3477,3223,-453,-786,661,52,0
1679,-1224,992,1748,703,473,-1395,53,0
3591,-3051,-3097,-2443,3104,1111,251,54,0
2550,43,-2336,2275,1060,-1754,2095,55,0
2327,149,-117,-555,-1610,1595,-3535,56,0
1562,-378,1597,505,-1871,2123,2465,57,0
-116,669,-634,2391,3202,-1161,-1665,58,0
1278,1258,-1499,-1486,2304,-1494,855,59,0
-3283,2260,780,119,2628,-2673,-2395,60,0
-4569,1644,-692,-2285,-225,2761,-781,61,1
-3156,-757,1836,990,-635,-1,1425,62,1
876,-1893,-627,-3318,-1055,178,-226,63,0
-1987,-545,1890,-1113,865,429,-1132,64,0
-3400,1915,3064,-361,1060,-6600,1875,65,0
-1934,3129,566,3275,-4219,-4675,-105,66,0
-1275,1937,1934,937,2563,-2387,2575,67,1
-807,469,-1825,-843,-1540,2167,-307,68,1
-31,-2806,-1075,2243,-3256,-1013,-3225,69,1
1041,-3095,1738,-413,-905,2530,-2235,70,1
2890,-2204,3129,-4287,4219,-2123,3495,71,0
991,-1280,-4738,-1165,2033,1969,955,72,1
435,-512,802,926,-4284,-1313,334,73,1
-1902,-690,-1597,-736,-2877,2233,-1675,74,1
2688,-1035,-3140,600,1590,-141,1275,75,0
2784,2216,-3368,-4287,908,1793,-23,76,0
1363,1022,-658,-388,83,-1519,74,77,1
-1923,1549,-2673,-1659,724,2167,-1635,78,1
-1912,-1169,1684,1643,-418,-1757,-1985,79,1
2422,437,-415,-1780,-143,-266,2135,80,0
-2210,-1982,3879,337,1049,-770,-1103,81,0
2901,-139,-4118,-1475,2185,781,-1935,82,1
1891,-6191,942,2106,-553,-2585,1595,83,0
2263,-1559,-1184,832,-534,2904,-355,84,0
-127,-2238,-2173,663,209,3751,-1385,85,1
2401,-612,-1890,884,-366,2222,-70,86,0
950,-116,616,-1636,562,-2222,1165,87,0
-1147,310,-1912,-274,240,2145,-724,88,1
1764,888,-1934,495,-300,-457,-130,89,1
942,1474,-2705,516,15,385,-3165,90,0
-276,-534,-76,158,1503,-352,-4755,91,0
-342,-1948,-706,1738,-495,1782,1095,92,1
-1827,-1759,4433,-1360,-42,-29,-1905,93,0
496,-1570,-5172,-639,887,5049,-1895,94,1
1849,-151,-956,1232,-997,-1377,1455,95,0
-263,-1614,-1434,-1027,3169,2827,-1825,96,1
2306,-329,-1401,153,2639,-1510,3205,97,0
179,1402,-2032,2475,-5517,-1367,-2445,98,0
-839,1562,238,-1609,-23,616,-2345,99,0
-1285,-89,429,1158,1406,42,92,100,0
-786,-1559,3021,145,735,271,-1089,101,0
-1647,-3118,761,1053,-1064,146,-3695,102,1
-1700,1621,577,-88,1579,-836,-1715,103,0
-1275,747,2423,1158,300,-1479,1935,104,1
-60,-846,-435,-1412,-2780,638,-1945,105,1
-377,-857,2282,2433,1655,-148,2845,106,0
1785,-1870,-1314,-1917,1233,-633,-250,107,0
538,-2628,-196,695,-4889,176,-1805,108,1
2146,-2616,555,195,-2434,1529,-670,109,1
1923,-601,-84,-1237,-1968,2629,-1945,110,0
-892,479,279,1822,865,72,-558,111,0
1509,-4042,-1238,-3760,3862,-207,1415,112,0
