Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,RowNum,Quality
-2359,706,1229,-965,-797,418,1305,1992,0
2104,102,1009,-1607,2206,-2827,585,2595,0
3411,373,-825,121,-2163,-118,1515,14,0
-1509,-2951,4672,-472,75,1056,776,2971,0
1764,-902,-2662,9,2693,-988,1645,1522,0
942,1474,-2705,516,15,385,-3165,90,0
-3124,1815,910,389,1319,-2090,-1315,1473,0
-1594,1300,2912,-3423,-406,671,-2245,2129,0
4813,-3173,-2195,2433,2628,-686,2745,2443,0
-3060,1230,1412,-1437,-1038,473,-1955,3425,0
4962,873,-1673,4234,3094,-2838,2305,2341,0
-3294,-337,3097,653,1492,-1936,-2465,1854,0
2221,4142,-454,-2938,2142,-860,4545,3242,0
2603,-2416,-2401,-946,208,407,-648,3404,0
-204,-1659,-659,-299,-1039,-1710,-465,3544,0
48,2706,-1858,76,443,-173,-298,3798,0
3942,3541,-3336,-569,595,363,801,3760,0
-754,2138,1608,-1676,-824,-1063,-2175,177,0
-2348,-489,792,-805,-1517,1771,-352,2477,0
-6737,556,4944,-4403,616,-349,-2875,2458,0
-1795,2126,-2999,1306,-3959,-1688,-3235,3486,0
-66,2049,-2825,1021,233,1133,1195,482,0
950,-116,616,-1636,562,-2222,1165,87,0
-1285,164,1966,-2032,-1202,847,-1355,1437,0
-1806,-590,-606,3191,335,64,-168,506,0
2794,-3162,-2434,-96,287,-359,-2205,2067,0
2752,-1737,1222,305,811,-2376,2405,2515,0
2242,2371,2173,-946,2098,-3278,4065,2704,0
-2295,3285,-749,1032,1006,-1146,172,3408,0
3007,-768,-4531,2412,-1428,825,554,1015,0
-109,139,891,-1269,-1027,1276,-5005,591,0
1201,589,-1456,2254,-1523,-2299,-224,777,0
-690,547,-481,884,131,374,-1106,2242,0
2050,-3207,2684,431,306,1199,-735,2338,0
-1105,3452,-1130,-143,-292,-3157,113,1481,0
-3400,1937,1880,-2591,681,-419,-2285,1979,0
-2433,-902,41,-1070,2206,-435,3955,3898,0
-1487,-2160,3227,-365,2466,682,-3285,2054,0
-4835,498,3629,-2938,-186,671,-1036,3594,0
45,-1458,1412,1590,367,1056,-853,2495,0
-180,342,1086,2654,897,-16,1815,599,0
1902,-1414,-1575,-3476,703,792,1365,824,0
-775,-2828,-564,97,-497,-2376,264,3919,0
2061,-257,-3738,1653,-2142,363,132,2037,0
-5122,535,1196,-75,2315,-1870,-2465,3138,0
-3018,3262,-794,-337,1893,-2453,-2955,704,0
-564,654,185,884,-1332,-3113,905,1377,0
-892,-50,1189,-2538,-504,-2486,925,948,0
47,-567,2238,-430,432,-237,-1475,3677,0
74,-2438,4249,2327,1601,-248,330,2893,0
2869,-1458,-2934,2327,-614,-221,2195,3414,0
-988,-4844,598,2749,-724,-4191,-381,1420,0
1222,-979,1225,2633,2639,180,-313,398,0
5536,-1503,2173,-2559,4965,-1823,3055,2532,0
-1041,-1224,3260,-1762,-446,726,-635,1933,0
713,-5445,-4651,3634,-3267,440,-1395,1629,0
2167,-1124,-1401,2064,-69,1870,995,2326,0
2529,-2906,-653,2233,2109,-2717,1775,2881,0
2964,-868,-1434,1917,1027,836,-2775,3464,0
1315,-2728,535,516,984,-2948,905,1181,0
3538,1173,-2564,-1416,-982,1386,1315,1356,0
-546,167,2064,-533,-1226,616,-1345,3323,0
-1147,-924,1158,-195,800,385,-2125,1771,0
2869,-812,-682,3075,-1553,2739,3325,3374,0
2933,-1414,-804,222,-244,2750,-1235,476,0
-1307,2672,-3977,-531,1568,-447,-3665,3462,0
-1785,2850,-81,-1874,1568,-1612,-6935,3066,0
99,1000,-4020,114,-166,-721,-900,366,0
1455,853,-617,-834,-2206,-570,995,809,0
544,-2383,-3151,431,-1139,-470,-2785,1224,0
-1859,-1124,3347,-2222,276,91,-4325,1177,0
-463,-1213,2825,1874,2466,-2090,-828,2405,0
1827,-60,1793,-1313,4132,-3432,3425,1223,0
-1689,-801,4151,-409,-1670,1287,3355,288,0
-2879,1457,662,-988,-1058,363,-866,3146,0
-680,3329,2140,2433,768,-6479,2425,337,0
913,-1792,1575,231,876,-3036,3555,2432,0
913,438,2760,-926,-794,-3234,1925,392,0
1668,4109,-1869,1769,127,-2343,1995,3362,0
2582,-2828,-945,-829,1449,-865,1175,1477,0
1519,669,-1391,-1402,-279,-663,123,774,0
2422,-768,-1238,1969,-54,2156,-689,378,0
-743,-3118,4770,1127,-180,1067,815,2451,0
-1370,-3318,2792,-200,2520,310,-3355,3402,0
-3804,4276,-1934,-15,2423,-2299,-4835,3650,0
-550,662,-537,-668,389,836,-2145,3655,0
-2996,-612,3836,-1695,-508,693,-789,3944,0
1742,936,-2521,1264,153,-1428,430,1261,0
3092,-1224,-221,2169,3570,-3212,2165,3651,0
70,2761,2379,-307,1936,-4917,3825,1378,0
2252,8,-412,-1289,-253,-1114,20,2774,0
3687,-1169,-1358,-1050,3613,-1091,422,2322,0
1615,-1080,1445,779,-1860,1133,-1585,567,0
-2274,191,31,-2865,-36,-2893,-1585,1927,0
1210,1591,1108,-51,83,-3058,1895,2623,0
2359,-2483,-457,-2117,2369,-883,1095,865,0
-5015,6336,-1510,-1906,822,-2948,-3005,3080,0
-1232,6,1206,1158,-275,-203,-1535,1671,0
2869,-1982,-1608,5582,-1338,-2651,1605,2831,0
3857,281,-1456,400,3288,-1637,1535,3575,0
