Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,RowNum,Quality
-381,-206,600,-183,118,-35,-69,0,0
-84,-240,427,89,16,24,-92,1,0
-27,-184,167,-89,311,-445,59,3,0
190,-72,-14,-136,247,-214,30,4,0
180,251,122,-257,257,-269,220,6,0
-169,24,189,-156,-58,35,-170,7,0
307,10,-146,19,-300,60,110,11,0
-95,-106,243,110,32,-24,150,13,0
338,34,-81,14,-214,-7,150,14,0
-243,-240,481,-5,161,-81,-130,15,0
34,-452,54,225,75,-357,110,17,0
-180,112,-102,373,96,-577,-160,19,0
169,-7,-124,720,42,-478,240,21,0
10,15,126,68,171,10,-310,26,0
-232,61,286,57,279,-269,-280,31,0
222,-262,18,-178,247,-149,100,32,0
38,-72,276,225,13,49,210,34,0
-285,166,-92,78,118,-77,-170,36,0
455,-106,-492,120,9,104,-270,37,0
-148,-318,427,-95,64,93,-250,38,0
180,-195,131,78,440,-445,230,39,0
5,-150,178,257,31,93,250,41,0
455,385,-265,68,-65,49,240,44,0
45,67,-24,436,-140,-423,100,45,0
-9,-13,-57,131,85,-41,-470,46,0
-264,130,113,-236,-111,82,-250,50,0
180,-206,-351,320,-45,-74,66,52,0
169,-128,97,173,64,49,-140,53,0
360,-306,-308,-236,311,115,25,54,0
254,1,-232,225,107,-170,210,55,0
232,11,-12,-52,-160,159,-350,56,0
158,-39,156,57,-182,214,250,57,0
-8,63,-63,236,322,-112,-170,58,0
130,122,-146,-145,225,-145,80,59,0
-328,228,76,14,257,-258,-240,60,0
91,-195,-63,-331,-105,21,-23,63,0
-190,-61,189,-108,85,49,-114,64,0
-338,184,308,-32,107,-654,190,65,0
-190,306,55,331,-419,-467,-11,66,0
296,-228,308,-425,419,-203,350,71,0
275,-106,-308,68,161,-9,130,75,0
275,217,-341,-425,85,181,-3,76,0
243,40,-42,-174,-13,-21,210,80,0
-222,-206,384,36,107,-72,-111,81,0
190,-619,93,215,-54,-258,160,83,0
232,-161,-113,89,-52,291,-36,84,0
243,-61,-189,89,-36,225,-8,86,0
97,-15,60,-159,53,-214,120,87,0
97,144,-276,57,1,38,-320,90,0
-24,-61,-8,18,150,-30,-479,91,0
-180,-184,438,-132,-4,1,-190,93,0
190,-18,-92,120,-98,-133,150,95,0
232,-36,-135,18,257,-146,320,97,0
21,137,-200,247,-548,-131,-240,98,0
-84,152,22,-157,-2,71,-230,99,0
-127,-12,42,120,139,8,9,100,0
-74,-161,297,17,75,31,-109,101,0
-169,159,56,-5,161,-79,-170,103,0
-34,-83,221,247,161,-9,280,106,0
180,-195,-135,-183,118,-59,-25,107,0
190,-61,-9,-119,-193,269,-190,110,0
-84,44,26,183,85,12,-56,111,0
158,-407,-124,-373,386,-16,140,112,0
-275,240,-34,-56,171,-203,-290,118,0
51,-173,-265,215,-71,-170,-170,124,0
-190,-50,416,-64,96,-89,-150,125,0
222,251,-113,215,-333,-94,190,131,0
-201,-39,276,-144,-157,71,-52,132,0
508,-206,-167,15,-119,148,140,133,0
201,60,-54,-137,247,-171,210,135,0
-44,176,-113,152,-7,82,220,138,0
45,135,68,57,-40,-23,-250,139,0
180,-217,101,404,333,-51,-61,146,0
-116,-173,276,57,311,-104,-260,147,0
201,284,-124,-122,-20,-46,320,148,0
82,-83,-102,194,225,115,140,149,0
169,-318,24,36,161,-225,100,150,0
62,228,16,-236,-146,225,-39,152,0
-370,40,319,-215,7,-31,-240,155,0
43,43,-36,152,171,-119,-500,159,0
105,-72,112,110,42,82,210,162,0
111,5,-10,47,-1,148,-240,167,0
275,69,-146,278,-108,-151,80,168,0
-190,-173,276,-136,-171,236,-220,169,0
136,-217,101,152,-110,-269,120,170,0
28,75,27,78,-94,159,-33,172,0
70,-61,308,-113,-204,170,280,174,0
-74,206,156,-163,-81,-102,-220,177,0
88,-217,61,194,204,60,-120,179,0
275,-184,77,236,-181,214,240,180,0
-127,-251,384,68,75,27,-4,181,0
-222,-72,232,-113,-6,-35,-280,183,0
-243,-106,308,-57,182,-92,-410,188,0
