Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,RowNum,Quality
105,-173,-27,152,-193,-122,-180,800,1
-23,-173,-416,-113,279,357,25,801,1
-48,-61,-56,-2,-180,-40,-220,806,1
-84,-262,-146,-5,279,214,260,810,1
-434,318,-351,-183,75,379,-2,811,1
243,-94,-156,36,-333,-36,-111,812,1
132,195,4,204,-268,-291,-150,814,1
-84,-94,105,7,-90,-46,-3,815,1
80,168,-30,4,96,-149,-310,821,1
127,-373,319,68,-408,-78,-160,822,1
113,-251,-167,47,75,148,-26,834,1
296,-351,243,89,-247,-269,-270,837,1
-349,52,211,-83,386,14,-210,841,1
22,217,-35,-79,-214,-467,220,843,1
-317,-37,29,18,193,258,140,844,1
-127,146,-297,-95,128,236,-95,845,1
13,-12,146,0,-21,-368,140,846,1
-307,96,-416,-23,-365,19,-310,856,1
-56,-50,-254,-179,225,-34,410,858,1
-4,-50,200,-22,-4,-171,-150,859,1
-127,-10,-200,18,17,181,3,861,1
-74,-262,-71,-7,268,214,250,862,1
-15,12,-61,-104,-135,159,-24,863,1
180,45,-124,10,-214,-59,-150,866,1
-20,4,-77,68,-118,-2,-53,868,1
-60,50,-308,-79,-131,280,-72,869,1
-148,-50,156,-19,300,-346,500,871,1
34,-94,-351,-2,75,159,260,873,1
105,90,-61,-40,32,-192,-140,874,1
88,7,-384,183,-16,368,-190,875,1
52,144,-167,268,-279,-280,43,877,1
-232,17,-221,-98,85,357,-130,878,1
190,-139,-254,-5,-365,-40,-300,879,1
-360,-173,276,141,-161,-51,310,880,1
222,-83,-243,-225,182,-181,180,882,1
76,-83,-276,-137,247,148,-150,883,1
21,-161,87,57,-279,-52,-120,885,1
-328,-418,109,36,161,258,380,887,1
11,-117,1,204,-268,-89,-69,888,1
169,34,-167,-12,-429,-58,-23,890,1
-84,-50,106,215,-225,-63,-91,892,1
-211,-195,-12,-6,279,368,-88,898,1
91,17,167,141,-49,-412,330,900,1
-74,88,-265,99,85,368,-230,901,1
169,-117,-395,352,-408,-73,-130,906,1
-105,-173,110,-204,4,126,-320,907,1
-8,10,362,36,-107,-203,77,908,1
-50,65,-32,-62,-193,137,72,909,1
-105,49,24,47,-408,-2,120,913,1
-349,-139,-189,152,-62,126,-330,914,1
144,-39,-17,194,-408,-225,9,916,1
-243,30,-243,173,-45,19,-190,919,1
-18,217,-286,-69,85,126,-12,921,1
-307,-39,-211,-310,150,335,-460,923,1
-95,-106,243,141,75,-181,330,924,1
-275,-150,-113,11,139,423,-6,926,1
50,-27,-92,68,16,93,-36,928,1
-116,36,-18,-46,42,29,-160,931,1
-232,-306,-330,-174,300,478,190,932,1
