long_hair;forehead_width_cm;forehead_height_cm;nose_wide;nose_long;lips_thin;distance_nose_to_lip_long;RowNum;gender
20;17;4;20;20;20;20;3737;0
20;1;-12;20;-20;20;20;3063;0
20;-19;-18;20;20;20;20;4661;0
20;7;2;20;20;20;20;126;0
20;5;8;20;20;20;20;3471;0
20;16;-6;20;20;20;20;2257;0
20;-14;14;20;20;-20;20;3220;0
-20;-11;10;20;20;-20;20;2380;0
20;6;4;20;-20;20;-20;3959;0
20;19;20;20;20;20;20;881;0
20;-5;-10;20;20;-20;-20;2588;0
20;-7;-16;20;20;20;20;2242;0
-20;4;4;20;20;-20;20;3282;0
20;-4;-18;-20;20;20;20;95;0
20;5;10;20;20;20;20;3872;0
20;-4;16;20;20;20;-20;3856;0
20;-14;0;20;20;20;20;1154;0
-20;0;2;-20;20;20;20;1068;0
20;-2;-14;-20;20;20;-20;3899;0
20;-10;12;20;20;20;20;2439;0
20;20;-2;20;20;20;20;2279;0
20;0;-2;20;20;20;20;966;0
20;-6;-4;20;20;20;20;156;0
20;-12;-18;-20;20;20;20;820;0
20;7;20;20;-20;20;20;213;0
20;-19;-18;20;20;20;-20;3611;0
20;-18;16;20;20;20;20;425;0
20;8;-10;20;20;20;20;4278;0
20;13;-20;20;20;20;20;1063;0
20;-19;-8;20;20;20;20;1545;0
20;6;18;20;20;20;20;4992;0
20;16;12;20;20;20;20;227;0
20;-2;-4;20;-20;20;20;2792;0
20;-5;12;20;-20;20;20;3245;0
-20;9;-18;20;20;20;20;554;0
20;13;-4;20;20;-20;-20;718;0
-20;20;-20;20;20;20;20;4948;0
20;-13;-12;20;20;-20;20;3105;0
20;-19;-4;20;20;20;20;1027;0
-20;16;-8;20;20;-20;20;3965;0
20;-7;20;20;20;20;20;4757;0
20;5;6;20;20;20;20;3125;0
20;10;-2;20;20;20;20;1492;0
20;-18;-18;20;-20;20;20;603;0
20;11;-16;-20;-20;20;20;896;0
20;-16;-20;-20;20;20;20;2843;0
20;17;-8;20;-20;20;20;1942;0
20;-7;8;20;20;20;-20;957;0
20;-11;-18;20;20;20;20;2570;0
-20;19;-14;20;20;20;20;2298;0
-20;-16;4;20;20;20;20;3700;0
20;-13;2;20;20;20;20;4371;0
20;19;20;20;20;-20;20;4493;0
20;12;-20;20;20;20;20;1678;0
20;7;6;-20;20;20;20;238;0
20;-18;10;20;20;20;20;3571;0
20;-3;-16;20;20;-20;20;987;0
20;20;14;20;20;20;20;378;0
-20;-9;-12;20;20;20;20;2777;0
20;20;-18;-20;20;20;20;3213;0
20;-4;18;20;20;20;20;965;0
20;20;4;-20;20;20;20;1623;0
20;2;-2;20;20;20;20;2532;0
20;-8;16;20;20;20;20;1621;0
20;-2;4;20;20;20;20;3867;0
-20;-16;10;20;20;20;-20;4602;0
20;0;0;20;20;20;20;1802;0
20;-10;4;20;20;20;-20;3254;0
20;20;16;20;-20;20;-20;403;0
20;7;4;20;20;20;20;1421;0
20;0;20;20;20;20;20;2701;0
20;4;-4;20;20;20;20;1515;0
20;-17;4;20;20;20;20;3255;0
20;-7;2;20;20;-20;20;4754;0
-20;-5;-18;20;20;20;20;4525;0
20;-18;12;20;20;-20;-20;4183;0
20;6;8;20;-20;20;20;1090;0
20;-16;14;20;20;20;20;1848;0
20;8;14;20;20;20;20;1679;0
20;4;-4;20;20;20;20;3043;0
20;-7;14;20;20;20;20;3386;0
20;16;-10;20;20;20;20;2119;0
20;-12;-20;-20;20;20;-20;1888;0
20;8;-4;20;20;20;20;3168;0
20;2;8;20;20;20;20;1513;0
20;0;8;20;20;20;20;855;0
20;-15;2;20;20;20;20;3394;0
-20;-12;-20;20;20;20;20;1696;0
20;-16;-8;20;20;20;20;4709;0
20;13;-2;20;20;20;20;719;0
20;0;6;20;20;-20;20;2618;0
20;-2;18;20;20;20;20;951;0
20;8;8;20;20;20;20;1196;0
20;-19;-18;20;20;20;20;1719;0
20;2;-4;20;20;20;20;236;0
20;-3;-4;20;20;20;20;3268;0
20;-19;10;20;20;20;20;1236;0
20;3;-10;20;20;20;20;2901;0
20;-17;8;20;20;20;20;4850;0
20;-9;10;-20;20;20;20;4564;0
20;19;12;-20;20;20;20;3853;0
20;-8;12;20;20;20;20;847;0
20;7;-20;20;-20;20;20;1082;0
-20;-12;0;20;20;20;20;2704;0
20;-3;12;20;-20;-20;20;720;0
-20;3;8;20;20;20;20;1465;0
20;14;12;20;20;20;20;4857;0
20;16;-4;20;20;20;20;4483;0
20;14;14;20;20;20;20;3031;0
20;-19;-4;20;20;20;20;4583;0
20;4;-4;-20;20;20;20;3462;0
20;-1;-10;20;-20;20;20;3501;0
-20;-10;-6;20;20;20;20;2551;0
20;10;-10;20;20;20;20;4399;0
20;-9;8;20;20;20;-20;4664;0
20;-10;-6;20;20;20;20;1348;0
20;2;-4;20;-20;-20;-20;3396;0
20;-9;16;20;-20;20;20;1388;0
20;-1;0;20;20;20;20;844;0
-20;11;-4;-20;20;20;20;4522;0
-20;-5;2;20;20;-20;20;4906;0
20;-14;-4;20;20;20;20;3958;0
-20;-18;-8;20;-20;20;20;3855;0
20;1;-8;20;20;20;20;2765;0
20;-11;0;20;-20;20;20;4343;0
20;12;14;20;20;20;-20;1389;0
20;-10;18;-20;20;-20;20;3798;0
20;-13;4;20;20;20;20;1217;0
20;-6;20;20;-20;20;20;4527;0
20;10;18;20;20;20;20;4756;0
20;-3;-18;20;20;20;20;2208;0
20;11;-14;-20;20;20;-20;958;0
-20;2;-12;20;20;-20;20;1607;0
20;13;20;20;20;20;20;2142;0
20;16;-10;20;20;20;20;2968;0
-20;11;16;-20;20;20;20;3423;0
20;-13;0;20;20;20;20;1136;0
20;11;8;20;20;20;20;1211;0
20;11;0;20;20;20;20;1008;0
20;-8;-10;20;-20;20;20;3879;0
20;8;-20;20;20;20;20;1919;0
20;-8;12;20;20;20;20;4834;0
20;-16;-12;20;20;20;20;1913;0
20;-1;12;20;20;20;20;2785;0
20;14;20;20;20;20;20;2834;0
20;-8;10;-20;20;20;20;538;0
20;15;-14;20;20;20;20;3211;0
20;-5;6;20;20;20;-20;4058;0
20;20;-16;-20;20;20;20;1199;0
20;17;16;20;20;20;20;2222;0
20;10;-8;-20;20;20;20;2756;0
20;-7;-10;20;20;20;20;2606;0
-20;-15;4;20;20;-20;20;779;0
20;-3;10;20;20;20;20;1747;0
20;-16;-6;20;20;20;20;3488;0
20;-15;-10;20;20;20;20;2662;0
20;-19;18;20;20;20;20;3806;0
20;-18;-2;-20;-20;20;20;1763;0
20;20;-6;20;20;20;20;1286;0
20;-4;6;20;20;20;20;3148;0
20;18;-10;20;-20;20;-20;1892;0
20;0;-18;20;20;-20;20;3318;0
20;-16;4;20;-20;20;20;3422;0
20;8;4;20;20;-20;20;4082;0
20;-5;18;20;20;20;20;4994;0
20;-12;16;20;20;20;20;4215;0
20;-13;8;20;20;20;20;104;0
20;17;4;20;20;20;20;4416;0
-20;9;-8;20;20;20;20;4277;0
20;19;-18;20;20;20;-20;1110;0
20;9;0;20;20;20;-20;370;0
20;16;-10;20;20;20;20;664;0
20;-10;-8;20;20;20;20;2755;0
20;7;20;20;20;20;20;307;0
20;-3;-14;20;20;20;-20;4610;0
20;-12;2;20;20;20;20;4841;0
20;-12;8;20;-20;20;20;1069;0
20;4;-20;20;20;20;20;146;0
20;2;-12;20;20;20;-20;2906;0
20;19;-20;20;-20;20;20;244;0
20;-4;6;20;20;20;-20;2930;0
20;8;-10;20;20;-20;20;2365;0
20;7;6;20;20;-20;-20;2848;0
20;-1;6;20;-20;20;-20;792;0
20;18;-2;20;20;-20;20;4467;0
-20;-16;8;20;20;20;20;2842;0
20;-7;-8;20;20;20;20;175;0
20;9;-2;20;20;20;20;2767;0
20;2;-6;20;20;20;20;498;0
20;19;-16;-20;-20;20;-20;4286;0
-20;6;-10;20;20;20;20;2214;0
20;-9;2;20;20;20;20;1550;0
20;20;-16;20;20;20;20;4888;0
20;8;0;20;20;20;20;983;0
20;-15;-18;20;20;20;20;2444;0
20;17;2;20;20;20;20;2248;0
20;-11;-2;20;20;20;20;3324;0
20;19;-14;20;20;20;20;677;0
20;-18;10;20;20;20;20;3506;0
20;-12;14;20;20;20;20;3822;0
