long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,RowNum,gender
20,-2,10,20,-20,20,20,2186,0
20,-16,-20,20,20,20,20,4796,0
20,-11,-16,20,20,20,20,3752,0
20,0,-12,20,20,20,20,682,0
20,-10,-18,20,20,-20,20,2395,0
20,14,-16,20,20,20,20,2833,0
20,-7,10,20,20,20,20,4622,0
20,13,16,20,20,20,20,657,0
20,-17,2,20,20,20,20,3608,0
20,20,-16,-20,20,20,20,4210,0
20,1,-16,20,20,20,20,2680,0
-20,-6,4,20,20,20,20,456,0
20,15,6,20,-20,20,20,3102,0
20,10,18,20,20,20,20,3941,0
20,-3,8,20,20,20,20,2344,0
20,0,-12,20,20,20,20,2409,0
20,4,-12,20,-20,20,20,2146,0
20,-4,-14,20,20,20,-20,724,0
20,1,-12,20,20,20,20,1078,0
20,-13,-14,20,-20,20,20,2357,0
20,16,-4,20,20,20,20,1583,0
20,-9,-14,20,-20,20,20,1735,0
20,-2,-14,20,20,20,20,2239,0
20,-7,4,20,20,20,20,3674,0
20,-19,8,-20,20,20,20,2605,0
20,-3,-14,20,20,20,20,4070,0
20,15,-6,20,20,20,20,4108,0
20,16,2,20,20,20,20,4848,0
-20,3,-8,20,-20,20,20,4870,0
20,7,-6,20,20,20,20,2225,0
20,6,-2,20,20,20,20,4585,0
20,3,-8,20,20,20,20,2486,0
20,-9,8,-20,20,20,20,3633,0
-20,-9,14,20,-20,20,20,3794,0
20,-11,16,-20,20,20,20,4995,0
20,5,8,20,20,20,20,1590,0
20,1,2,20,-20,20,20,4002,0
20,3,18,20,-20,-20,20,2287,0
20,16,6,20,20,20,20,3932,0
20,0,-2,20,20,-20,20,4644,0
20,-4,-2,20,20,20,20,2823,0
20,6,-20,-20,-20,20,20,463,0
20,4,-4,20,20,20,-20,4735,0
20,9,-2,20,-20,20,20,4751,0
20,-4,18,20,20,20,20,4687,0
20,-17,-18,-20,20,-20,20,1106,0
20,-15,-14,20,20,20,20,4865,0
-20,-11,-10,20,-20,20,20,1790,0
20,15,-12,20,20,20,-20,2827,0
20,9,2,20,20,20,20,2859,0
