long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,RowNum,gender
250,-150,0,250,-250,250,250,0,0
-250,50,-174,-250,-250,250,-250,1,1
-250,-150,50,250,250,250,250,2,0
-250,50,0,-250,250,250,250,3,0
250,50,-49,-250,-250,-250,-250,4,1
250,-50,175,250,250,250,250,5,0
250,150,25,250,250,250,-250,6,0
-250,-50,-224,-250,-250,-250,-250,7,1
250,-150,-174,250,-250,250,250,8,1
250,-150,-174,-250,-250,-250,-250,9,1
-250,-150,-174,250,250,250,250,10,0
250,250,-74,250,250,250,250,11,0
-250,150,-224,250,250,250,250,12,0
250,50,150,-250,250,250,250,13,0
250,50,100,-250,-250,-250,-250,14,1
-250,-150,-224,250,250,250,250,15,0
250,150,-24,250,250,250,250,16,0
250,50,-49,-250,-250,-250,-250,17,1
250,-150,-224,-250,-250,-250,-250,18,1
250,50,-124,250,-250,250,250,19,0
250,150,50,250,250,250,250,20,0
250,-50,225,250,250,250,250,21,0
250,-50,75,250,-250,-250,250,22,1
-250,-150,-24,250,250,-250,250,23,0
-250,50,-199,-250,-250,-250,-250,24,1
250,-150,50,-250,-250,-250,-250,25,1
250,50,25,-250,-250,-250,-250,26,1
250,-150,-224,-250,-250,-250,-250,27,1
250,250,-99,250,250,250,-250,28,0
250,150,50,250,250,250,250,29,0
250,150,-224,250,250,250,250,30,0
250,-150,175,250,250,250,250,31,0
250,-150,-199,250,-250,-250,-250,32,1
250,-150,-24,250,-250,-250,-250,33,1
250,-50,-174,-250,250,250,250,34,0
250,50,0,250,250,250,250,35,0
250,-50,-24,-250,-250,-250,-250,36,1
250,50,-249,250,-250,-250,-250,37,1
-250,50,-224,-250,-250,-250,-250,38,1
-250,250,50,250,250,250,250,39,0
250,50,-49,-250,-250,-250,-250,40,1
250,50,175,250,250,250,250,41,0
250,-150,0,250,250,250,250,42,0
250,-150,25,-250,-250,-250,-250,43,1
-250,-50,50,250,250,250,250,44,0
250,-150,-224,250,250,250,250,45,0
250,50,-249,-250,-250,-250,-250,46,1
250,50,-199,-250,250,250,-250,47,0
250,-150,50,250,-250,250,-250,48,1
250,-150,-149,-250,250,-250,-250,49,1
250,50,-174,250,250,250,-250,50,0
250,-50,75,-250,-250,-250,250,51,1
250,-50,-199,-250,-250,-250,-250,52,1
250,50,-199,-250,-250,-250,-250,53,1
250,50,-199,250,250,250,250,54,0
250,-250,-124,-250,-250,250,250,55,1
250,150,-249,250,250,250,-250,56,0
250,50,-24,250,250,250,250,57,0
250,50,-174,-250,250,-250,250,58,0
250,50,-49,-250,-250,-250,-250,59,1
250,-50,-149,-250,-250,250,-250,60,1
250,-50,-74,-250,250,250,250,61,0
250,-150,-174,250,250,-250,-250,62,1
-250,50,-124,250,250,250,250,63,0
250,50,100,-250,-250,-250,-250,64,1
250,-150,-249,-250,-250,250,250,65,1
250,50,25,-250,-250,-250,-250,66,1
250,-150,25,-250,250,-250,-250,67,1
250,50,-74,-250,-250,250,-250,68,1
-250,-150,50,-250,-250,250,250,69,1
250,-150,0,-250,-250,-250,-250,70,1
250,150,-24,250,250,250,250,71,0
250,-50,25,250,250,250,250,72,0
250,150,175,250,-250,-250,-250,73,0
250,50,100,-250,-250,250,250,74,1
-250,-150,-24,-250,250,-250,-250,75,1
250,50,-224,-250,-250,-250,-250,76,1
250,50,-49,250,-250,250,250,77,0
250,-150,-24,250,250,250,250,78,0
250,-150,249,-250,250,250,250,79,0
250,-150,100,-250,-250,-250,-250,80,1
-250,-150,-49,-250,-250,-250,-250,81,1
250,50,150,250,250,250,250,82,0
250,-150,-249,-250,250,-250,-250,83,1
250,50,-249,-250,-250,-250,250,84,1
250,-150,-124,250,250,-250,250,85,0
250,-150,-24,250,250,250,250,86,0
250,-150,0,-250,-250,-250,-250,87,1
250,-50,-49,-250,-250,250,250,88,0
250,50,25,250,-250,250,250,89,0
250,-150,-124,250,-250,-250,-250,90,1
250,-50,-249,-250,-250,-250,-250,91,1
250,-50,-49,250,250,250,250,92,0
-250,-50,-174,-250,-250,-250,-250,93,1
250,-150,100,250,250,-250,250,94,0
250,-50,-224,-250,250,250,250,95,0
250,-150,25,250,250,250,250,96,0
250,150,175,250,250,250,250,97,0
-250,-150,75,-250,-250,-250,-250,98,1
-250,-150,-49,-250,-250,-250,-250,99,1
250,150,-124,-250,250,250,250,100,0
250,50,-174,250,250,-250,250,101,0
250,50,-99,250,250,250,250,102,0
250,50,50,250,250,250,-250,103,0
250,-150,100,250,250,250,250,104,0
250,-150,100,250,250,-250,250,105,0
-250,-150,100,250,-250,250,250,106,1
250,150,150,250,250,250,250,107,0
250,150,0,250,250,250,250,108,0
250,50,-149,-250,250,-250,-250,109,1
250,250,-199,250,250,250,-250,110,0
250,-150,25,-250,250,-250,-250,111,1
250,-50,125,250,-250,250,250,112,0
250,150,-199,250,250,250,-250,113,0
250,50,-174,-250,-250,-250,-250,114,1
250,-50,0,-250,-250,-250,250,115,1
250,-50,75,-250,-250,-250,250,116,1
