long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,RowNum,gender
250,-150,0,250,-250,250,250,0,0
-250,-150,50,250,250,250,250,2,0
-250,50,0,-250,250,250,250,3,0
250,-50,175,250,250,250,250,5,0
250,150,25,250,250,250,-250,6,0
-250,-150,-174,250,250,250,250,10,0
250,250,-74,250,250,250,250,11,0
-250,150,-224,250,250,250,250,12,0
250,50,150,-250,250,250,250,13,0
-250,-150,-224,250,250,250,250,15,0
250,150,-24,250,250,250,250,16,0
250,50,-124,250,-250,250,250,19,0
250,150,50,250,250,250,250,20,0
250,-50,225,250,250,250,250,21,0
-250,-150,-24,250,250,-250,250,23,0
250,250,-99,250,250,250,-250,28,0
250,150,50,250,250,250,250,29,0
250,150,-224,250,250,250,250,30,0
250,-150,175,250,250,250,250,31,0
250,-50,-174,-250,250,250,250,34,0
250,50,0,250,250,250,250,35,0
-250,250,50,250,250,250,250,39,0
250,50,175,250,250,250,250,41,0
250,-150,0,250,250,250,250,42,0
-250,-50,50,250,250,250,250,44,0
250,-150,-224,250,250,250,250,45,0
250,50,-199,-250,250,250,-250,47,0
250,50,-174,250,250,250,-250,50,0
250,50,-199,250,250,250,250,54,0
250,150,-249,250,250,250,-250,56,0
250,50,-24,250,250,250,250,57,0
250,50,-174,-250,250,-250,250,58,0
250,-50,-74,-250,250,250,250,61,0
-250,50,-124,250,250,250,250,63,0
250,150,-24,250,250,250,250,71,0
250,-50,25,250,250,250,250,72,0
250,150,175,250,-250,-250,-250,73,0
250,50,-49,250,-250,250,250,77,0
250,-150,-24,250,250,250,250,78,0
250,-150,249,-250,250,250,250,79,0
250,50,150,250,250,250,250,82,0
250,-150,-124,250,250,-250,250,85,0
250,-150,-24,250,250,250,250,86,0
250,-50,-49,-250,-250,250,250,88,0
250,50,25,250,-250,250,250,89,0
250,-50,-49,250,250,250,250,92,0
250,-150,100,250,250,-250,250,94,0
250,-50,-224,-250,250,250,250,95,0
250,-150,25,250,250,250,250,96,0
250,150,175,250,250,250,250,97,0
250,150,-124,-250,250,250,250,100,0
250,50,-174,250,250,-250,250,101,0
250,50,-99,250,250,250,250,102,0
250,50,50,250,250,250,-250,103,0
250,-150,100,250,250,250,250,104,0
250,-150,100,250,250,-250,250,105,0
250,150,150,250,250,250,250,107,0
250,150,0,250,250,250,250,108,0
250,250,-199,250,250,250,-250,110,0
250,-50,125,250,-250,250,250,112,0
250,150,-199,250,250,250,-250,113,0
250,50,150,250,250,250,250,118,0
250,-150,-249,250,250,250,250,119,0
250,-150,249,250,250,250,250,123,0
250,-50,75,-250,250,-250,250,124,0
250,50,25,250,250,250,250,126,0
250,-150,25,250,250,250,250,127,0
250,-50,175,250,250,250,250,130,0
250,-150,-174,-250,250,250,250,132,0
250,-150,50,250,-250,-250,-250,134,0
250,-50,-149,250,-250,250,250,136,0
250,-150,-49,250,250,250,250,138,0
250,-50,-124,250,-250,250,250,139,0
250,-50,25,250,250,250,250,141,0
250,50,100,250,250,250,250,144,0
250,50,-249,250,250,250,250,146,0
250,-150,175,250,250,250,250,147,0
250,150,125,250,250,250,250,149,0
250,-150,-224,250,-250,250,250,150,0
250,-50,75,250,250,250,250,152,0
-250,-150,175,250,250,-250,250,153,0
250,-50,-49,250,250,250,250,156,0
250,150,-149,250,250,250,-250,158,0
250,-150,0,-250,250,250,250,159,0
250,50,125,250,250,250,250,161,0
250,50,-224,250,250,250,250,162,0
250,-150,249,-250,250,250,250,163,0
250,150,25,250,250,250,250,164,0
250,-50,-99,250,250,250,250,166,0
250,-150,-174,250,250,250,250,167,0
250,-50,125,250,250,250,250,169,0
250,-50,0,250,-250,250,250,172,0
250,50,249,-250,-250,250,250,173,0
250,-50,-99,250,250,250,250,175,0
250,-150,-149,250,250,250,250,177,0
-250,-150,-24,250,250,-250,250,178,0
-250,-50,-74,250,250,250,-250,181,0
250,-150,-74,250,250,250,250,182,0
250,50,249,250,250,250,250,184,0
250,150,-124,250,250,250,250,186,0
250,-150,-49,250,250,250,250,187,0
250,150,25,250,-250,-250,250,189,0
-250,50,75,-250,-250,250,250,191,0
250,-50,25,250,250,250,250,192,0
-250,-150,-174,250,-250,250,250,194,0
250,-150,50,250,250,250,250,196,0
250,-50,-199,250,250,250,250,200,0
-250,-150,25,250,-250,250,-250,203,0
250,-50,75,250,250,250,250,205,0
250,50,75,250,250,250,250,206,0
250,150,-249,250,250,250,250,207,0
250,50,249,250,-250,250,250,213,0
250,-50,-99,250,250,250,250,214,0
250,50,150,250,250,250,250,215,0
250,-150,150,250,250,-250,250,218,0
250,150,150,-250,250,250,250,221,0
-250,50,-124,250,250,-250,250,224,0
250,150,-74,250,-250,250,250,225,0
250,-50,-224,250,250,250,250,226,0
250,150,150,250,250,250,250,227,0
250,-50,-174,250,250,250,250,229,0
250,-150,225,250,250,250,250,231,0
250,250,-124,250,250,250,250,234,0
250,150,-174,250,250,250,250,235,0
250,50,-49,250,250,250,250,236,0
250,-50,-99,250,250,-250,250,237,0
250,50,75,-250,250,250,250,238,0
250,150,225,250,250,250,250,240,0
-250,150,75,250,250,250,250,241,0
250,-150,25,250,-250,250,250,243,0
250,150,-249,250,-250,250,250,244,0
250,50,-49,250,250,250,250,248,0
-250,-50,200,250,250,250,250,249,0
250,-150,-74,250,-250,-250,250,251,0
250,-150,-74,250,250,250,250,252,0
-250,-50,200,250,-250,250,250,253,0
250,50,-174,250,250,250,250,255,0
