long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,RowNum,gender
250,-150,-24,-250,-250,-250,-250,1232,1
250,50,-74,-250,-250,-250,-250,1233,1
250,-150,100,-250,-250,-250,-250,1234,1
-250,50,75,250,-250,-250,-250,1235,1
250,-50,-49,-250,-250,250,-250,1240,1
250,-50,-24,-250,-250,250,-250,1241,1
250,-50,-249,-250,-250,-250,-250,1244,1
250,-50,100,-250,-250,-250,-250,1245,1
250,50,-224,-250,-250,-250,-250,1246,1
250,-50,0,-250,-250,-250,-250,1247,1
250,50,-74,-250,250,-250,-250,1248,1
250,-150,-149,250,-250,-250,-250,1250,1
250,-150,-174,-250,-250,-250,-250,1251,1
250,-150,-149,-250,250,-250,-250,1252,1
250,-50,-99,-250,-250,-250,250,1257,1
250,-150,-199,-250,-250,-250,-250,1258,1
250,50,50,-250,-250,-250,250,1260,1
250,50,50,250,-250,250,-250,1261,1
250,-50,-199,-250,-250,-250,-250,1262,1
-250,-150,75,-250,-250,-250,250,1263,1
250,-50,-174,-250,-250,-250,250,1266,1
250,-250,-124,-250,250,-250,250,1270,1
250,50,-24,-250,250,-250,-250,1274,1
250,-150,-124,-250,-250,-250,-250,1275,1
-250,50,-199,-250,-250,-250,-250,1276,1
250,-150,75,-250,-250,-250,-250,1285,1
250,-50,100,-250,-250,-250,-250,1290,1
250,-50,-199,-250,-250,250,-250,1292,1
250,50,50,-250,-250,-250,-250,1293,1
250,-150,-99,-250,-250,-250,-250,1294,1
250,-50,-24,-250,-250,-250,-250,1299,1
250,-50,-99,-250,-250,-250,250,1300,1
250,50,-24,-250,250,-250,250,1301,1
250,-150,100,-250,-250,-250,-250,1302,1
250,-150,100,-250,-250,-250,-250,1305,1
250,-150,-49,-250,-250,250,-250,1308,1
250,50,-199,-250,250,-250,-250,1309,1
250,-150,50,-250,-250,250,-250,1310,1
250,-150,50,-250,-250,-250,-250,1312,1
250,-50,-249,-250,-250,250,250,1318,1
-250,-50,-199,-250,-250,-250,-250,1319,1
250,-150,-174,250,-250,-250,250,1321,1
