long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,RowNum,gender
20,4,2,-20,-20,-20,-20,2868,1
20,-18,6,-20,20,-20,-20,604,1
20,-11,-10,-20,-20,-20,-20,2604,1
20,-3,-2,-20,-20,-20,-20,4744,1
20,5,8,-20,-20,-20,-20,884,1
20,-18,-18,-20,-20,-20,-20,4040,1
20,-18,-2,-20,-20,-20,-20,1326,1
20,1,-6,-20,-20,-20,-20,1346,1
20,-12,-10,-20,-20,-20,-20,2424,1
20,0,6,-20,-20,-20,-20,4823,1
20,-19,4,-20,-20,-20,-20,1835,1
-20,-13,0,-20,-20,-20,-20,943,1
20,-1,8,-20,-20,-20,-20,1245,1
20,-2,2,-20,-20,-20,-20,4999,1
20,-11,-4,-20,-20,-20,20,4528,1
-20,-11,6,-20,-20,-20,-20,1209,1
20,0,-8,-20,-20,-20,-20,223,1
20,-15,-12,-20,-20,-20,-20,1103,1
20,1,-18,-20,20,-20,-20,3145,1
20,2,0,-20,-20,-20,-20,2578,1
-20,-6,-10,-20,-20,-20,-20,3195,1
20,-17,-10,-20,-20,-20,-20,1565,1
20,-19,-2,-20,-20,-20,-20,4127,1
-20,-20,0,-20,-20,-20,-20,1434,1
20,-12,-6,-20,-20,-20,-20,4598,1
20,0,-10,-20,20,20,-20,1737,1
20,-18,2,-20,-20,20,-20,2616,1
20,-1,8,-20,-20,20,-20,1386,1
20,3,-12,-20,-20,-20,-20,4739,1
20,-17,-14,-20,-20,-20,-20,3033,1
-20,-9,2,-20,-20,-20,-20,1523,1
20,-1,4,20,20,-20,-20,886,1
20,-2,-20,-20,-20,-20,-20,3166,1
20,-5,2,-20,-20,-20,-20,3216,1
20,-12,-6,-20,-20,-20,-20,4573,1
20,-4,4,-20,-20,-20,20,895,1
-20,-19,2,-20,-20,-20,-20,4946,1
20,-20,6,-20,-20,-20,-20,3659,1
20,-9,6,-20,20,-20,-20,1682,1
20,-14,-12,-20,20,-20,-20,1252,1
20,-13,-14,-20,-20,-20,-20,9,1
20,4,2,-20,-20,-20,-20,358,1
-20,-17,-14,-20,-20,-20,-20,1091,1
20,7,2,-20,-20,20,-20,2702,1
20,-19,4,-20,-20,-20,-20,3385,1
20,-5,-2,-20,-20,20,-20,3967,1
20,-19,-18,-20,-20,-20,-20,2674,1
-20,-4,-10,-20,-20,-20,-20,3433,1
20,-5,0,-20,-20,-20,-20,2958,1
-20,-15,-16,-20,-20,-20,-20,2477,1
20,0,-18,-20,-20,20,-20,4071,1
20,6,4,-20,-20,-20,-20,2292,1
20,-9,-4,-20,-20,-20,-20,2367,1
20,-8,-20,-20,-20,20,-20,1500,1
20,-10,-2,-20,-20,-20,-20,1410,1
20,3,-12,-20,-20,-20,-20,369,1
20,-7,-16,-20,-20,-20,-20,4738,1
20,-10,6,-20,-20,20,20,588,1
-20,-9,4,-20,-20,20,-20,216,1
-20,7,-2,-20,-20,-20,-20,4028,1
20,8,4,-20,-20,-20,-20,2110,1
