no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,RowNum,booking_status
0,-27000,-11571,-17470,-27000,-27000,-27000,-1158,27000,-7363,7200,-27000,-27000,-27000,-27000,-19200,-27000,24329,1
0,-27000,-11571,-20647,-27000,-27000,-27000,-10056,27000,7363,-5400,-13500,-27000,-27000,-27000,-15570,-27000,24330,1
0,-16200,-19285,-20647,9000,-27000,0,-8715,27000,7363,5400,-13500,-27000,-27000,-27000,-3840,-27000,24337,1
0,-27000,-11571,-11117,-27000,-27000,-9000,-25171,-27000,7363,19800,-13500,-27000,-27000,-27000,-18471,-16200,24339,1
0,-27000,-27000,-20647,-27000,-27000,-27000,11641,27000,12272,-1800,-27000,-27000,-27000,-27000,-15000,-27000,24348,1
0,-27000,-27000,-17470,-27000,-27000,-27000,914,27000,17181,19800,-13500,-27000,-27000,-27000,-19956,-5400,24351,1
0,-27000,-19285,-20647,-9000,-27000,-27000,-20051,27000,-12272,-27000,-13500,-27000,-27000,-27000,-18810,-27000,24359,1
0,-27000,-27000,-23823,-27000,-27000,-27000,-22611,27000,-17181,-10800,-13500,-27000,-27000,-27000,-18810,-27000,24365,1
0,-27000,-11571,-23823,-27000,-27000,-18000,-19198,27000,7363,19800,-13500,-27000,-27000,-27000,-12660,-16200,24366,1
0,-21600,-19285,-20647,-27000,-27000,-27000,-4449,27000,22090,-21600,-13500,-27000,-27000,-27000,-16290,-27000,24370,1
0,-27000,-27000,-17470,-27000,-27000,-27000,25781,27000,12272,-14400,-27000,-27000,-27000,-27000,-20000,-27000,24371,1
0,-27000,-27000,-17470,-27000,-27000,-27000,-1036,27000,-2454,-16200,-27000,-27000,-27000,-27000,-14000,-27000,24373,1
-13500,-27000,-11571,-14294,-27000,-27000,-27000,-18589,27000,-2454,-7200,-27000,-27000,-27000,-27000,-15000,-27000,24374,1
0,-27000,-27000,-17470,-9000,-27000,-27000,-20295,27000,-17181,-25200,-13500,-27000,-27000,-27000,-20050,-27000,24376,1
0,-27000,-27000,-17470,-27000,-27000,-27000,-12006,-27000,27000,23400,-13500,-27000,-27000,-27000,-19775,-5400,24378,1
0,-27000,-19285,-14294,-27000,-27000,18000,-8837,27000,27000,21600,-13500,-27000,-27000,-27000,-9133,-16200,24379,1
-13500,-27000,-11571,-14294,-27000,-27000,-27000,2864,27000,2454,-18000,-27000,-27000,-27000,-27000,-16000,-27000,24383,1
0,-27000,-27000,-14294,-27000,27000,-27000,-3839,27000,7363,-12600,-13500,-27000,-27000,-27000,-16155,-16200,24386,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-14688,27000,-7363,-18000,-13500,-27000,-27000,-27000,-14310,-27000,24387,1
0,-16200,-27000,-14294,-27000,-27000,0,-6399,27000,2454,-19800,-13500,-27000,-27000,-27000,-10255,-5400,24389,1
13500,-27000,-11571,-27000,-27000,-27000,0,-17735,27000,12272,-21600,-13500,-27000,-27000,-27000,-6210,-16200,24391,1
0,-27000,-27000,-23823,-9000,-27000,-27000,-16273,27000,27000,-18000,-13500,-27000,-27000,-27000,-18200,-27000,24397,1
0,-21600,-19285,-11117,-27000,-27000,-27000,-8349,27000,7363,-12600,-13500,-27000,-27000,-27000,-14675,-16200,24399,1
0,-27000,-27000,-20647,9000,-27000,-27000,12006,27000,7363,3600,-27000,-27000,-27000,-27000,-15500,-16200,24405,1
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-1401,27000,7363,3600,-13500,-27000,-27000,-27000,-17910,-16200,24406,1
0,-27000,-19285,-23823,9000,-27000,-27000,9690,27000,2454,25200,-27000,-27000,-27000,-27000,-15500,-16200,24407,1
0,-27000,-19285,-20647,-9000,-27000,-27000,-26146,27000,-22090,-19800,-13500,-27000,-27000,-27000,-19100,-27000,24409,1
-13500,-27000,-19285,-20647,-27000,-27000,-27000,-20539,27000,22090,-9000,-13500,-27000,-27000,-27000,-20024,-16200,24410,1
