v1,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,RowNum,badGood
100,100,-6,85,2,83,-38,100,4,85,-18,60,-45,61,-38,84,-39,58,-32,57,-30,37,-47,57,-51,41,-46,21,-34,42,-54,19,-45,0,0
100,100,-3,100,0,100,-12,89,1,73,5,85,1,55,0,84,-14,76,-9,71,-28,43,-12,58,-40,59,-22,43,-17,60,-24,56,-38,2,0
100,100,-2,94,7,92,-23,77,-16,53,-20,56,-1,34,-27,53,-22,45,-18,6,-36,2,-53,3,-65,13,-53,2,-62,-6,-60,-5,-66,4,0
100,98,-11,95,-21,93,-28,86,-27,80,-48,78,-51,75,-61,58,-68,38,-74,36,-77,32,-80,23,-82,14,-83,5,-82,-4,-81,-14,-81,6,0
100,96,-7,100,-14,100,-21,100,-36,93,-44,95,-41,90,-46,98,-35,85,-66,75,-61,70,-64,85,-65,58,-70,25,-64,45,-73,39,-73,8,0
100,100,7,100,-18,100,-27,100,-43,100,-41,96,-52,91,-59,89,-66,70,-71,71,-76,63,-81,56,-89,47,-87,40,-84,31,-89,23,-89,10,0
100,100,-16,100,-10,100,-15,100,-19,94,-35,96,-30,94,-34,94,-28,90,-43,86,-47,83,-51,84,-47,76,-57,66,-69,69,-65,65,-67,12,0
100,100,7,100,3,100,-6,100,9,100,20,100,20,100,13,100,11,100,27,100,45,100,42,100,20,100,37,96,49,100,32,100,47,14,0
100,100,6,100,-1,98,2,96,2,99,8,89,10,94,5,89,11,86,9,82,12,84,14,81,13,79,14,79,15,77,16,71,12,16,0
100,67,3,67,5,57,19,9,34,64,12,62,14,79,11,58,18,14,41,54,21,51,23,49,24,46,25,43,25,41,26,100,33,18,0
100,100,-1,100,-10,100,-8,100,-11,100,-11,100,-39,100,-16,92,-32,86,-35,92,-44,96,-47,82,-40,83,-42,76,-38,80,-41,74,-45,20,0
100,96,7,100,4,100,9,90,-5,89,3,83,-6,88,10,77,0,75,-5,66,-8,64,-6,56,-8,58,-2,50,-1,51,0,52,0,22,0
100,100,-6,100,3,100,-5,100,-2,100,-12,84,-5,93,-7,69,-7,66,-20,95,-32,81,-32,85,-35,73,-29,73,-39,54,-26,64,-39,24,0
100,100,-9,100,-17,87,-82,95,61,95,-41,88,-32,88,-23,81,-62,12,-100,90,11,62,-79,55,-83,48,-87,41,-90,33,-92,-13,-100,26,0
100,100,8,100,17,100,-13,98,65,100,48,100,59,100,71,100,83,100,95,100,100,98,100,92,100,84,100,75,100,64,100,52,100,28,0
100,100,-14,100,-16,100,-24,100,-8,100,-25,100,-26,100,-22,100,-39,100,-46,100,-36,100,-60,100,-48,99,-50,100,-76,100,-76,100,-84,30,0
100,88,-15,93,-11,92,-16,88,-17,88,-32,85,-31,82,-36,81,-34,75,-47,71,-47,66,-50,61,-48,57,-55,50,-60,47,-56,42,-57,32,0
100,100,-16,72,28,83,-57,100,-28,100,-50,80,-13,77,15,100,39,100,27,96,-2,93,-91,100,15,100,-12,100,-11,100,53,100,-57,34,0
100,100,0,100,-1,100,-3,100,-7,98,-6,100,-7,97,-8,93,-14,94,-14,100,-14,95,-14,89,-21,89,-18,86,-19,84,-20,84,-21,36,0
100,91,4,94,2,95,5,94,1,92,6,93,12,92,6,89,13,84,14,81,12,77,14,76,11,74,13,66,15,71,11,65,11,38,0
100,100,7,100,21,100,26,93,32,87,39,75,50,80,52,66,61,58,63,48,67,41,69,34,72,28,72,19,71,11,73,7,71,40,0
100,91,9,87,17,100,17,55,68,70,37,16,43,58,46,51,50,32,13,38,54,31,56,25,57,19,57,13,56,7,55,12,68,42,0
100,99,-6,100,-13,99,-19,99,-26,93,-30,93,-38,90,-44,85,-52,87,-56,79,-60,75,-65,68,-68,65,-73,61,-75,55,-80,49,-83,44,0
100,100,-4,100,-7,100,-11,100,-10,99,-14,97,-22,95,-25,91,-34,91,-32,90,-35,88,-38,86,-43,83,-43,81,-43,78,-48,75,-50,46,0
100,98,1,98,-4,98,-6,96,-7,99,-5,95,-11,93,-13,94,-12,80,-19,88,-17,86,-19,88,-20,82,-21,79,-24,77,-23,74,-24,48,0
100,84,-18,44,3,93,0,88,14,81,-2,89,55,92,-56,75,-30,87,-20,100,100,47,-16,90,-3,93,-1,62,-32,84,-26,93,-1,50,0
100,100,100,100,100,91,100,-27,100,-83,100,-100,100,-100,73,-100,-57,-100,-42,-100,-100,-53,-100,90,-100,100,-100,100,-100,100,-35,100,35,52,0
100,96,8,97,-6,97,-8,96,-7,95,1,95,-17,95,-19,100,-32,90,-36,91,-27,90,-30,100,-41,87,-35,92,-31,84,-39,82,-41,54,0
100,100,-2,100,-4,100,-7,100,-9,100,56,100,-13,100,-15,100,32,100,-18,99,-19,96,-20,100,-92,87,-22,83,-22,78,-23,74,-23,56,0
100,100,6,95,7,100,13,100,-2,95,7,96,15,95,11,91,20,97,16,100,14,91,16,92,22,88,24,89,23,78,30,84,31,58,0
100,100,10,100,12,100,23,99,9,95,19,93,24,89,28,86,27,84,33,83,32,75,40,76,35,68,43,63,46,57,47,54,51,60,0
100,100,17,99,16,95,33,92,23,91,37,84,47,81,49,78,48,65,57,57,58,56,65,48,55,43,69,36,76,34,67,22,79,62,0
100,100,-41,100,76,87,19,100,-10,94,48,65,-16,100,1,98,-50,80,-24,88,-19,100,-12,94,11,93,-7,100,-27,44,20,51,-5,64,0
100,100,28,100,2,100,8,100,4,99,33,100,5,100,4,96,-25,84,-9,100,4,100,27,100,-39,96,-2,87,23,95,-22,80,-7,66,0
100,100,68,81,82,43,100,21,81,-44,100,-79,77,-100,40,-39,-59,-98,-43,-73,-76,-38,-97,41,-100,42,-93,26,-100,94,-35,99,3,68,0
100,100,4,100,18,100,27,100,25,100,29,100,39,100,32,100,66,100,54,100,61,100,59,90,68,90,71,86,67,74,86,71,76,70,0
100,96,9,97,19,96,27,98,35,93,46,86,53,83,59,73,69,69,73,54,69,48,76,41,75,33,84,25,86,14,87,9,86,72,0
100,100,5,100,11,100,19,100,28,100,35,100,38,95,43,89,50,76,59,81,60,80,63,67,64,59,69,50,73,47,72,33,75,74,0
100,100,4,100,12,100,16,100,28,99,31,93,38,91,40,82,46,79,47,79,56,70,58,67,60,59,61,54,61,45,64,40,63,76,0
100,100,24,100,49,100,73,100,100,100,100,100,100,100,77,100,100,100,100,74,100,90,100,65,100,38,100,11,100,-17,100,-81,100,78,0
100,100,-7,100,63,100,10,100,20,100,-100,100,-41,100,-16,100,5,100,-62,100,-27,100,-100,100,-57,100,-81,100,-100,100,-79,100,-48,80,0
100,92,8,93,16,90,25,84,35,79,42,71,47,71,56,60,64,51,65,40,67,34,68,24,76,19,74,10,71,3,77,-4,70,82,0
100,75,-3,66,-5,81,3,86,3,63,9,72,8,73,5,79,-28,66,-1,79,7,35,-19,65,3,61,-7,54,-21,59,-14,56,3,84,0
100,68,5,77,-11,77,4,66,-5,65,1,67,-14,72,-2,77,9,62,-8,76,-24,74,-15,85,-15,74,-6,67,2,86,4,73,1,86,0
100,58,-2,40,0,38,13,40,-6,56,14,47,8,53,-5,58,2,50,0,46,7,58,8,50,0,49,10,46,8,45,24,43,17,88,0
100,88,-22,100,36,82,19,85,6,91,-4,85,25,78,25,69,58,71,39,73,28,100,35,57,52,70,53,81,59,43,71,52,54,90,0
100,71,-25,64,4,45,38,65,18,50,27,58,-23,50,38,39,-43,36,-26,27,12,53,-4,31,-12,50,-4,48,-4,64,-25,50,15,92,0
100,29,14,45,17,52,-1,53,21,52,-17,47,-5,56,4,82,-22,42,-4,35,7,28,-21,52,-3,50,-3,35,10,71,-2,40,-3,94,0
100,90,17,79,37,73,51,60,73,44,81,24,87,6,85,-13,87,-29,80,-47,66,-56,54,-68,40,-72,26,-72,11,-71,-6,-68,-20,96,0
100,98,19,83,46,72,59,48,84,31,93,10,94,-13,84,-32,92,-52,80,-68,50,-77,34,-85,18,-83,-1,-82,-19,-67,-34,-60,-50,97,0
100,74,5,79,3,79,4,66,10,68,31,76,7,75,8,71,-8,64,0,70,11,68,12,67,15,64,14,66,18,60,15,57,15,99,0
100,100,2,96,-3,100,-3,100,-5,99,-7,99,-9,100,-16,100,-14,98,-12,100,-19,100,-19,99,-22,96,-20,95,-17,96,-23,87,-23,101,0
100,96,-12,63,-13,96,-18,97,8,92,-1,84,-25,100,-31,99,-21,99,-21,100,-27,93,-39,100,-19,89,-32,81,-24,89,-32,70,-42,103,0
100,94,-49,100,-4,99,-87,90,67,100,-10,100,-12,100,-15,100,-18,100,-20,100,-23,100,-27,100,-30,100,-33,100,-37,100,-41,100,-45,105,0
100,99,1,84,-11,88,-16,99,-6,96,-7,85,3,87,-21,94,-13,98,-9,90,0,88,-6,93,-20,88,-18,94,-17,80,-26,77,-28,107,0
100,100,-56,99,-73,90,-97,100,-36,100,-23,63,-86,100,-57,100,-80,77,-89,97,-100,70,-75,62,-77,54,-78,81,-100,100,-100,30,-76,109,0
100,86,19,81,41,67,56,55,70,37,82,20,86,-4,86,-17,76,-34,66,-48,56,-60,41,-59,26,-63,9,-56,-8,-55,-20,-43,-32,111,0
100,100,23,91,52,78,72,48,84,28,92,9,88,-22,91,-34,76,-51,65,-65,45,-74,29,-71,4,-72,-12,-65,-28,-51,-45,-37,-53,113,0
100,21,-10,33,7,19,19,24,10,40,2,31,-5,31,-5,29,-12,33,5,31,0,21,-12,36,-5,22,-2,19,0,17,-2,15,-2,115,0
