pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
5,-31,-35,-35,-35,-35,35,4,2
5,-21,35,35,-35,-35,-2,9,2
5,-21,35,35,35,-35,-11,10,2
-5,-30,35,-35,-35,-35,35,15,2
5,-27,35,-35,35,-35,-11,19,2
-5,-32,-35,-35,35,-35,35,21,2
5,-33,35,-35,35,-35,-7,24,2
5,-35,-35,-35,-35,35,-35,27,2
-5,-31,-35,-35,-35,-35,-11,28,2
-5,-21,-35,35,-35,-35,-35,30,2
5,-26,35,-35,-35,-35,-2,33,2
5,-26,-35,-35,-35,-35,35,37,2
5,-30,-35,-35,-35,-35,35,39,2
5,-21,-35,-35,-35,35,11,43,2
-5,-32,-35,-35,-35,-35,-2,44,2
-5,-31,-35,-35,-35,-35,35,47,2
5,-21,-35,-35,35,-35,35,48,2
-5,-30,35,-35,35,-35,35,49,2
5,-21,-35,-35,-35,35,35,51,2
-5,-33,35,-35,35,-35,-7,53,2
5,-21,-35,35,-35,-35,-35,56,2
5,-26,-35,-35,35,-35,35,57,2
5,-30,-35,-35,35,-35,35,64,2
5,-21,-35,35,-35,-35,35,66,2
-5,-27,35,-35,-35,-35,11,67,2
5,-27,-35,-35,-35,-35,35,72,2
5,-27,35,-35,-35,-35,35,74,2
5,-23,-35,-35,35,-35,11,76,2
-5,-27,-35,-35,35,-35,11,77,2
5,-21,35,-35,-35,35,35,79,2
-5,-21,35,-35,-35,-35,-7,81,2
5,-23,-35,-35,-35,35,11,82,2
