pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
2,-27,32,-32,32,-32,32,706,2
5,-19,-32,-32,-32,32,32,711,2
2,-27,32,-32,-32,-32,32,713,2
5,-25,32,-32,32,-32,-10,717,2
3,-19,-32,-32,-32,32,10,718,2
2,-30,-32,-32,32,-32,32,719,2
2,-27,32,-32,-32,-32,32,721,2
5,-25,32,-32,32,-32,-10,725,2
2,-30,-32,-32,32,-32,32,727,2
4,-19,32,32,-32,-32,-2,733,2
4,-19,32,32,32,-32,-10,734,2
2,-27,32,-32,32,-32,32,739,2
4,-24,32,-32,-32,-32,-2,740,2
5,-24,-32,-32,-32,-32,32,745,2
5,-27,-32,-32,-32,-32,32,747,2
3,-19,-32,-32,-32,32,10,751,2
2,-30,-32,-32,-32,-32,-2,752,2
3,-27,-32,-32,-32,-32,32,753,2
2,-29,-32,-32,-32,-32,32,756,2
4,-19,32,32,-32,-32,-2,761,2
4,-19,32,32,32,-32,-10,762,2
5,-19,-32,-32,32,-32,32,766,2
2,-27,32,-32,32,-32,32,767,2
5,-19,-32,-32,-32,32,32,772,2
2,-27,32,-32,-32,-32,32,774,2
5,-25,32,-32,32,-32,-10,778,2
2,-29,-32,-32,-32,-32,32,779,2
4,-19,32,32,-32,-32,-2,784,2
4,-19,32,32,32,-32,-10,785,2
5,-19,-32,-32,32,-32,32,789,2
2,-27,32,-32,32,-32,32,790,2
5,-19,-32,-32,-32,32,32,795,2
2,-27,32,-32,-32,-32,32,797,2
5,-25,32,-32,32,-32,-10,801,2
2,-30,-32,-32,32,-32,32,803,2
2,-31,32,-32,32,-32,-6,806,2
5,-32,-32,-32,-32,32,-32,809,2
2,-29,-32,-32,-32,-32,-10,810,2
5,-19,-32,32,-32,-32,-32,812,2
5,-24,-32,-32,32,-32,32,814,2
3,-27,-32,-32,-32,-32,32,816,2
2,-27,32,-32,32,-32,32,819,2
3,-25,-32,-32,-32,-32,32,821,2
5,-19,-32,-32,-32,32,32,824,2
2,-27,32,-32,-32,-32,32,826,2
5,-25,32,-32,32,-32,-10,830,2
2,-30,-32,-32,32,-32,32,832,2
2,-27,32,-32,-32,-32,32,834,2
5,-25,32,-32,32,-32,-10,838,2
2,-30,-32,-32,32,-32,32,840,2
2,-31,32,-32,32,-32,-6,843,2
5,-32,-32,-32,-32,32,-32,846,2
5,-19,-32,32,-32,-32,-32,849,2
5,-24,-32,-32,32,-32,32,851,2
3,-27,-32,-32,-32,-32,32,853,2
2,-30,-32,-32,-32,-32,-2,858,2
3,-25,32,-32,-32,-32,32,861,2
2,-30,-32,-32,-32,-32,-2,865,2
3,-27,-32,-32,-32,-32,32,866,2
2,-29,-32,-32,-32,-32,32,869,2
2,-25,32,-32,-32,-32,10,872,2
4,-19,32,32,-32,-32,-2,874,2
2,-27,32,-32,-32,-32,32,881,2
5,-25,32,-32,32,-32,-10,885,2
2,-30,-32,-32,32,-32,32,887,2
5,-19,-32,32,-32,-32,-32,892,2
5,-24,-32,-32,32,-32,32,894,2
3,-27,-32,-32,-32,-32,32,896,2
3,-22,-32,-32,32,-32,10,899,2
5,-19,-32,-32,-32,32,32,901,2
2,-27,32,-32,-32,-32,32,903,2
5,-25,32,-32,32,-32,-10,907,2
2,-29,-32,-32,-32,-32,32,908,2
2,-25,-32,-32,32,-32,10,911,2
4,-19,32,32,-32,-32,-2,913,2
4,-19,32,32,32,-32,-10,914,2
4,-24,32,-32,-32,-32,-2,917,2
5,-24,-32,-32,-32,-32,32,922,2
5,-27,-32,-32,-32,-32,32,924,2
3,-19,-32,-32,-32,32,10,928,2
2,-30,-32,-32,-32,-32,-2,929,2
