fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
-1639,-667,-3250,-2804,-2555,-2279,-2606,350,690,-2354,-2250,0,5
-1409,133,-3250,-2493,-2316,-921,-1848,-116,-895,-1887,-1850,1,5
-1409,-400,-2990,-2626,-2381,-1891,-2147,-23,-588,-2004,-1850,2,5
546,-2537,390,-2804,-2566,-1697,-2009,444,-1100,-2276,-1850,3,6
-1639,-667,-3250,-2804,-2555,-2279,-2606,350,690,-2354,-2250,4,5
-1639,-845,-3250,-2849,-2566,-2085,-2469,350,690,-2354,-2250,5,5
-1351,-1113,-2860,-2938,-2631,-1891,-2032,-303,-383,-2744,-2250,6,5
-1696,-890,-3250,-3116,-2674,-1891,-2905,-1145,76,-2705,-1650,7,7
-1409,-1202,-3120,-2760,-2588,-2473,-2974,-116,-76,-2315,-2150,8,7
-2042,-1202,-2730,-2849,-2327,-1891,-1894,-537,-486,-2432,-2450,9,5
-2674,-1046,-3250,-2938,-2414,-1794,-2032,-1285,1049,-2510,-1750,10,5
-1409,-1068,-1365,-2938,-2143,-2473,-2721,163,-588,1537,-2550,11,5
-1006,-2537,390,-2849,-2381,48,-1022,-70,-383,-1615,-1150,12,7
-1351,-2359,65,-2849,320,-1697,-2101,-70,-1714,-330,-2450,13,6
-1524,-2047,-1235,-2626,-2490,-1115,-1757,537,742,-2004,-1950,14,5
-1351,-1869,-1885,-2938,-2229,-2376,-2537,-210,-1049,-992,-2150,15,5
-1006,-1602,-2535,-2626,-2468,-2473,-1848,-116,-1049,-2471,-2250,16,5
-1926,-2003,-2340,-2582,-2457,-1309,-2469,-116,281,-2082,-1950,17,6
-2272,-2047,-2210,-3027,-2512,-2279,-2859,-724,-179,-2354,-2350,18,5
-1524,-1958,-1690,-2849,-2512,-2958,-3135,-397,-486,-2238,-2150,19,5
-1811,-623,-3250,-2804,-2512,-1988,-2583,70,486,-2393,-2250,20,5
-1409,-912,-3250,-2760,-2490,-2570,-3020,-303,25,-2238,-1850,21,6
-2042,-779,-2795,-2582,-2414,-1697,-1504,-584,-127,-2432,-1550,22,5
-1121,-868,-2470,-2626,-2479,-1891,-792,-210,-1049,-1965,-1850,23,5
-2904,-2359,-1625,-2849,-2262,-2085,-2239,-631,25,-2393,-2450,24,5
-1409,-912,-3250,-1202,-2446,-2861,-2974,724,127,-2393,-2050,25,6
-1409,-1113,-2340,-2582,-2446,-3055,-3043,210,230,-2199,-850,26,6
-1236,-2092,-1429,-2715,-2664,-2085,-2698,-116,-742,-1693,-1950,27,7
-1696,-1780,-910,-1023,-2577,-2182,-1389,350,-230,-1303,-1150,28,5
-834,-1068,-1300,-2404,-2425,-1697,-2331,257,-588,-2549,-2350,29,4
-1581,-1602,-1950,-2493,222,-2570,-3066,-116,-844,-1031,-1150,30,6
-1236,-845,-1820,-2671,-2631,-2473,-2859,-116,-383,136,-1350,31,5
-3250,-1469,-2275,-2715,-2794,-2570,-1894,-1706,2687,-2354,1450,32,4
-1466,378,-455,-2671,-2143,-1212,-769,-23,-639,-1693,-2450,33,5
-834,-845,-1560,-2893,-2577,-2958,-2859,23,-1151,-1654,-2450,34,5
-2099,-1469,-2990,-2671,-2631,-2570,-3043,-678,127,-2082,-2250,35,6
-2099,-1558,-2990,-2715,-2642,-2764,-3066,-724,76,-2043,-2250,36,6
-949,-2092,-910,-2315,-2501,-436,-654,-23,-895,-2354,-2250,37,5
-1524,-1513,-2275,-2404,-2186,-145,-1711,-724,-1049,-2082,-1450,38,6
-28,-1914,454,-2136,-2620,-2958,-3158,23,-1714,-2082,-2050,39,5
-1409,-1157,-2080,-2626,-2555,-1697,-2147,210,281,-2238,-1650,40,5
-1696,-2047,-1235,-2582,-2577,-2473,-2331,-397,179,-2432,-2250,41,6
-834,-2003,-650,-2671,-2522,-1503,-2193,444,332,-2043,-2450,42,5
-1466,-712,-65,-2849,-2132,-1406,-815,-116,-844,-1770,-2350,43,5
-1869,-511,-2925,-2760,-2501,-2085,-2147,-210,76,-2315,-1850,44,5
-1754,-556,-2925,-1580,-2446,-2958,-3135,-397,179,-3016,-750,45,5
-1754,-556,-2925,-1580,-2446,-2958,-3135,-397,179,-3016,-750,46,5
-2099,-645,-2795,-2938,-2555,-2764,-3043,-397,332,-2276,-950,47,5
-1294,-645,-2925,-2804,-2577,-2570,-2951,-397,-179,-836,-1150,48,6
-1466,-712,-1820,-2804,-2468,-1600,-1228,-444,-332,-2666,-2150,49,5
-1121,-779,-1560,-2715,-2468,-2279,-2400,257,-332,-2471,-2450,50,4
-834,-1958,910,-2671,-2371,-2473,-2423,724,844,-1965,-1150,51,5
-1984,-289,-3250,-2582,-2251,-1988,-2698,-210,742,-2393,-950,52,6
-2042,-445,-2470,-2760,-2446,-2182,-1550,-584,25,-2510,-1550,53,5
-1121,-1001,-1950,-2982,-2512,-727,-654,70,-1100,-175,-2550,54,4
-2329,-1780,-1950,-2938,-2631,-3055,-3043,-584,179,-2354,-2450,55,5
-1639,-1558,-195,-2760,-2446,-1309,-1711,-23,-76,-2315,-2550,56,5
-2272,-2448,-130,-2849,-2631,-1600,-1986,-537,332,-1498,-1350,57,6
-1926,-1335,-2275,-2671,-2555,-1503,-2469,-444,179,-2238,-1550,58,5
-949,-1602,-1429,-2804,-2186,-1406,-264,70,-2277,3055,-1750,59,6
-1466,-1602,-1560,-2804,-2707,-2473,-2675,-210,76,-2043,-2050,60,5
-546,-2047,-390,-2715,-2219,-48,-516,350,-1202,214,-2150,61,5
-1869,-1023,-2730,-2849,-2555,-2570,-2836,350,537,-2471,-2650,62,5
-1351,-1469,-1560,-2804,-2522,727,-172,-303,-742,-2432,-2150,63,5
-949,-1602,-1429,-2804,-2186,-1406,-264,70,-2277,3055,-1750,64,6
-1466,-1602,-1560,-2804,-2707,-2473,-2675,-210,76,-2043,-2050,65,5
-3019,756,-2990,-3027,-2891,630,-1435,-1519,1919,-2666,-1150,66,4
-1984,-333,-3250,-2315,-2273,-2570,-2859,-257,383,-2354,-950,67,5
-1524,222,-2860,-2537,-2522,-2861,-3158,-163,76,-2354,-1850,68,5
-1236,-1357,-2080,-2804,-2512,-2085,-2583,70,-383,-2238,-2650,69,6
-1121,-1068,-1300,-2715,-2468,-2279,-2239,70,127,-2160,-1450,70,6
-1236,-1357,-2080,-2804,-2512,-2085,-2583,70,-383,-2238,-2650,71,6
-1236,-1224,-1820,-2715,-2544,-2182,-1894,-163,-435,-2549,-2450,72,5
-1754,-1602,-1690,-2671,-2620,-2861,-2560,-491,-230,-2666,-2250,73,5
-1236,-1224,-1820,-2715,-2544,-2182,-1894,-163,-435,-2549,-2450,74,5
-1409,-1958,1170,-2893,1687,-1600,-1803,116,-1509,564,-2350,75,5
