fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
-1351,-2226,-260,-2047,-2533,-1891,-2537,116,-127,-1187,1150,190,8
28,-2359,-325,-801,-2588,-2861,-3089,257,-742,-1342,950,197,8
-2674,0,-2925,-3027,-2891,-2182,-1366,-2174,946,-1342,1250,271,8
1351,-2404,1430,-2671,-2598,-2764,-2721,771,-2533,-1342,-1850,310,8
603,-1023,1105,-1335,-2446,-2764,-2951,818,-793,-1848,1750,321,8
-143,-2626,260,-2804,-2479,727,-1688,-1192,-2021,-2082,150,769,8
-1351,-1380,-1040,-2537,-2555,-2570,-2997,-2221,-895,-1732,1450,793,8
-949,-1914,-715,-2849,-2642,-2764,-3112,-865,-127,-1848,50,850,8
-1754,-2315,-1105,-2893,-2718,-3055,-3089,-491,-742,-252,-1650,996,8
-1754,-2092,-1235,-2760,-2772,-1891,-2721,-1098,-742,-1576,-350,1030,8
-488,-2448,390,-2404,-2512,-2764,-2997,-303,-1151,-953,50,340,8
258,-2226,195,-2493,-2620,-2861,-3020,70,-1151,-2004,-650,349,8
258,-2226,195,-2493,-2620,-2861,-3020,70,-1151,-2004,-650,352,8
-3019,-1914,-1690,-2760,-2729,-1503,-2239,-2501,1765,-1654,2350,419,8
-661,-2003,0,-2849,-2609,-2667,-3020,-1145,-844,-1848,850,747,8
