A,P,C,LK,WK,A_Coef,LKG,number,target
-1792,-1335,-117,-984,-1290,2425,-282,141,2
-1778,-1320,-69,-1592,-1285,1385,-681,142,2
-2842,-2145,-2456,-1892,-2770,-139,-1068,144,2
-3269,-2550,-3194,-2032,-3220,1559,-777,145,2
-3115,-2550,-2035,-2444,-3060,-2389,-1206,146,2
-2373,-2055,193,-2080,-1820,-189,-1596,147,2
-2226,-1680,-959,-1604,-2100,-1350,-654,148,2
-3563,-2850,-3608,-1880,-3415,852,-1020,149,2
-2835,-2400,-924,-2096,-2455,585,-681,150,2
-2709,-1965,-2628,-1528,-2775,2382,-792,151,2
-2534,-1845,-2049,-1516,-2490,146,-522,152,2
-3290,-2685,-2511,-2268,-3190,-1278,-1599,153,2
-3164,-2670,-1711,-2448,-2880,-562,-813,154,2
-3283,-2670,-2601,-2148,-3280,1203,-945,155,2
-3178,-2940,-234,-2936,-2410,-1263,-1593,156,2
-2625,-1650,-3788,-1572,-2930,215,-942,157,2
-3073,-2415,-2532,-1932,-3180,778,-672,159,2
-2338,-1740,-1414,-1344,-2260,-1528,-129,160,2
-2681,-2130,-1476,-2080,-2420,378,-1464,162,2
-2331,-1890,-496,-1816,-1815,-191,-1074,163,2
-3318,-3060,-496,-3104,-2685,1778,-1455,164,2
-2646,-2520,1124,-2728,-1950,-2409,-1434,165,2
-2408,-1860,-1159,-1872,-2170,314,-792,166,2
-2611,-2070,-1290,-1480,-2470,-972,-588,167,2
-3171,-2565,-2339,-2444,-3315,-273,-1206,168,2
-3402,-2745,-3042,-1848,-3150,2125,-1113,170,2
-3031,-2595,-1207,-2480,-2430,2105,-1734,171,2
-3227,-2790,-1455,-2796,-2840,-301,-1602,172,2
-3136,-2625,-1759,-2604,-2840,978,-1335,173,2
-3535,-2805,-3663,-2036,-3450,572,-1047,174,2
-3556,-3390,-276,-3224,-2550,163,-1413,175,2
-3234,-2730,-1897,-2404,-3105,725,-1326,176,2
-3598,-3150,-2076,-2568,-3445,92,-1713,177,2
-3080,-2670,-1083,-2428,-2865,1266,-1596,178,2
-2569,-2040,-1221,-1720,-2190,-2949,-1068,179,2
-3129,-2820,-483,-2788,-2780,347,-2127,180,2
-2394,-2130,524,-2204,-1570,377,-1161,181,2
-2961,-2640,-379,-2716,-2405,599,-1197,183,2
-2093,-1590,-614,-1168,-1525,1575,-654,184,2
-3024,-2280,-2980,-1696,-3240,-547,-1056,185,2
-2849,-2070,-2980,-1496,-3075,288,-546,186,2
-3479,-3045,-1780,-2796,-3280,-431,-1734,187,2
-3703,-3630,124,-3552,-2720,365,-2220,189,2
-3465,-3045,-1656,-2964,-3070,788,-1467,190,2
-3227,-2955,-462,-2784,-2635,-625,-1599,191,2
-2807,-2715,1138,-2620,-1890,-1013,-1206,192,2
-3542,-3000,-2580,-2428,-3505,243,-1335,193,2
-2639,-2340,62,-2204,-1780,-478,-1566,194,2
-2156,-2040,1587,-2508,-1025,263,-1860,195,2
-2163,-1950,1076,-2252,-1385,873,-1728,196,2
-1757,-1575,1511,-1868,-1015,60,-1329,197,2
-2282,-1740,-1028,-1508,-2100,-1304,-909,198,2
-2184,-2175,2304,-2856,-880,-1782,-2112,199,2
-2247,-2265,2394,-3212,-980,-2310,-2367,201,2
-3290,-3165,345,-3112,-2605,-559,-2118,202,2
-2226,-2130,1683,-2416,-1200,3846,-1602,203,2
-2457,-2040,-434,-2332,-1855,-691,-1599,204,2
-2583,-2445,1055,-2600,-1750,-979,-1992,205,2
-3255,-2925,-821,-2588,-2680,-285,-1593,206,2
-2828,-2430,-752,-2448,-2475,-1012,-1470,208,2
-2506,-2235,372,-2176,-1785,1027,-1413,209,2
